model,scope,region,I_REAL,I_HALL,S_REAL,S_HALL,G_REAL,G_HALL,lambda_median_REAL,lambda_median_HALL,lambda_iqr_REAL,lambda_iqr_HALL,lambda_cv_REAL,lambda_cv_HALL,spearman_I_S,log_pearson_I_S,delta_log_I,delta_log_S,delta_log_G,paired_delta_log_I,paired_delta_log_S,paired_delta_log_G
qwen2_5_vl_7b,validation,generation,42.840747526330176,51.126860882829064,37.04931397567427,43.68697343865376,0.9082520059842762,0.8884618951208958,0.7999700030668125,0.7789352301856376,0.15004194416197358,0.1456827802591456,0.16468451417120525,0.1632274575561853,0.899592955207846,0.9000572739295775,0.23294254712082238,0.2150862101095625,-0.01785633701126037,0.19620526007530084,0.18044754246927558,-0.015757717606025283
qwen2_5_vl_7b,validation,all,88.12824287413049,90.0873990429952,71.25715744256783,73.49438187290984,0.8908358579993655,0.890306689591811,0.7266302190281204,0.7288647493965466,0.12221067292603305,0.1236302017576716,0.15475174646732776,0.15466548472860112,0.7337991469770225,0.738367488501691,0.03832227800552068,0.03850820037827258,0.00018592237275211199,0.022372157164390147,0.026439869931939412,0.004067712767549281
qwen2_5_vl_7b,test,prompt,11.581407009150649,9.137915951632285,12.846965017639976,10.785929300295928,1.0549358403453832,1.1175173972466286,0.7480832729428365,0.755682249862096,0.14206706919965234,0.1358710016274402,0.2251628474558058,0.21980547857630064,0.8830560161051952,0.8819600704547197,-0.26154633319700615,-0.205503036628521,0.05604329656848505,-0.2446438843307058,-0.19177236618370172,0.05287151814700407
qwen2_5_vl_7b,test,visual,33.46562300127962,28.92309868050262,21.289497634681915,18.496564620602886,0.7741363814009423,0.7744214750336612,0.7246057070081456,0.733860254324971,0.11287518924814086,0.1119206783332807,0.13057042654151424,0.1266363511244997,0.9609414723987744,0.9691878330533166,-0.22980336245907937,-0.22848951539992737,0.0013138470591525207,-0.24149334718349497,-0.2333738575065738,0.008119489676921185
qwen2_5_vl_7b,test,generation,42.85390643889913,51.73101464152358,37.10383479887936,43.76033796753887,0.9107612602974982,0.8950500059473067,0.8043907356135851,0.7875815477645295,0.15081141032301565,0.14543938802995734,0.16297545331282065,0.15797287384137193,0.9015347330050434,0.9016068062704535,0.2576634464521617,0.24141223502597628,-0.01625121142618596,0.2632640245111723,0.2583719505712252,-0.00489207393994711
qwen2_5_vl_7b,test,all,87.90093644932941,89.79202927365849,71.24029745120126,73.04283188843768,0.8932565874948493,0.8971496232614042,0.7282426453914065,0.7388710522592234,0.12118798913525843,0.12364444440668568,0.1543169820941682,0.15138732294073867,0.7353890103199383,0.7413910917500888,0.03921528178133509,0.04130880781437185,0.0020935260330374964,0.035957705131646915,0.04722704523618565,0.01126934010453874
llava_1_5_7b,all,prompt,4.7020994371248666,3.846749573020679,2.7559414986934385,2.3574988310149316,0.765750123045231,0.8212071480122027,0.5269182503204665,0.5411664336502364,0.10931446473432443,0.11030766175030957,0.23774131362550743,0.23359575777302743,0.8345482062778761,0.867661456066593,-0.2089898761214024,-0.15358873727004374,0.05540113885135814,-0.21804001242156096,-0.16149738755159976,0.0565426248699612
llava_1_5_7b,all,visual,10.45612705278952,10.096894009907967,4.396857907168142,3.8032063243931784,0.5478626700531156,0.5402914368756464,0.5476427126091954,0.5474628732941249,0.11391518100155255,0.11297616931246411,0.13473032693349665,0.1314001259687701,0.9397997005527832,0.948402199538382,-0.1901524949047923,-0.20376292032238022,-0.013610425417586901,-0.23836744324645637,-0.2493930050483752,-0.01102556180191883
llava_1_5_7b,all,generation,11.412874507980147,15.928821751354608,5.589384694927464,7.519338675109601,0.585194844032601,0.5725242528866333,0.5480451147598391,0.5346617908530948,0.09757647572083332,0.09746378324523683,0.14353226156945287,0.14859670454717377,0.9486416580524981,0.9523192616966809,0.3716734635004768,0.3449855404156987,-0.026687923084779297,0.38954998886602255,0.3642643588654174,-0.025285630000605144
llava_1_5_7b,all,all,26.571100997894533,29.87246533428325,12.742184100789046,13.680043830517711,0.604034022806327,0.5990434648161005,0.5459653909008394,0.5439980534942772,0.11723077091028511,0.11760609507942514,0.14555448651007177,0.14531187730475598,0.8439102345678172,0.850273370855519,0.09758153109491276,0.08450592408297891,-0.013075607011935286,0.08387773757392927,0.07399602116158852,-0.00988171641234077
llava_1_5_7b,train,prompt,4.707641397245301,3.8483898098964593,2.758270692238928,2.357805155610774,0.7655404308178773,0.8208039135835734,0.5270022687264816,0.5408765319020032,0.10933512660929585,0.11024915600319246,0.23772457689844903,0.23361429732880837,0.8359415501179329,0.8686309969084487,-0.21012083059512893,-0.15498961617005041,0.05513121442507864,-0.2180280385375444,-0.16204325304685324,0.05598478549069118
llava_1_5_7b,train,visual,10.454876943628916,10.075953863293316,4.396815022382425,3.7976028128599255,0.5478797601244774,0.5402007104799048,0.5476721132916522,0.5474424374187208,0.11400665921195614,0.11294944040121366,0.13479493522636543,0.13142128950264276,0.9399457286330645,0.9483995800075866,-0.19274536127459393,-0.20653947435173844,-0.013794113077145488,-0.23983454530684045,-0.2511415979052727,-0.011307052598432246
llava_1_5_7b,train,generation,11.403980709060264,15.93134550091326,5.582822682660446,7.5150810584048315,0.5853540663292109,0.5723315120471861,0.5482951619395584,0.5345839741508215,0.09750267928935949,0.09753530197476411,0.14353083883565287,0.14870567825195988,0.9488665582331891,0.9525330950101516,0.3737384762495015,0.34658427777783096,-0.02715419847166998,0.38992110565920224,0.3639571728940927,-0.025963932765109606
llava_1_5_7b,train,all,26.56649904993448,29.855689174103038,12.737908397281798,13.67048902687553,0.6041107200959844,0.5988470578996558,0.5459984905448997,0.5439702580296544,0.11732636519987888,0.11762458234148443,0.14562272383404895,0.14533330944801698,0.8441741666549649,0.8505308041121363,0.09758583571293904,0.08416422703675135,-0.013421608676186515,0.08326994979517968,0.0729044460439038,-0.010365503751275878
