layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
14,0.6582697221285061,0.0679513339673398,2.2667315153129275,-0.0001286501732359597,0.5949960237152896,0.5034950616858777,2.678429173241792,-0.10912353722690818,0.6449835334371297,-0.07597150296238109,3.013103034857377,-0.13673408655802485
15,0.6503162229839016,-0.022934974885521073,2.543334508886133,0.26351821605318365,0.597548854900057,0.5350196153580544,2.8539503778977386,0.04440094175324476,0.6263834121155111,-0.2523704102392874,2.9128392105989716,-0.28382862268660763
16,0.6198478150831652,-0.37110388524490756,2.3832669690334374,0.11094826472484862,0.5812225399363397,0.33340824543527003,2.8014964593859637,-0.0014793296690765961,0.6140494632691764,-0.369342502048921,2.8736764230318372,-0.3412833638487164
17,0.6650619904963366,0.14556801430720528,2.570009042785797,0.2889433106259057,0.6034113985402835,0.607415343185483,2.9930685119674796,0.16608446763613544,0.6113252118519185,-0.3951786224076268,2.906431996639206,-0.29322848522186606
18,0.6425983109109691,-0.11112918068179821,2.8430717767804494,0.5492157435844275,0.6117034119799313,0.7098122522675852,3.0513251677027187,0.21704026375438926,0.6333990667858741,-0.18583569273474215,2.9296747633437943,-0.25912960646829913
19,0.6546564906855683,0.026662177721879347,2.494656202646399,0.21712000926761907,0.5928960478596205,0.4775627548544148,2.9614834929265306,0.13845775665642807,0.6209667692756242,-0.3037404987211712,3.1192456251379808,0.018985039420782186
20,0.6650014781612773,0.14487652711727575,2.727168325071256,0.4387412276249078,0.6049418916963368,0.6263151881618355,3.0472277779645984,0.21345636842985233,0.6574399834906011,0.04216235971451603,3.087845541276421,-0.02708123427441344
21,0.6957565125203125,0.4963207783474811,2.764137155584401,0.4739784323526535,0.6297301526970579,0.9324219409388864,3.02827514053176,0.19687891960889753,0.6708033140858806,0.1688968510561146,3.346505106934498,0.35239171229540456
22,0.6522021004321626,-0.001384656326981286,2.2680970726535667,0.0011729442486506545,0.5797446596761843,0.31515810971916197,2.8778128261282783,0.06527289246122635,0.657444330733933,0.04220358788503001,3.674219064710109,0.8331726216454112
23,0.6931976351057398,0.4670799475145232,3.1834485362142844,0.8736492025349871,0.6127982392832297,0.7233321208317655,3.4228371100693,0.5419934652694723,0.6861347172729433,0.314296051548222,3.561387036894496,0.6676395900186672
24,0.6921633594838748,0.45526106227938945,3.384895560529291,1.0656604168215478,0.6077303815506954,0.6607498576388356,3.6552117069931263,0.7452463371426077,0.6808854035898557,0.26451287101734466,3.428344426939219,0.4724561213902319
25,0.7223485595238948,0.8001936968021105,2.538116259564223,0.2585443903431391,0.5878171409319223,0.41484404670262726,2.9037275513684087,0.08793992404982275,0.7672321045019328,1.0834034268629664,3.540667927991734,0.6372431061862257
26,0.7239677650895188,0.8186966996261451,3.213772963762042,0.9025532291682362,0.604591138734338,0.6219837891088212,3.481438979795811,0.5932512123585538,0.7416213950770904,0.8405178521394441,3.2700323575295327,0.2402004640221498
27,0.7508276690831639,1.1256304762872862,2.978241205839376,0.678053815510676,0.594236980811725,0.4941217475021256,3.386352984260792,0.5100816149789226,0.7676575183717459,1.0874379458038859,3.237637687771984,0.19267505836093735
28,0.7931644346168139,1.6094216074817551,3.0787775925027745,0.7738810621471719,0.6174584845003807,0.7808808343347157,3.3674162906226166,0.49351811183919436,0.8183445247135793,1.568140860437293,3.770108198145445,0.973849158838835
29,0.7606793969124933,1.2382082438775635,3.548835900729318,1.2219217659250998,0.5972082254113192,0.5308132296541681,3.9431994755123587,0.9971428085760045,0.7341598025975187,0.7697539717763514,3.286882308524504,0.2649206035513068
30,0.7643725915343228,1.280411156199623,2.9261853795850192,0.6284362922745949,0.5813768025478994,0.3353132127541988,3.4903964639092426,0.6010861237254351,0.8188178058755814,1.572629340827734,3.6374898107897566,0.7792880565221109
31,0.8100462913187386,1.8023341374669666,3.2930415626511507,0.9781088745258543,0.5960359679501795,0.5163371869484009,3.7895755305516445,0.862771373767314,0.8214331865738357,1.5974329584659133,3.585732289449842,0.703355898049493
32,0.8058608772647294,1.7545065300864042,3.2251242396850834,0.9133728095571567,0.5869501183918415,0.4041373071568032,3.647013582089212,0.7380756203226383,0.826798986640408,1.6483208667780798,3.988939517316797,1.2948910861939786
33,0.7809550327003737,1.4699022018325996,3.6382775261115126,1.3071739316286934,0.5914402455270433,0.4595852563644045,4.366239582950876,1.3671665456481958,0.7787474100148579,1.1926117096647995,3.6446252199678875,0.7897562359567967
