feature,label,layer,n,mean,std,sem,ci95_low,ci95_high
token_all_s,REAL,19,11976,0.43090461415494374,0.053066931883208344,0.0004849177546233183,0.42995417535588204,0.43185505295400545
token_all_s,HALL,19,3487,0.39196138713398804,0.033212130206541325,0.0005624329531099498,0.39085901854589256,0.3930637557220835
token_all_s,REAL,20,11976,0.32537286297860507,0.027491074868854562,0.00025120936569172014,0.3248804926218493,0.3258652333353608
token_all_s,HALL,20,3487,0.3180393763110875,0.024076578501438003,0.00040772636573248875,0.3172402326342518,0.3188385199879232
token_all_s,REAL,21,11976,0.3619941829485382,0.04809164055274205,0.0004394542801967897,0.36113285255935246,0.3628555133377239
token_all_s,HALL,21,3487,0.35386694851939027,0.036181866828891456,0.0006127241487688835,0.3526660091878033,0.35506788785097726
token_all_s,REAL,22,11976,0.28510154016271144,0.03126619178959246,0.0002857058243276483,0.28454155674702925,0.28566152357839364
token_all_s,HALL,22,3487,0.27710984213956624,0.02425126815441566,0.00041068465888595304,0.2763049002081498,0.2779147840709827
token_all_s,REAL,23,11976,0.2742416240491406,0.04475313410395125,0.00040894750331159043,0.2734400869426499,0.2750431611556313
token_all_s,HALL,23,3487,0.2617448569797054,0.028611960113751878,0.00048453107707834074,0.26079517606863184,0.26269453789077896
token_all_s,REAL,24,11976,0.2483965133540158,0.032147834676740955,0.0002937621462977328,0.24782073954727224,0.24897228716075936
token_all_s,HALL,24,3487,0.23986432867368793,0.027544770679997832,0.00046645868903754577,0.23895006964317433,0.24077858770420152
token_all_s,REAL,25,11976,0.2517792116415126,0.04016943224581707,0.00036706231541715933,0.251059769503295,0.25249865377973024
token_all_s,HALL,25,3487,0.2469832151786352,0.029472872479451576,0.000499110252855328,0.24600495908303877,0.24796147127423163
token_all_s,REAL,26,11976,0.2563316341832967,0.07016638334864304,0.0006411700065559901,0.255074940970447,0.2575883273961464
token_all_s,HALL,26,3487,0.24588404279196882,0.043212425861472344,0.0007317836024720216,0.24444974693112365,0.247318338652814
token_all_s,REAL,27,11976,0.22740534610757648,0.04009615214709627,0.0003663926927412437,0.22668721642980363,0.22812347578534933
token_all_s,HALL,27,3487,0.226834581195368,0.03343703278692469,0.0005662415803091215,0.22572474769796214,0.22794441469277388
token_all_s,REAL,28,11976,0.22363710007396992,0.029206751438787672,0.00026688696378204905,0.2231140016249571,0.22416019852298275
token_all_s,HALL,28,3487,0.2255504590018212,0.024222048422051598,0.00041018983545064794,0.2247464869243379,0.22635443107930447
token_all_s,REAL,29,11976,0.2178061389057594,0.059086653004771214,0.0005399250736096736,0.21674788576148443,0.21886439205003436
token_all_s,HALL,29,3487,0.20287228903645324,0.0180100758270644,0.0003049927863752291,0.2022745031751578,0.20347007489774868
token_all_s,REAL,30,11976,0.21600576351927414,0.02801249776304899,0.0002559740507807023,0.21550405437974396,0.21650747265880432
token_all_s,HALL,30,3487,0.21585036320641213,0.019323594051082575,0.00032723664514321544,0.21520897938193143,0.21649174703089283
token_all_s,REAL,31,11976,0.2977839509086184,0.025395825210037377,0.0002320632849994162,0.29732910687001957,0.2982387949472173
token_all_s,HALL,31,3487,0.305931301544449,0.022019363135372054,0.00037288831992440173,0.30520044043739714,0.3066621626515008
token_all_s,REAL,32,11976,1.346599043819135,0.2552413755730039,0.00233235784202162,1.3420276224487726,1.3511704651894976
token_all_s,HALL,32,3487,1.2776957518705023,0.20993558710187113,0.0035551676897051594,1.2707276231986802,1.2846638805423245
union_topk_s,REAL,1,11976,1.4572913485691796,0.2560355537631444,0.0023396149245599757,1.452705703317042,1.4618769938213172
union_topk_s,HALL,1,3487,1.2946926335020807,0.2263644561906103,0.003833383428965884,1.2871792019813075,1.302206065022854
union_topk_s,REAL,2,11976,0.7150729109390664,0.089568052125795,0.000818459578903376,0.7134687301644158,0.7166770917137171
union_topk_s,HALL,2,3487,0.7233627898015503,0.08368096994501226,0.0014171007626607606,0.7205852723067352,0.7261403072963655
union_topk_s,REAL,3,11976,0.5704440640368976,0.05312228332116016,0.00048542354785564303,0.5694926338831006,0.5713954941906947
union_topk_s,HALL,3,3487,0.5890193067753865,0.0462060725204668,0.000782479704182907,0.587485646555188,0.590552966995585
union_topk_s,REAL,4,11976,0.6856791937827029,0.05457670310335317,0.0004987138201595509,0.6847017146951903,0.6866566728702156
union_topk_s,HALL,4,3487,0.675617824371339,0.046243012819493765,0.000783105272050469,0.67408293803812,0.677152710704558
union_topk_s,REAL,5,11976,0.7279768772647233,0.06722933922301334,0.0006143317328497873,0.7267727870683377,0.7291809674611088
union_topk_s,HALL,5,3487,0.701670165898843,0.04964382984857974,0.0008406966265574047,0.7000224005107905,0.7033179312868956
union_topk_s,REAL,6,11976,0.7125861001815013,0.08391671500384468,0.0007668184982803846,0.7110831359248717,0.7140890644381308
union_topk_s,HALL,6,3487,0.6741986695045655,0.06352181257380916,0.001075714216781784,0.6720902696396732,0.6763070693694578
union_topk_s,REAL,7,11976,0.7295756516013849,0.07810695680541764,0.0007137297893517061,0.7281767412142556,0.7309745619885143
union_topk_s,HALL,7,3487,0.6815993086567642,0.06617988146370968,0.0011207274551985713,0.6794026828445751,0.6837959344689534
union_topk_s,REAL,8,11976,0.7268599504748025,0.08038198500813773,0.0007345186597200877,0.7254202939017511,0.7282996070478538
union_topk_s,HALL,8,3487,0.6888852281662056,0.06206814560605386,0.0010510970001073783,0.6868250780459951,0.690945378286416
union_topk_s,REAL,9,11976,0.6592189094142549,0.05046128958523835,0.00046110778167700284,0.6583151381621679,0.6601226806663418
union_topk_s,HALL,9,3487,0.6459229088441533,0.03816536215720207,0.0006463137778605401,0.6446561338395466,0.64718968384876
union_topk_s,REAL,10,11976,0.680857288689118,0.05502788245296865,0.0005028366301540962,0.6798717288940159,0.68184284848422
union_topk_s,HALL,10,3487,0.6574075419614949,0.046361160007331315,0.0007851060431947427,0.6558687341168332,0.6589463498061565
