model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,raw_attention,32,REAL,7,7801,0.40564878453598346,0.34656739234924316,0.4006081819534302,0.45806217193603516
qwen2_5_vl_7b,raw_attention,32,REAL,8,7801,0.34785021950405176,0.2960447669029236,0.3373074531555176,0.3846471905708313
qwen2_5_vl_7b,raw_attention,32,REAL,9,7801,0.4607315974470255,0.37983936071395874,0.44875743985176086,0.5355409383773804
qwen2_5_vl_7b,raw_attention,32,REAL,10,7801,0.4466753181276864,0.37620505690574646,0.4327946901321411,0.5034264326095581
qwen2_5_vl_7b,raw_attention,32,REAL,11,7801,0.3862737404461198,0.33183926343917847,0.38211724162101746,0.43166494369506836
qwen2_5_vl_7b,raw_attention,32,REAL,12,7801,0.4905052044642704,0.4162243604660034,0.49105679988861084,0.5632184147834778
qwen2_5_vl_7b,raw_attention,32,REAL,13,7801,0.4638691643536389,0.39460280537605286,0.45558544993400574,0.5242813229560852
qwen2_5_vl_7b,raw_attention,32,REAL,14,7801,0.443250009657068,0.3723313808441162,0.4271746873855591,0.5007489323616028
qwen2_5_vl_7b,raw_attention,32,REAL,15,7801,0.5599286951666198,0.45845553278923035,0.5531927347183228,0.6559093594551086
qwen2_5_vl_7b,raw_attention,32,REAL,16,7801,0.5221029862049008,0.4262455999851227,0.513100266456604,0.6122475862503052
qwen2_5_vl_7b,raw_attention,32,REAL,17,7801,0.6555269284212288,0.5706782937049866,0.654733419418335,0.7392446994781494
qwen2_5_vl_7b,raw_attention,32,REAL,18,7801,0.5466368335486986,0.46335336565971375,0.5413044095039368,0.6242799758911133
qwen2_5_vl_7b,raw_attention,32,REAL,19,7801,0.5604757383043621,0.47127965092658997,0.5538519620895386,0.6456522345542908
qwen2_5_vl_7b,raw_attention,32,REAL,20,7801,0.6791133773722658,0.5936749577522278,0.6910821199417114,0.7727401852607727
qwen2_5_vl_7b,raw_attention,32,REAL,21,7801,0.628952393580241,0.5486215353012085,0.6334363222122192,0.7129102945327759
