model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
llava_1_5_7b,train,ovir,HALL,17,2761,2761,0,0.8726606970321166,0.859312996079324,0.8706950994072741,0.8842463803621258
llava_1_5_7b,train,ovir,HALL,18,2761,2761,0,0.9093792212969661,0.8969202939975074,0.9084687744961829,0.9205457263567899
llava_1_5_7b,train,ovir,HALL,19,2761,2761,0,0.9576408499274093,0.948640834541207,0.9572087817752203,0.9667076450642597
llava_1_5_7b,train,ovir,HALL,20,2761,2761,0,0.9615803947669553,0.9556992222404835,0.9613419676430266,0.9675802005957145
llava_1_5_7b,train,ovir,HALL,21,2761,2761,0,0.9709938783136505,0.9653384400272423,0.9712577837972389,0.9770357292756421
llava_1_5_7b,train,ovir,HALL,22,2761,2761,0,0.9833956385079198,0.9808811113524304,0.9838528864672446,0.9866018701546336
llava_1_5_7b,train,ovir,HALL,23,2761,2761,0,0.9889917766045925,0.9881905074989124,0.9909063923146223,0.9930463911165168
llava_1_5_7b,train,ovir,HALL,24,2761,2761,0,0.9932191852775012,0.9924474429677577,0.9942996510168339,0.9957193645338448
llava_1_5_7b,train,ovir,HALL,25,2761,2761,0,0.9900625319094916,0.9885488441761577,0.9918511429117929,0.9942591159670623
llava_1_5_7b,train,ovir,HALL,26,2761,2761,0,0.9872172749277925,0.9864410941206659,0.9918800165293957,0.9947913231857167
llava_1_5_7b,train,ovir,HALL,27,2761,2761,0,0.988410899866244,0.9872916252425981,0.9914993740932229,0.9940162389414415
llava_1_5_7b,train,ovir,HALL,28,2761,2761,0,0.9904404815762032,0.9876905103953653,0.9913857459094185,0.9942097127251611
llava_1_5_7b,train,ovir,HALL,29,2761,2761,0,0.985670023108338,0.9823560779998762,0.9865788098407665,0.9903427108114237
llava_1_5_7b,train,ovir,HALL,30,2761,2761,0,0.9835243567873756,0.9809785423202352,0.985809971159658,0.9895071149265069
llava_1_5_7b,train,ovir,HALL,31,2761,2761,0,0.986436591731063,0.9833427305676491,0.9868256851037437,0.9900461895106439
llava_1_5_7b,train,ovir,HALL,32,2761,2761,0,0.726766648371287,0.6688055378087078,0.7273925808156947,0.7694319325421821
llava_1_5_7b,train,rank95,REAL,1,9523,9523,0,17.917673002205188,15.0,18.0,20.0
llava_1_5_7b,train,rank95,REAL,2,9523,9523,0,18.982253491546782,15.0,18.0,23.0
llava_1_5_7b,train,rank95,REAL,3,9523,9523,0,3.4871364065945607,2.0,3.0,4.0
llava_1_5_7b,train,rank95,REAL,4,9523,9523,0,4.2534915467814765,2.0,3.0,5.0
llava_1_5_7b,train,rank95,REAL,5,9523,9523,0,6.951065840596451,4.0,6.0,9.0
llava_1_5_7b,train,rank95,REAL,6,9523,9523,0,11.479365746088417,8.0,11.0,15.0
llava_1_5_7b,train,rank95,REAL,7,9523,9523,0,11.41100493541951,8.0,11.0,14.0
llava_1_5_7b,train,rank95,REAL,8,9523,9523,0,19.043683713115616,14.0,19.0,24.0
llava_1_5_7b,train,rank95,REAL,9,9523,9523,0,20.000315026777276,13.0,20.0,27.0
llava_1_5_7b,train,rank95,REAL,10,9523,9523,0,20.48010080856873,14.0,20.0,27.0
llava_1_5_7b,train,rank95,REAL,11,9523,9523,0,18.53292029822535,10.0,17.0,25.0
llava_1_5_7b,train,rank95,REAL,12,9523,9523,0,14.660296125170639,8.0,14.0,20.0
llava_1_5_7b,train,rank95,REAL,13,9523,9523,0,13.10731912212538,8.0,12.0,17.0
llava_1_5_7b,train,rank95,REAL,14,9523,9523,0,22.655045678882704,15.0,23.0,30.0
llava_1_5_7b,train,rank95,REAL,15,9523,9523,0,15.191641289509608,9.0,14.0,20.0
llava_1_5_7b,train,rank95,REAL,16,9523,9523,0,20.996534705449964,12.0,20.0,29.0
llava_1_5_7b,train,rank95,REAL,17,9523,9523,0,24.01659141026987,16.0,23.0,31.0
llava_1_5_7b,train,rank95,REAL,18,9523,9523,0,16.56421295810144,10.0,16.0,22.0
llava_1_5_7b,train,rank95,REAL,19,9523,9523,0,10.027407329623019,6.0,9.0,13.0
llava_1_5_7b,train,rank95,REAL,20,9523,9523,0,15.623858027932375,9.0,14.0,21.0
