model,scope,metric,layer,mixed_images,valid,mean_H_minus_R,median_H_minus_R,fraction_H_gt_R,ci95_low,ci95_high
llava_1_5_7b,validation,ovir,30,212,212,0.0019531962220430588,0.0015858899699573437,0.6084905660377359,0.0002004338083750117,0.003740530150858508
llava_1_5_7b,validation,ovir,31,212,212,0.0006355440538845299,0.0004941308164864711,0.5330188679245284,-0.00014154922669508155,0.0013822479383960315
llava_1_5_7b,validation,ovir,32,212,212,-0.014620840981244347,-0.011857086988752985,0.419811320754717,-0.02497372683205379,-0.004384801190045165
llava_1_5_7b,test,ovir,1,187,187,-0.011356809264000846,-0.01199500218820182,0.41711229946524064,-0.020137291833768424,-0.0023174050117746293
llava_1_5_7b,test,ovir,2,187,187,0.0008927143146610483,-0.0007615512644836286,0.47058823529411764,-0.0037125973830060255,0.005426431799403972
llava_1_5_7b,test,ovir,3,187,187,0.0007228306676348354,0.0025464392118570434,0.5454545454545454,-0.002570191075006167,0.0038441951348250534
llava_1_5_7b,test,ovir,4,187,187,0.007592265332234044,0.008558674841953051,0.6256684491978609,0.0026656902848269104,0.012374167270102243
llava_1_5_7b,test,ovir,5,187,187,0.0017398950572569882,-0.0017828406896556181,0.46524064171123,-0.0015483777948355356,0.005369239037682532
llava_1_5_7b,test,ovir,6,187,187,-0.011473974357085729,-0.013219153405876427,0.32085561497326204,-0.01497464056230037,-0.007830207786178132
llava_1_5_7b,test,ovir,7,187,187,-0.013339665055065808,-0.014312588651907099,0.27807486631016043,-0.017989969901998953,-0.008405688363212059
llava_1_5_7b,test,ovir,8,187,187,-0.011080921027096105,-0.011284355856599038,0.33689839572192515,-0.016333013352225312,-0.005657477189446368
llava_1_5_7b,test,ovir,9,187,187,-0.022785174485387364,-0.027545607402176042,0.31016042780748665,-0.029495558823185174,-0.0160305480656004
llava_1_5_7b,test,ovir,10,187,187,-0.0034939450806434425,-0.0042592103114393876,0.4117647058823529,-0.007225902412832194,0.0005501751434012548
llava_1_5_7b,test,ovir,11,187,187,-0.010226529455680658,-0.010885400778693266,0.37433155080213903,-0.014370217778113915,-0.006071862597469074
llava_1_5_7b,test,ovir,12,187,187,0.030378627309412598,0.027678025330203915,0.7433155080213903,0.02437042553585014,0.03701598140974237
llava_1_5_7b,test,ovir,13,187,187,0.0036923353219738123,0.0013187683773894232,0.5294117647058824,-0.0006522663026620274,0.008530300994690581
llava_1_5_7b,test,ovir,14,187,187,0.0019429594156344706,-0.002407475080511645,0.47593582887700536,-0.0015284067468744646,0.0055001875086166776
llava_1_5_7b,test,ovir,15,187,187,0.017619928927673355,0.01729389806908621,0.6737967914438503,0.013490445756789203,0.02187041794532767
llava_1_5_7b,test,ovir,16,187,187,0.0051180300097926545,0.004662854524946525,0.5775401069518716,0.0010449229162439843,0.009093204922099994
llava_1_5_7b,test,ovir,17,187,187,-0.003994015654286603,-0.006207841214043608,0.3850267379679144,-0.006799044600709612,-0.0012004582548060256
llava_1_5_7b,test,ovir,18,187,187,-0.0003586532211067217,-0.001069259248513088,0.45989304812834225,-0.002757129086785955,0.0021224431547720813
llava_1_5_7b,test,ovir,19,187,187,0.00990229735136805,0.00840549734261431,0.7005347593582888,0.007724440084931507,0.011994219004805561
llava_1_5_7b,test,ovir,20,187,187,-0.0002724594116244654,-0.0006742141709266125,0.47058823529411764,-0.001988457207338619,0.0013517394332037763
llava_1_5_7b,test,ovir,21,187,187,0.0026302791730267194,0.0024044390254227554,0.6310160427807486,0.0014684531930340878,0.0037581915737463566
llava_1_5_7b,test,ovir,22,187,187,0.004183840446471025,0.003371705914419154,0.7486631016042781,0.0030059633992011833,0.005429029261376225
llava_1_5_7b,test,ovir,23,187,187,0.002536390289024904,0.0019035628919605863,0.7219251336898396,0.001547610430797747,0.00358605756735685
llava_1_5_7b,test,ovir,24,187,187,0.0009139698875467003,0.0011046013276176936,0.7058823529411765,-0.00015943752799572758,0.0018484032519151153
llava_1_5_7b,test,ovir,25,187,187,0.0013310955586518442,0.0016536080688102084,0.6363636363636364,-7.566682456400016e-05,0.0025975674972088894
llava_1_5_7b,test,ovir,26,187,187,0.0023799818683599397,0.0014335427299865255,0.5989304812834224,0.00021322731733379696,0.004482348519667151
llava_1_5_7b,test,ovir,27,187,187,0.00015736580246751125,0.0006773404401028138,0.5347593582887701,-0.0013763990084439354,0.0016211092199308007
llava_1_5_7b,test,ovir,28,187,187,0.00021474499423258597,0.00010817998195900014,0.5133689839572193,-0.0004533789001278929,0.0008937970472029961
llava_1_5_7b,test,ovir,29,187,187,0.0023233691433910213,7.085472148971039e-05,0.5133689839572193,0.0004727571807846777,0.004485923356077639
llava_1_5_7b,test,ovir,30,187,187,0.002104132115119131,0.0027683833133986813,0.6363636363636364,-0.00012225891842247672,0.0040434098749898804
llava_1_5_7b,test,ovir,31,187,187,0.0002761480294699213,-0.00032716720122616394,0.47593582887700536,-0.0006140042449627724,0.0012341118545840272
llava_1_5_7b,test,ovir,32,187,187,-0.0047633436718524345,0.0010537089347302242,0.5133689839572193,-0.016242178319801622,0.007124517780663598
