model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
internvl_2_5_8b,HALL,27,1766,0.5085092186927795,0.39783257246017456,0.5019264221191406,0.6138834357261658,0.5504733551311513
internvl_2_5_8b,HALL,28,1766,0.4526488780975342,0.3428083658218384,0.4406917691230774,0.5535788536071777,0.5601589855820932
internvl_2_5_8b,HALL,29,1766,0.5590440034866333,0.45385944843292236,0.5667870044708252,0.6710129380226135,0.5879114814118467
internvl_2_5_8b,HALL,30,1766,0.5474920272827148,0.4582534730434418,0.5553350448608398,0.644400417804718,0.5366116417392515
internvl_2_5_8b,HALL,31,1766,0.514954149723053,0.4209335148334503,0.5223677158355713,0.6120573878288269,0.585387517581673
internvl_2_5_8b,HALL,32,1766,0.3925512433052063,0.3092709183692932,0.3879370093345642,0.47065168619155884,0.6354300785181564
internvl_2_5_8b,REAL,1,9993,0.23398807644844055,0.19729024171829224,0.2262301743030548,0.2626047134399414,0.5143053138329333
internvl_2_5_8b,REAL,2,9993,0.2769288718700409,0.23112879693508148,0.2705256938934326,0.31470760703086853,0.48930854089368786
internvl_2_5_8b,REAL,3,9993,0.28488045930862427,0.2365376353263855,0.2755539119243622,0.32417723536491394,0.5120886432507286
internvl_2_5_8b,REAL,4,9993,0.26374149322509766,0.22152382135391235,0.2556541860103607,0.29759320616722107,0.553073731453467
internvl_2_5_8b,REAL,5,9993,0.26322582364082336,0.22039566934108734,0.2538951635360718,0.2963699698448181,0.604876981270808
internvl_2_5_8b,REAL,6,9993,0.2948859930038452,0.24156293272972107,0.2830081284046173,0.3371509611606598,0.6202172494698723
internvl_2_5_8b,REAL,7,9993,0.29206347465515137,0.23688030242919922,0.2776922285556793,0.33309271931648254,0.6276610501643336
internvl_2_5_8b,REAL,8,9993,0.3249874711036682,0.26049453020095825,0.3129526972770691,0.379133939743042,0.5707246488170259
internvl_2_5_8b,REAL,9,9993,0.2896181344985962,0.23822985589504242,0.2803758680820465,0.3321838974952698,0.6383567307987619
internvl_2_5_8b,REAL,10,9993,0.36516499519348145,0.29666873812675476,0.3585502803325653,0.42829546332359314,0.5403379477752208
internvl_2_5_8b,REAL,11,9993,0.3314199447631836,0.2617770731449127,0.32110312581062317,0.39265117049217224,0.5326898704517851
internvl_2_5_8b,REAL,12,9993,0.364671915769577,0.29782527685165405,0.35827872157096863,0.4260408878326416,0.5247691504098169
internvl_2_5_8b,REAL,13,9993,0.3953031301498413,0.3166741132736206,0.38778480887413025,0.46530643105506897,0.4528084438268736
internvl_2_5_8b,REAL,14,9993,0.39203208684921265,0.3255460560321808,0.38495999574661255,0.4537932872772217,0.592388652804415
internvl_2_5_8b,REAL,15,9993,0.4146946668624878,0.34197619557380676,0.40980756282806396,0.48325246572494507,0.5036251026907963
internvl_2_5_8b,REAL,16,9993,0.44308212399482727,0.3577858507633209,0.4336397647857666,0.5194473266601562,0.42801232096895914
internvl_2_5_8b,REAL,17,9993,0.4451497793197632,0.371624618768692,0.44009068608283997,0.5171812772750854,0.495531639984909
internvl_2_5_8b,REAL,18,9993,0.5032890439033508,0.4176172912120819,0.5056658983230591,0.5896285176277161,0.5670096190776353
internvl_2_5_8b,REAL,19,9993,0.4698929786682129,0.3994932770729065,0.4693444073200226,0.5404678583145142,0.5320054729137124
internvl_2_5_8b,REAL,20,9993,0.5099341869354248,0.42888912558555603,0.5059863328933716,0.5920596122741699,0.5035469619220432
internvl_2_5_8b,REAL,21,9993,0.48570042848587036,0.4077485501766205,0.483596533536911,0.5620441436767578,0.5440625255345787
internvl_2_5_8b,REAL,22,9993,0.5171712040901184,0.436968594789505,0.5137732028961182,0.5936001539230347,0.5467331945498882
internvl_2_5_8b,REAL,23,9993,0.5303657650947571,0.4406030476093292,0.5303909182548523,0.6202853322029114,0.5742893751560407
internvl_2_5_8b,REAL,24,9993,0.4980684220790863,0.41543012857437134,0.4915684461593628,0.576224684715271,0.5687604199496838
internvl_2_5_8b,REAL,25,9993,0.5735467076301575,0.48150014877319336,0.577018141746521,0.6693797707557678,0.5411612307550733
internvl_2_5_8b,REAL,26,9993,0.5976467728614807,0.5033110976219177,0.6020660996437073,0.7018747925758362,0.6112359342366384
internvl_2_5_8b,REAL,27,9993,0.5283303260803223,0.45281675457954407,0.5284597873687744,0.6056719422340393,0.5504733551311513
internvl_2_5_8b,REAL,28,9993,0.4789550006389618,0.38411134481430054,0.47171449661254883,0.5691174864768982,0.5601589855820932
internvl_2_5_8b,REAL,29,9993,0.6040012836456299,0.5091441869735718,0.6150982975959778,0.7092229127883911,0.5879114814118467
internvl_2_5_8b,REAL,30,9993,0.5656116604804993,0.4863475263118744,0.5716278553009033,0.6502148509025574,0.5366116417392515
internvl_2_5_8b,REAL,31,9993,0.5542239546775818,0.47513294219970703,0.5590347051620483,0.6358069181442261,0.585387517581673
