model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ot_real_auroc
internvl_2_5_8b,REAL,23,9993,0.016839344054460526,0.011146197095513344,0.015338713303208351,0.021003995090723038,0.4863264704319071
internvl_2_5_8b,REAL,24,9993,0.01627187244594097,0.008739696815609932,0.013159060850739479,0.02067825198173523,0.5039105799880981
internvl_2_5_8b,REAL,25,9993,0.026310669258236885,0.013439130038022995,0.02101350948214531,0.03341533988714218,0.544879263729231
internvl_2_5_8b,REAL,26,9993,0.014003961347043514,0.007696494460105896,0.01083405315876007,0.016611427068710327,0.5589685996505595
internvl_2_5_8b,REAL,27,9993,0.020610038191080093,0.008154485374689102,0.012958097271621227,0.025712011381983757,0.5630546988781161
internvl_2_5_8b,REAL,28,9993,0.01507459208369255,0.007909758016467094,0.011877993121743202,0.019009437412023544,0.5360635513942432
internvl_2_5_8b,REAL,29,9993,0.026597943156957626,0.018242016434669495,0.02403559535741806,0.031955525279045105,0.6251326664792194
internvl_2_5_8b,REAL,30,9993,0.03442033752799034,0.019645970314741135,0.028940685093402863,0.04413415491580963,0.5899129673897436
internvl_2_5_8b,REAL,31,9993,0.022562475875020027,0.013525396585464478,0.01865159533917904,0.02649429254233837,0.5622247577834496
internvl_2_5_8b,REAL,32,9993,0.038969818502664566,0.027368536219000816,0.036070674657821655,0.04741448536515236,0.4093822924064965
