model,label,layer,n_mentions,mean,q25,median,q75,raw_net_strength_real_auroc
internvl_2_5_8b,REAL,5,9993,0.7387624382972717,0.3548491597175598,0.6022801399230957,1.001707673072815,0.6964212151223863
internvl_2_5_8b,REAL,6,9993,1.940553069114685,0.8291080594062805,1.497477650642395,2.853071689605713,0.7045241125186272
internvl_2_5_8b,REAL,7,9993,1.3753244876861572,0.6727672219276428,1.1523090600967407,1.889613151550293,0.7173767956935654
internvl_2_5_8b,REAL,8,9993,2.649653911590576,1.6881587505340576,2.6134402751922607,3.400458574295044,0.6940216022110153
internvl_2_5_8b,REAL,9,9993,1.313133716583252,0.7894639372825623,1.1499838829040527,1.7529122829437256,0.7359124490200899
internvl_2_5_8b,REAL,10,9993,3.3821682929992676,2.500239610671997,3.3674211502075195,4.201676368713379,0.6777399332420577
internvl_2_5_8b,REAL,11,9993,1.7682113647460938,1.2507163286209106,1.7341958284378052,2.2214255332946777,0.6718818121722578
internvl_2_5_8b,REAL,12,9993,2.8998284339904785,2.219924211502075,2.878854990005493,3.5753061771392822,0.6888495219586892
internvl_2_5_8b,REAL,13,9993,4.284526348114014,3.267606735229492,4.247209072113037,5.234499454498291,0.6286477827797692
internvl_2_5_8b,REAL,14,9993,1.6081315279006958,1.0396026372909546,1.5632565021514893,2.066807270050049,0.6778583343561331
internvl_2_5_8b,REAL,15,9993,2.734083652496338,2.096846342086792,2.7834725379943848,3.3699214458465576,0.6182130435812431
internvl_2_5_8b,REAL,16,9993,6.211744785308838,5.083245277404785,6.354050159454346,7.558243751525879,0.6057696219743401
internvl_2_5_8b,REAL,17,9993,5.005839824676514,3.990356683731079,5.1645731925964355,6.100319862365723,0.6670934943248497
internvl_2_5_8b,REAL,18,9993,3.2051970958709717,2.231505870819092,3.152280330657959,4.120982646942139,0.6387541494221494
internvl_2_5_8b,REAL,19,9993,5.627194404602051,4.022317886352539,5.646272659301758,7.148833274841309,0.6849215458748644
internvl_2_5_8b,REAL,20,9993,9.133126258850098,6.55097770690918,9.083490371704102,11.483999252319336,0.655952569969987
internvl_2_5_8b,REAL,21,9993,4.366555213928223,3.0560152530670166,4.2898101806640625,5.513362407684326,0.635187071493647
internvl_2_5_8b,REAL,22,9993,3.414419412612915,2.0248048305511475,3.260018825531006,4.532578945159912,0.6577819365968409
internvl_2_5_8b,REAL,23,9993,1.6077024936676025,0.9506986141204834,1.4633334875106812,2.087552785873413,0.6305045751731762
internvl_2_5_8b,REAL,24,9993,1.2464182376861572,0.6321184039115906,0.9987419843673706,1.5889508724212646,0.5443574658546373
internvl_2_5_8b,REAL,25,9993,4.507404327392578,2.389064311981201,3.9787726402282715,5.893538475036621,0.6141470320277422
internvl_2_5_8b,REAL,26,9993,3.2038023471832275,1.6779521703720093,3.028404951095581,4.422237396240234,0.643832817740255
internvl_2_5_8b,REAL,27,9993,2.15942120552063,1.0704052448272705,1.9213896989822388,2.8915200233459473,0.5903796587396002
internvl_2_5_8b,REAL,28,9993,1.2020418643951416,0.608486533164978,0.9747005105018616,1.5474824905395508,0.5942012466484183
internvl_2_5_8b,REAL,29,9993,3.8847880363464355,1.8824810981750488,3.4922101497650146,5.399593353271484,0.6307665649080063
internvl_2_5_8b,REAL,30,9993,7.420162200927734,4.17343282699585,6.706141471862793,9.941280364990234,0.6350215819250146
internvl_2_5_8b,REAL,31,9993,4.138934135437012,2.451808214187622,3.7153987884521484,5.359172344207764,0.6351426179526121
internvl_2_5_8b,REAL,32,9993,7.5979132652282715,5.213628768920898,6.944585800170898,9.459821701049805,0.6964563473026816
