model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
internvl_2_5_8b,REAL,16,9993,0.6208929419517517,0.568360447883606,0.6195387244224548,0.6737070083618164,0.5287293971011872
internvl_2_5_8b,REAL,17,9993,0.6183255910873413,0.5669994950294495,0.6208794116973877,0.6740460395812988,0.5711198858453466
internvl_2_5_8b,REAL,18,9993,0.6510207056999207,0.5930553674697876,0.6565793752670288,0.7174733877182007,0.6021178584918844
internvl_2_5_8b,REAL,19,9993,0.6397375464439392,0.5879569053649902,0.6428056359291077,0.6966304779052734,0.6003794388801493
internvl_2_5_8b,REAL,20,9993,0.6603708863258362,0.6045029163360596,0.6631641387939453,0.7223619222640991,0.5851555601945144
internvl_2_5_8b,REAL,21,9993,0.6683927774429321,0.6133275032043457,0.6729546189308167,0.7269024848937988,0.6274431456492933
internvl_2_5_8b,REAL,22,9993,0.6861804723739624,0.630752682685852,0.6881211996078491,0.7456853985786438,0.6186672686735755
internvl_2_5_8b,REAL,23,9993,0.6974643468856812,0.6367137432098389,0.7028113007545471,0.7627907991409302,0.629041801514741
internvl_2_5_8b,REAL,24,9993,0.683151364326477,0.630978524684906,0.6835843324661255,0.7376185655593872,0.6430456019100119
internvl_2_5_8b,REAL,25,9993,0.720596194267273,0.6590591669082642,0.725447416305542,0.78843092918396,0.6186222201520679
internvl_2_5_8b,REAL,26,9993,0.7392560243606567,0.6743564605712891,0.7452726364135742,0.8133652806282043,0.664314708857922
internvl_2_5_8b,REAL,27,9993,0.7008428573608398,0.648256778717041,0.7041831016540527,0.7576122879981995,0.6168719292632816
internvl_2_5_8b,REAL,28,9993,0.672892689704895,0.6092749834060669,0.6722111701965332,0.7396206855773926,0.6257433431034793
internvl_2_5_8b,REAL,29,9993,0.7493765950202942,0.6847937107086182,0.7611536383628845,0.8248960375785828,0.6378548506038032
internvl_2_5_8b,REAL,30,9993,0.7357935905456543,0.6826539039611816,0.7430256605148315,0.7953688502311707,0.6168672827491134
internvl_2_5_8b,REAL,31,9993,0.7274330258369446,0.6780169010162354,0.7319462299346924,0.7834742665290833,0.6534450106014187
internvl_2_5_8b,REAL,32,9993,0.6496834754943848,0.596402645111084,0.651203453540802,0.7034456729888916,0.6906420847934438
