model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
internvl_2_5_8b,REAL,7,9993,0.04383037984371185,0.02793840318918228,0.03996681421995163,0.05503435060381889,0.42069043460660294
internvl_2_5_8b,REAL,8,9993,0.03972911089658737,0.025338854640722275,0.03647945448756218,0.04986092820763588,0.4399617671214697
internvl_2_5_8b,REAL,9,9993,0.039669979363679886,0.026766963303089142,0.03664857894182205,0.048643216490745544,0.4335680786289927
internvl_2_5_8b,REAL,10,9993,0.03230318799614906,0.020545708015561104,0.02870352938771248,0.04009693115949631,0.5097659811471654
internvl_2_5_8b,REAL,11,9993,0.03640507161617279,0.02375333569943905,0.032595787197351456,0.04463588446378708,0.5062030964143757
internvl_2_5_8b,REAL,12,9993,0.02960045076906681,0.01909928396344185,0.026285532861948013,0.036065299063920975,0.5138346276141883
internvl_2_5_8b,REAL,13,9993,0.032980624586343765,0.021184056997299194,0.029344122856855392,0.04039197787642479,0.5449797020995104
internvl_2_5_8b,REAL,14,9993,0.033375855535268784,0.020943131297826767,0.028989560902118683,0.040815338492393494,0.43966903672888114
internvl_2_5_8b,REAL,15,9993,0.029046451672911644,0.019367989152669907,0.02621305175125599,0.0357779897749424,0.48343905853009905
internvl_2_5_8b,REAL,16,9993,0.025864021852612495,0.016166789457201958,0.022861987352371216,0.03209633007645607,0.5385915950905158
internvl_2_5_8b,REAL,17,9993,0.02585519850254059,0.016246236860752106,0.022973574697971344,0.03226412832736969,0.48674927488879816
internvl_2_5_8b,REAL,18,9993,0.022251438349485397,0.0129703963175416,0.0191413015127182,0.028071848675608635,0.4809709095347491
internvl_2_5_8b,REAL,19,9993,0.025208115577697754,0.015924954786896706,0.022144945338368416,0.03095264732837677,0.46218508108563877
internvl_2_5_8b,REAL,20,9993,0.03229772299528122,0.021906621754169464,0.029903188347816467,0.039887864142656326,0.5025632325413747
internvl_2_5_8b,REAL,21,9993,0.03102690726518631,0.020252279937267303,0.02776142582297325,0.03819939121603966,0.505420668760318
internvl_2_5_8b,REAL,22,9993,0.03456668183207512,0.022866588085889816,0.031493525952100754,0.04280982166528702,0.43992113845490255
internvl_2_5_8b,REAL,23,9993,0.027760816738009453,0.015754494816064835,0.023894479498267174,0.035438422113657,0.4483137630089647
internvl_2_5_8b,REAL,24,9993,0.03382624313235283,0.020757906138896942,0.029659483581781387,0.04198523983359337,0.45262564315972476
internvl_2_5_8b,REAL,25,9993,0.03076942078769207,0.01884615607559681,0.027424726635217667,0.0384284108877182,0.5184103107736004
internvl_2_5_8b,REAL,26,9993,0.02795545756816864,0.016396498307585716,0.02424485981464386,0.03542783856391907,0.45620164579531836
internvl_2_5_8b,REAL,27,9993,0.030819401144981384,0.01914285309612751,0.027008768171072006,0.037970107048749924,0.4723466959147734
internvl_2_5_8b,REAL,28,9993,0.02826906181871891,0.01544929575175047,0.02331186644732952,0.035472381860017776,0.45342365363568765
internvl_2_5_8b,REAL,29,9993,0.027619730681180954,0.017254412174224854,0.02382887527346611,0.033897917717695236,0.4674047314433807
internvl_2_5_8b,REAL,30,9993,0.02471047267317772,0.014817270450294018,0.02124612219631672,0.030721362680196762,0.5638272668557684
internvl_2_5_8b,REAL,31,9993,0.025523969903588295,0.01624690182507038,0.022563712671399117,0.0311342291533947,0.49023815538374027
internvl_2_5_8b,REAL,32,9993,0.0364772193133831,0.024129612371325493,0.03289346769452095,0.04472803324460983,0.3972358510527018
