model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
internvl_2_5_8b,HALL,29,1766,0.20481570065021515,0.1899580955505371,0.20090749859809875,0.21434223651885986,0.550739283070063
internvl_2_5_8b,HALL,30,1766,0.21370093524456024,0.19737926125526428,0.20920047163963318,0.22532951831817627,0.5281678205321301
internvl_2_5_8b,HALL,31,1766,0.20959702134132385,0.1994454562664032,0.20665878057479858,0.21566393971443176,0.4802264189689295
internvl_2_5_8b,HALL,32,1766,0.34821027517318726,0.32103779911994934,0.33945590257644653,0.3671853542327881,0.43321171365822436
internvl_2_5_8b,REAL,1,9993,0.6387563347816467,0.6177484393119812,0.6434506773948669,0.6603468656539917,0.6234641995716368
internvl_2_5_8b,REAL,2,9993,0.4127061665058136,0.39241209626197815,0.4145258367061615,0.4339263141155243,0.5122600826240883
internvl_2_5_8b,REAL,3,9993,0.45813074707984924,0.4408038854598999,0.45591485500335693,0.4728510081768036,0.5137265678273772
internvl_2_5_8b,REAL,4,9993,0.4706478714942932,0.45037543773651123,0.47292354702949524,0.489952027797699,0.5506418762669543
internvl_2_5_8b,REAL,5,9993,0.47025182843208313,0.4540131688117981,0.46995899081230164,0.48602911829948425,0.5590777077362987
internvl_2_5_8b,REAL,6,9993,0.4815292954444885,0.4557698667049408,0.47680535912513733,0.5006091594696045,0.47699179346267184
internvl_2_5_8b,REAL,7,9993,0.42058321833610535,0.41075369715690613,0.42120763659477234,0.4317595660686493,0.5425097681627422
internvl_2_5_8b,REAL,8,9993,0.44284412264823914,0.4294387698173523,0.4416123330593109,0.4545924663543701,0.4750818211479632
internvl_2_5_8b,REAL,9,9993,0.4128277897834778,0.40219801664352417,0.41316962242126465,0.4232088625431061,0.635219512095613
internvl_2_5_8b,REAL,10,9993,0.3938445746898651,0.3825279474258423,0.39482593536376953,0.4054843485355377,0.5974130079050806
internvl_2_5_8b,REAL,11,9993,0.3795718550682068,0.3678149878978729,0.37940001487731934,0.391217976808548,0.6473237665006502
internvl_2_5_8b,REAL,12,9993,0.3827259838581085,0.37185388803482056,0.38312795758247375,0.39380398392677307,0.5979051700856511
internvl_2_5_8b,REAL,13,9993,0.3873453736305237,0.3766745626926422,0.38717544078826904,0.3975352346897125,0.612328828367853
internvl_2_5_8b,REAL,14,9993,0.3607943058013916,0.35085248947143555,0.3608131408691406,0.37001147866249084,0.5392887705425509
internvl_2_5_8b,REAL,15,9993,0.3488657474517822,0.3376307487487793,0.3490684926509857,0.3597269356250763,0.47076962934076505
internvl_2_5_8b,REAL,16,9993,0.34155136346817017,0.3300606608390808,0.34013694524765015,0.35129737854003906,0.4086131243172599
internvl_2_5_8b,REAL,17,9993,0.34638988971710205,0.3368784189224243,0.3467406928539276,0.35576143860816956,0.4891491144593968
internvl_2_5_8b,REAL,18,9993,0.31208646297454834,0.3005239963531494,0.3100326955318451,0.32160696387290955,0.49245176606637103
internvl_2_5_8b,REAL,19,9993,0.3237844705581665,0.3104160726070404,0.3225405514240265,0.33530136942863464,0.5140812045215343
internvl_2_5_8b,REAL,20,9993,0.3262132704257965,0.3071162700653076,0.32284581661224365,0.34096604585647583,0.43809018521345466
internvl_2_5_8b,REAL,21,9993,0.27410563826560974,0.262112021446228,0.271922767162323,0.28376147150993347,0.34714362341294625
internvl_2_5_8b,REAL,22,9993,0.2610325515270233,0.24280183017253876,0.2573303282260895,0.27490749955177307,0.4225685329674147
internvl_2_5_8b,REAL,23,9993,0.22216545045375824,0.2082068771123886,0.21931657195091248,0.23344013094902039,0.3453774097134132
internvl_2_5_8b,REAL,24,9993,0.22621308267116547,0.20936298370361328,0.22423432767391205,0.23977088928222656,0.37533144662192186
internvl_2_5_8b,REAL,25,9993,0.2391890585422516,0.21050749719142914,0.233957439661026,0.26070839166641235,0.44737921868070957
internvl_2_5_8b,REAL,26,9993,0.21465814113616943,0.19707074761390686,0.2123461216688156,0.22884127497673035,0.43664183274838253
internvl_2_5_8b,REAL,27,9993,0.21071453392505646,0.19096533954143524,0.2067515105009079,0.2249886393547058,0.471980981250862
internvl_2_5_8b,REAL,28,9993,0.20123283565044403,0.1836559772491455,0.19756542146205902,0.21539302170276642,0.4637493414132815
internvl_2_5_8b,REAL,29,9993,0.20902934670448303,0.19094491004943848,0.20511814951896667,0.2225055992603302,0.550739283070063
internvl_2_5_8b,REAL,30,9993,0.21795012056827545,0.19618622958660126,0.21291272342205048,0.23291410505771637,0.5281678205321301
internvl_2_5_8b,REAL,31,9993,0.20923830568790436,0.1982727348804474,0.20562073588371277,0.2148757427930832,0.4802264189689295
internvl_2_5_8b,REAL,32,9993,0.33833086490631104,0.3195817768573761,0.33301153779029846,0.3502538800239563,0.43321171365822436
