model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_cosine_js_real_auroc
internvl_2_5_8b,REAL,13,9993,0.22503022849559784,0.17650707066059113,0.22161653637886047,0.2697806656360626,0.39198891659042423
internvl_2_5_8b,REAL,14,9993,0.20676548779010773,0.17026996612548828,0.20269782841205597,0.23976701498031616,0.5320965615908486
internvl_2_5_8b,REAL,15,9993,0.21424631774425507,0.173858642578125,0.21140530705451965,0.2524910271167755,0.43756079425473254
internvl_2_5_8b,REAL,16,9993,0.23835337162017822,0.18622660636901855,0.23339000344276428,0.28519609570503235,0.3547785828335781
internvl_2_5_8b,REAL,17,9993,0.23909598588943481,0.19778047502040863,0.23715846240520477,0.27849748730659485,0.4198862476666849
internvl_2_5_8b,REAL,18,9993,0.26995089650154114,0.22460931539535522,0.2683349847793579,0.31401267647743225,0.5029858953362484
internvl_2_5_8b,REAL,19,9993,0.2487972229719162,0.21089290082454681,0.2474917769432068,0.28478384017944336,0.4285458767909904
internvl_2_5_8b,REAL,20,9993,0.26737064123153687,0.22218964993953705,0.26373526453971863,0.3102247714996338,0.3934520302377009
internvl_2_5_8b,REAL,21,9993,0.25579017400741577,0.21454930305480957,0.2536157965660095,0.2953111231327057,0.44517297442297943
internvl_2_5_8b,REAL,22,9993,0.2679162621498108,0.2249041050672531,0.2639291286468506,0.3067227602005005,0.43980619389404974
internvl_2_5_8b,REAL,23,9993,0.28315192461013794,0.23830915987491608,0.2809402346611023,0.3261979818344116,0.4881231414651638
internvl_2_5_8b,REAL,24,9993,0.2649044692516327,0.21946990489959717,0.26137492060661316,0.30649852752685547,0.48501833503157765
internvl_2_5_8b,REAL,25,9993,0.29332947731018066,0.24488848447799683,0.29028812050819397,0.34117788076400757,0.43448225195915735
internvl_2_5_8b,REAL,26,9993,0.3049948811531067,0.25633886456489563,0.3045382499694824,0.35370078682899475,0.509980230782159
internvl_2_5_8b,REAL,27,9993,0.26463764905929565,0.22272329032421112,0.2628108561038971,0.30404743552207947,0.44889528559006026
internvl_2_5_8b,REAL,28,9993,0.2465965449810028,0.19954916834831238,0.24195076525211334,0.28937602043151855,0.4860325500783731
internvl_2_5_8b,REAL,29,9993,0.3096350133419037,0.26421427726745605,0.31132400035858154,0.35712772607803345,0.4945512538278493
internvl_2_5_8b,REAL,30,9993,0.27087143063545227,0.23220637440681458,0.27032050490379333,0.308647096157074,0.43346149212716173
internvl_2_5_8b,REAL,31,9993,0.2756091058254242,0.23762133717536926,0.2753371596336365,0.3133878707885742,0.4927447514505907
internvl_2_5_8b,REAL,32,9993,0.2374412566423416,0.20165394246578217,0.23880861699581146,0.2738517224788666,0.5683803124248129
