model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
internvl_2_5_8b,REAL,3,9993,0.1602637767791748,0.09120363742113113,0.13021332025527954,0.18516585230827332,0.6615639441380201
internvl_2_5_8b,REAL,4,9993,0.388350248336792,0.2279459536075592,0.33159732818603516,0.49896538257598877,0.7044858637739508
internvl_2_5_8b,REAL,5,9993,1.2866508960723877,0.6547645926475525,1.0849897861480713,1.7816433906555176,0.6912796205361873
internvl_2_5_8b,REAL,6,9993,3.280876398086548,1.5059003829956055,2.637157440185547,4.951991081237793,0.7128376046698148
internvl_2_5_8b,REAL,7,9993,2.5816571712493896,1.247106909751892,2.1727356910705566,3.550048828125,0.7136367767743197
internvl_2_5_8b,REAL,8,9993,5.1442179679870605,3.4120335578918457,5.142702579498291,6.6305766105651855,0.6999307499394536
internvl_2_5_8b,REAL,9,9993,2.620905637741089,1.5984872579574585,2.3321125507354736,3.5325558185577393,0.7369385070115332
internvl_2_5_8b,REAL,10,9993,7.18803071975708,5.370706558227539,7.279709339141846,8.909282684326172,0.6964530607438797
internvl_2_5_8b,REAL,11,9993,4.189012050628662,2.85233736038208,4.112627029418945,5.4641594886779785,0.6976540146619056
internvl_2_5_8b,REAL,12,9993,6.658058166503906,4.999095916748047,6.653594970703125,8.303400039672852,0.7139599928330352
internvl_2_5_8b,REAL,13,9993,9.865045547485352,7.590823650360107,9.764593124389648,11.999074935913086,0.655024938748177
internvl_2_5_8b,REAL,14,9993,4.00112247467041,2.7425713539123535,3.903705596923828,5.191555023193359,0.7002964362709616
internvl_2_5_8b,REAL,15,9993,6.1920599937438965,4.794948577880859,6.266151428222656,7.723919868469238,0.6741250585489117
internvl_2_5_8b,REAL,16,9993,13.527667999267578,10.982725143432617,13.859342575073242,16.530895233154297,0.6416376514522794
internvl_2_5_8b,REAL,17,9993,9.66667652130127,7.836634159088135,9.946815490722656,11.791014671325684,0.6607383095686801
internvl_2_5_8b,REAL,18,9993,6.445802211761475,4.804508209228516,6.736849308013916,8.141716003417969,0.6818920469696851
internvl_2_5_8b,REAL,19,9993,11.366839408874512,8.257192611694336,11.851085662841797,14.329427719116211,0.6923342092579188
internvl_2_5_8b,REAL,20,9993,16.38175392150879,12.373247146606445,16.8231201171875,20.62897491455078,0.6686187975977296
internvl_2_5_8b,REAL,21,9993,9.919891357421875,7.142336368560791,9.976127624511719,12.564539909362793,0.6583792686590693
internvl_2_5_8b,REAL,22,9993,7.3305487632751465,4.504755020141602,7.194188117980957,9.768335342407227,0.6470775012497423
internvl_2_5_8b,REAL,23,9993,3.1555581092834473,1.9906628131866455,2.9639368057250977,4.1025190353393555,0.6309664500144438
internvl_2_5_8b,REAL,24,9993,2.528521776199341,1.3166168928146362,2.133692979812622,3.3594536781311035,0.5538475743892752
internvl_2_5_8b,REAL,25,9993,8.81187915802002,5.118991851806641,8.465770721435547,11.941675186157227,0.6215136552551679
internvl_2_5_8b,REAL,26,9993,6.674073219299316,3.7429614067077637,6.571207046508789,9.351792335510254,0.653406846853953
internvl_2_5_8b,REAL,27,9993,4.350435733795166,2.343687057495117,4.012810707092285,5.947575092315674,0.5842620978512819
internvl_2_5_8b,REAL,28,9993,2.211873769760132,1.1928846836090088,1.9437146186828613,2.9859471321105957,0.6000926866246916
internvl_2_5_8b,REAL,29,9993,7.94000244140625,4.176285266876221,7.2502336502075195,10.93411922454834,0.6346465175679601
internvl_2_5_8b,REAL,30,9993,13.293910026550293,8.011272430419922,12.746129989624023,17.815908432006836,0.6319510010348127
internvl_2_5_8b,REAL,31,9993,9.48248291015625,5.7470550537109375,8.763884544372559,12.381104469299316,0.6394486616282588
internvl_2_5_8b,REAL,32,9993,14.019538879394531,9.492098808288574,12.961270332336426,17.34267807006836,0.689287880905082
