feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
G_JS,AE32_cosine,43,fixed_0.5,0.5,0.8662968768358202,0.971322291296999,0.9080739299610895,0.9297808764940239,0.9187992125984252,0.5451393670816377,0.5661538461538461,0.4932975871313673,0.5272206303724928
G_JS,AE32_cosine,43,train_f1,0.4804280400276184,0.8662968768358202,0.971322291296999,0.9000478240076518,0.9372509960159362,0.9182727494510856,0.5451393670816377,0.5655172413793104,0.43967828418230565,0.4947209653092006
G_JS,AE32_cosine,44,fixed_0.5,0.5,0.8626092146160667,0.9698652823911529,0.9061124694376528,0.922808764940239,0.9143844066123858,0.5310460400081661,0.5386904761904762,0.48525469168900803,0.5105782792665726
G_JS,AE32_cosine,44,train_f1,0.4500119388103485,0.8626092146160667,0.9698652823911529,0.8953102794883941,0.9412350597609562,0.9176984705025492,0.5310460400081661,0.562962962962963,0.4075067024128686,0.4727838258164852
G_JS,AE32_cosine,45,fixed_0.5,0.5,0.8695372664836633,0.9717290874045731,0.9017175572519084,0.9412350597609562,0.9210526315789473,0.5527473298518069,0.5859649122807018,0.4477211796246649,0.5075987841945289
G_JS,AE32_cosine,45,train_f1,0.5226855278015137,0.8695372664836633,0.9717290874045731,0.9030244839174267,0.9367529880478087,0.9195795648985579,0.5527473298518069,0.5738255033557047,0.4584450402144772,0.5096870342771982
G_JS,AE32,43,fixed_0.5,0.5,0.8647594608162524,0.9714724583616471,0.9135490394337715,0.8999003984063745,0.9066733567486202,0.5353642334004578,0.5012406947890818,0.5415549597855228,0.520618556701031
G_JS,AE32,43,train_f1,0.4082566499710083,0.8647594608162524,0.9714724583616471,0.894510739856802,0.9332669322709163,0.9134779429685596,0.5353642334004578,0.5314685314685315,0.4075067024128686,0.4613050075872534
G_JS,AE32,44,fixed_0.5,0.5,0.8625558089358384,0.9707461644307,0.907608695652174,0.9148406374501992,0.9112103174603174,0.5211029352968403,0.5210084033613446,0.49865951742627346,0.5095890410958904
G_JS,AE32,44,train_f1,0.4460059404373169,0.8625558089358384,0.9707461644307,0.8969465648854962,0.9362549800796812,0.9161793372319688,0.5211029352968403,0.5508771929824562,0.42091152815013405,0.47720364741641336
G_JS,AE32,45,fixed_0.5,0.5,0.8634697136387427,0.9703875921557397,0.9007744433688286,0.9267928286852589,0.9135984290623466,0.5353854873592193,0.5333333333333333,0.450402144772118,0.4883720930232558
G_JS,AE32,45,train_f1,0.4513120651245117,0.8634697136387427,0.9703875921557397,0.8948863636363636,0.9412350597609562,0.9174757281553398,0.5353854873592193,0.5613382899628253,0.40482573726541554,0.470404984423676
H_JS,AE32_cosine,43,fixed_0.5,0.5,0.866978466829732,0.9722931802739194,0.9160382101558572,0.9073705179282868,0.9116837628221166,0.5215839882667487,0.5255102040816326,0.5522788203753352,0.538562091503268
H_JS,AE32_cosine,43,train_f1,0.4310629367828369,0.866978466829732,0.9722931802739194,0.9005311443746982,0.9287848605577689,0.9144398136798235,0.5215839882667487,0.5387096774193548,0.4477211796246649,0.4890190336749634
H_JS,AE32_cosine,44,fixed_0.5,0.5,0.8723650972517437,0.9734718637636657,0.9113422486379396,0.9163346613545816,0.913831636453936,0.5404278002842126,0.5359116022099447,0.5201072386058981,0.527891156462585
H_JS,AE32_cosine,44,train_f1,0.4155867099761963,0.8723650972517437,0.9734718637636657,0.8969957081545065,0.9367529880478087,0.9164433617539586,0.5404278002842126,0.5528169014084507,0.42091152815013405,0.4779299847792998
H_JS,AE32_cosine,45,fixed_0.5,0.5,0.8700499610138533,0.9719820503980588,0.8902325581395348,0.953187250996016,0.9206349206349206,0.5468814018998743,0.5930735930735931,0.3672922252010724,0.45364238410596025
H_JS,AE32_cosine,45,train_f1,0.5362440943717957,0.8700499610138533,0.9719820503980588,0.8971563981042654,0.9427290836653387,0.9193783389995144,0.5468814018998743,0.5756457564575646,0.41823056300268097,0.484472049689441
H_JS,AE32,43,fixed_0.5,0.5,0.8711628018756075,0.9735304256408139,0.9198137609932747,0.8854581673306773,0.9023090586145648,0.5288073156777802,0.48660714285714285,0.5844504021447721,0.5310596833130329
H_JS,AE32,43,train_f1,0.36473584175109863,0.8711628018756075,0.9735304256408139,0.8946615824594852,0.9347609561752988,0.9142717973697029,0.5288073156777802,0.5371024734982333,0.4075067024128686,0.4634146341463415
H_JS,AE32,44,fixed_0.5,0.5,0.8629777138096408,0.9722422659313203,0.9124613800205973,0.8824701195219123,0.8972151898734178,0.5152380518334402,0.4624145785876993,0.5442359249329759,0.5
H_JS,AE32,44,train_f1,0.3398190140724182,0.8629777138096408,0.9722422659313203,0.8958233317330773,0.9292828685258964,0.9122463945245661,0.5152380518334402,0.5234899328859061,0.41823056300268097,0.46497764530551416
H_JS,AE32,45,fixed_0.5,0.5,0.8726214445168389,0.9721560625952474,0.8908922792417938,0.9596613545816733,0.9239990409973627,0.5685467277280826,0.6284403669724771,0.3672922252010724,0.46362098138747887
H_JS,AE32,45,train_f1,0.588007390499115,0.8726214445168389,0.9721560625952474,0.9048757170172084,0.9427290836653387,0.9234146341463415,0.5685467277280826,0.6020761245674741,0.46648793565683644,0.525679758308157
C_OT,AE32_cosine,43,fixed_0.5,0.5,0.8523539888702563,0.9674449176618198,0.8901515151515151,0.9362549800796812,0.912621359223301,0.47647909167953,0.5241635687732342,0.3780160857908847,0.4392523364485981
C_OT,AE32_cosine,43,train_f1,0.5175551176071167,0.8523539888702563,0.9674449176618198,0.8948631781084974,0.9282868525896414,0.9112686384747005,0.47647909167953,0.5167785234899329,0.4128686327077748,0.45901639344262296
C_OT,AE32_cosine,44,fixed_0.5,0.5,0.8479159768432971,0.9664414649112247,0.8732014388489209,0.9671314741035857,0.9177693761814745,0.4857599957053313,0.5796178343949044,0.24396782841823056,0.3433962264150943
C_OT,AE32_cosine,44,train_f1,0.6512407064437866,0.8479159768432971,0.9664414649112247,0.902046783625731,0.921812749003984,0.9118226600985222,0.4857599957053313,0.5227963525835866,0.46112600536193027,0.49002849002849
C_OT,AE32_cosine,45,fixed_0.5,0.5,0.833770147292866,0.9630167448211226,0.8955296404275996,0.9178286852589641,0.9065420560747663,0.45755620869658276,0.4891640866873065,0.42359249329758714,0.4540229885057471
C_OT,AE32_cosine,45,train_f1,0.5016849040985107,0.833770147292866,0.9630167448211226,0.8963503649635036,0.9173306772908366,0.9067191730248585,0.45755620869658276,0.49079754601226994,0.4289544235924933,0.45779685264663805
C_OT,AE32,43,fixed_0.5,0.5,0.8453444933403117,0.9642243767668922,0.8871866295264624,0.9516932270916335,0.9183085055261894,0.4943296884412804,0.5726872246696035,0.3485254691689008,0.43333333333333335
C_OT,AE32,43,train_f1,0.6097812056541443,0.8453444933403117,0.9642243767668922,0.9027845627747924,0.9203187250996016,0.9114673242909987,0.4943296884412804,0.5209580838323353,0.46648793565683644,0.49222065063649223
C_OT,AE32,44,fixed_0.5,0.5,0.8534074159127565,0.9675261753583144,0.8867313915857605,0.9551792828685259,0.9196835291297051,0.5013245813233743,0.5871559633027523,0.34316353887399464,0.43316412859560066
