model,metric,label,layer,n_mentions,mean,q25,median,q75
internvl_2_5_8b,top32_overlap,REAL,8,9993,0.9541460272190533,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,9,9993,0.9538270539377565,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,10,9993,0.9559691784248975,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,11,9993,0.9515660962673872,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,12,9993,0.9639528920244171,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,13,9993,0.9617669868908236,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,14,9993,0.9640498348844191,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,15,9993,0.9633555989192435,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,16,9993,0.955412538777144,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,17,9993,0.9648973031121785,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,18,9993,0.9630272440708496,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,19,9993,0.9458402131492044,0.9375,0.9375,0.96875
internvl_2_5_8b,top32_overlap,REAL,20,9993,0.9374343290303212,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,REAL,21,9993,0.9497898528970279,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,22,9993,0.9254884669268488,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,REAL,23,9993,0.9580956669668769,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,24,9993,0.9536175322725908,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,25,9993,0.9614573951766237,0.9375,0.96875,1.0
internvl_2_5_8b,top32_overlap,REAL,26,9993,0.9761207845491844,0.96875,0.96875,1.0
internvl_2_5_8b,top32_overlap,REAL,27,9993,0.9713956019213449,0.96875,0.96875,1.0
internvl_2_5_8b,top32_overlap,REAL,28,9993,0.9515535875112578,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,29,9993,0.960384769338537,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,30,9993,0.9499149404583208,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,31,9993,0.950274567197038,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,REAL,32,9993,0.8583977534273992,0.8125,0.875,0.90625
internvl_2_5_8b,top32_overlap,HALL,1,1766,0.9068162514156285,0.875,0.90625,0.9375
internvl_2_5_8b,top32_overlap,HALL,2,1766,0.939623442808607,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,HALL,3,1766,0.9564871177802945,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,4,1766,0.9585574745186863,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,5,1766,0.958858295583239,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,6,1766,0.961388731596829,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,7,1766,0.9393403171007928,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,HALL,8,1766,0.9498513590033975,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,9,1766,0.9514970271800679,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,10,1766,0.9542928935447339,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,11,1766,0.9471970554926388,0.9375,0.9375,0.96875
internvl_2_5_8b,top32_overlap,HALL,12,1766,0.9650516704416761,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,13,1766,0.9654763590033975,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,14,1766,0.9647862400906002,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,15,1766,0.9639014722536806,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,16,1766,0.9620434597961495,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,17,1766,0.9667681200453001,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,18,1766,0.9617780294450736,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,19,1766,0.9491612400906002,0.9375,0.953125,0.96875
internvl_2_5_8b,top32_overlap,HALL,20,1766,0.9401896942242356,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,HALL,21,1766,0.9471262740656852,0.9375,0.9375,0.96875
