model,layer,k,cases,median_spearman,median_js,median_top32_overlap,p90_gross_relative_error,p90_kappa_difference
llava_1_5_7b,24,1,355,0.9999962323864064,9.025027252377264e-07,1.0,0.008986651354327387,0.004149460792541507
llava_1_5_7b,24,4,355,0.9999997488257605,1.7128390814059362e-10,1.0,0.0002762398803976021,0.00013255476951599122
llava_1_5_7b,24,8,355,0.9999998116193204,7.470938430002166e-11,1.0,0.0002104742311016684,9.95755195617676e-05
llava_1_5_7b,24,16,355,0.9999998744128804,3.428506790778318e-11,1.0,4.160368497148809e-05,1.814365386962891e-05
llava_1_5_7b,24,32,355,0.9999999372064401,1.8157251135535574e-11,1.0,2.2170926855378928e-05,1.01923942565918e-05
llava_1_5_7b,32,1,355,0.9998889181925502,1.384449517885678e-05,1.0,0.01817165976591824,0.01316581964492798
llava_1_5_7b,32,4,355,0.9999996860322007,7.644054460805375e-10,1.0,0.0002973588760171462,0.00021307468414306642
llava_1_5_7b,32,8,355,0.9999998116193204,3.95466875042627e-10,1.0,0.00022317753783914333,0.00015671253204345705
llava_1_5_7b,32,16,355,0.9999998744128804,2.1392064078641217e-10,1.0,5.1637083911787214e-05,3.556013107299805e-05
llava_1_5_7b,32,32,355,0.9999998744128804,1.2603395666680178e-10,1.0,3.095334241131645e-05,2.187490463256836e-05
qwen2_5_vl_7b,7,1,329,0.9999783190868321,2.45897922039342e-06,1.0,0.01417150508318814,0.008718574047088621
qwen2_5_vl_7b,7,4,329,0.9999994155362164,2.5771484683502366e-09,1.0,0.0006469170530259723,0.00038578510284423826
qwen2_5_vl_7b,7,8,329,0.9999997077681082,1.0121273133556237e-09,1.0,0.0016940974270993742,0.0010459065437316893
qwen2_5_vl_7b,7,16,329,0.9999997992508041,4.288283444122733e-10,1.0,0.0006930759878684666,0.0004282474517822265
qwen2_5_vl_7b,7,32,329,0.999999907374324,2.0342714475723489e-10,1.0,0.0003516547357900907,0.00021702051162719727
qwen2_5_vl_7b,14,1,329,0.9999492104534123,2.203088096074384e-05,1.0,0.060190738331269575,0.024437242746353147
qwen2_5_vl_7b,14,4,329,0.9999994292318888,2.8002974012394184e-09,1.0,0.0007686733200835662,0.00034096837043762207
qwen2_5_vl_7b,14,8,329,0.9999997077681082,1.221549127135001e-09,1.0,0.0017291095158435048,0.0008221149444580078
