model,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,HALL,27,1766,0.27084314823150635,0.2712288498878479,0.22039641439914703,0.3201465606689453
internvl_2_5_8b,HALL,28,1766,0.25260022282600403,0.2558421492576599,0.1914624273777008,0.30973756313323975
internvl_2_5_8b,HALL,29,1766,0.26869580149650574,0.26774078607559204,0.21649381518363953,0.31329596042633057
internvl_2_5_8b,HALL,30,1766,0.2929018437862396,0.26622405648231506,0.2070145457983017,0.3776349425315857
internvl_2_5_8b,HALL,31,1766,0.24835485219955444,0.23725035786628723,0.1953606754541397,0.2858486771583557
internvl_2_5_8b,HALL,32,1766,0.2046458125114441,0.17109256982803345,0.13476550579071045,0.22271737456321716
internvl_2_5_8b,REAL,1,9993,0.14181965589523315,0.13603894412517548,0.1131519228219986,0.1654563695192337
internvl_2_5_8b,REAL,2,9993,0.20756199955940247,0.2047412395477295,0.17928743362426758,0.2329285442829132
internvl_2_5_8b,REAL,3,9993,0.21783852577209473,0.2131391316652298,0.18140089511871338,0.24946202337741852
internvl_2_5_8b,REAL,4,9993,0.18726548552513123,0.18364843726158142,0.15764661133289337,0.21302737295627594
internvl_2_5_8b,REAL,5,9993,0.1718873828649521,0.16741888225078583,0.14288343489170074,0.19633816182613373
internvl_2_5_8b,REAL,6,9993,0.1774982511997223,0.1712934374809265,0.14803799986839294,0.19812506437301636
internvl_2_5_8b,REAL,7,9993,0.1636418253183365,0.15854956209659576,0.13442066311836243,0.18741270899772644
internvl_2_5_8b,REAL,8,9993,0.1743682622909546,0.16661934554576874,0.1422237753868103,0.19694800674915314
internvl_2_5_8b,REAL,9,9993,0.1570567935705185,0.15493103861808777,0.12882715463638306,0.18211111426353455
internvl_2_5_8b,REAL,10,9993,0.19089925289154053,0.17321768403053284,0.1437588781118393,0.21213239431381226
internvl_2_5_8b,REAL,11,9993,0.18081071972846985,0.17759689688682556,0.14562340080738068,0.21258413791656494
internvl_2_5_8b,REAL,12,9993,0.18741609156131744,0.181582510471344,0.15108628571033478,0.21645498275756836
internvl_2_5_8b,REAL,13,9993,0.23565773665905,0.20333409309387207,0.1578611433506012,0.2826458811759949
internvl_2_5_8b,REAL,14,9993,0.21579907834529877,0.21410171687602997,0.1833890825510025,0.24716298282146454
internvl_2_5_8b,REAL,15,9993,0.2087140679359436,0.20518998801708221,0.17172180116176605,0.24140304327011108
internvl_2_5_8b,REAL,16,9993,0.25553765892982483,0.21806208789348602,0.14529350399971008,0.35430073738098145
internvl_2_5_8b,REAL,17,9993,0.22328297793865204,0.19675292074680328,0.1562556028366089,0.2647322118282318
internvl_2_5_8b,REAL,18,9993,0.2365007847547531,0.23301689326763153,0.19595932960510254,0.2710666060447693
internvl_2_5_8b,REAL,19,9993,0.2786606252193451,0.24727414548397064,0.1773541122674942,0.38025787472724915
internvl_2_5_8b,REAL,20,9993,0.33282870054244995,0.34054920077323914,0.2040059119462967,0.44855713844299316
internvl_2_5_8b,REAL,21,9993,0.23504191637039185,0.21949860453605652,0.18192028999328613,0.2648215889930725
internvl_2_5_8b,REAL,22,9993,0.2470811903476715,0.24215388298034668,0.20191313326358795,0.28255531191825867
internvl_2_5_8b,REAL,23,9993,0.2758391201496124,0.27804988622665405,0.2379922717809677,0.31517213582992554
internvl_2_5_8b,REAL,24,9993,0.2621055841445923,0.2622571885585785,0.2218349277973175,0.3018515706062317
internvl_2_5_8b,REAL,25,9993,0.2936999499797821,0.2771410048007965,0.22700561583042145,0.3412378430366516
internvl_2_5_8b,REAL,26,9993,0.2772633135318756,0.2730062007904053,0.22826054692268372,0.31849539279937744
internvl_2_5_8b,REAL,27,9993,0.27131012082099915,0.2704903185367584,0.23062843084335327,0.308215856552124
internvl_2_5_8b,REAL,28,9993,0.2460969239473343,0.24688157439231873,0.202423557639122,0.289864718914032
internvl_2_5_8b,REAL,29,9993,0.2860052287578583,0.2752988636493683,0.2254643738269806,0.3330889940261841
internvl_2_5_8b,REAL,30,9993,0.33246779441833496,0.3139466941356659,0.21525165438652039,0.4529576003551483
internvl_2_5_8b,REAL,31,9993,0.2634434700012207,0.2424880415201187,0.19977983832359314,0.2975449562072754
internvl_2_5_8b,REAL,32,9993,0.2491837739944458,0.18536251783370972,0.14000828564167023,0.35881710052490234
