model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
internvl_2_5_8b,REAL,13,9993,0.33161887526512146,0.17559058964252472,0.3644426465034485,0.4619618356227875,0.5062241473901493
internvl_2_5_8b,REAL,14,9993,0.2320510894060135,0.14293041825294495,0.18145501613616943,0.3170108497142792,0.5195007683181171
internvl_2_5_8b,REAL,15,9993,0.2413080781698227,0.13086611032485962,0.1899377554655075,0.35345059633255005,0.4656167017931805
internvl_2_5_8b,REAL,16,9993,0.3548579812049866,0.2230072319507599,0.3905068039894104,0.474978506565094,0.536950922270731
internvl_2_5_8b,REAL,17,9993,0.32962948083877563,0.18929895758628845,0.3587597608566284,0.44829317927360535,0.5282064659304548
internvl_2_5_8b,REAL,18,9993,0.2882111668586731,0.17349648475646973,0.28833916783332825,0.39129942655563354,0.5668708752978727
internvl_2_5_8b,REAL,19,9993,0.37126925587654114,0.28842994570732117,0.4066469073295593,0.4713638722896576,0.6174737945100641
internvl_2_5_8b,REAL,20,9993,0.3894970417022705,0.31406161189079285,0.4162648618221283,0.48788005113601685,0.565647935434759
internvl_2_5_8b,REAL,21,9993,0.28734394907951355,0.1526610255241394,0.2628788352012634,0.4158720076084137,0.5122856384520127
internvl_2_5_8b,REAL,22,9993,0.2834368944168091,0.1778595894575119,0.24560385942459106,0.38469254970550537,0.5405903044928732
internvl_2_5_8b,REAL,23,9993,0.23597002029418945,0.18061472475528717,0.21388261020183563,0.26363271474838257,0.5060522830307376
internvl_2_5_8b,REAL,24,9993,0.23331741988658905,0.18266798555850983,0.21523551642894745,0.2566911280155182,0.5357603946771801
internvl_2_5_8b,REAL,25,9993,0.34398582577705383,0.22338497638702393,0.35470372438430786,0.4524846374988556,0.5805173474206576
internvl_2_5_8b,REAL,26,9993,0.3079042136669159,0.20642802119255066,0.29076719284057617,0.40227586030960083,0.5862152487488694
internvl_2_5_8b,REAL,27,9993,0.2722194790840149,0.1863904595375061,0.23197172582149506,0.3510938286781311,0.5340443859965849
internvl_2_5_8b,REAL,28,9993,0.21607708930969238,0.16633592545986176,0.19689713418483734,0.23775945603847504,0.5188793820453479
internvl_2_5_8b,REAL,29,9993,0.33483803272247314,0.22132137417793274,0.34545597434043884,0.43787822127342224,0.6167702442672498
internvl_2_5_8b,REAL,30,9993,0.39203688502311707,0.3059810996055603,0.4304124116897583,0.4969331622123718,0.6128742554669356
