model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,parallel_gain_median,6,95,95,0.013428104668366105,0.005510725604382982,0.5263157894736842
qwen2_5_vl_7b,all,parallel_gain_median,7,95,95,0.003098314231876808,0.003882463695005667,0.5473684210526316
qwen2_5_vl_7b,all,parallel_gain_median,8,95,95,-0.010737669331494264,-0.003023654130281439,0.49473684210526314
qwen2_5_vl_7b,all,parallel_gain_median,9,95,95,-0.004251663890656418,-0.012501634973829556,0.43157894736842106
qwen2_5_vl_7b,all,parallel_gain_median,10,95,95,0.021499504135443666,0.01784855525971507,0.5684210526315789
qwen2_5_vl_7b,all,parallel_gain_median,11,95,95,0.015206687014929731,0.017510441312964864,0.6421052631578947
qwen2_5_vl_7b,all,parallel_gain_median,12,95,95,0.001799665122939211,-0.0023672680168924654,0.4842105263157895
qwen2_5_vl_7b,all,parallel_gain_median,13,95,95,0.005334362700396053,0.004132177927530789,0.5157894736842106
qwen2_5_vl_7b,all,parallel_gain_median,14,95,95,-0.011593443255628208,-0.017670281271217392,0.37894736842105264
qwen2_5_vl_7b,all,parallel_gain_median,15,95,95,0.016670187511380583,0.018584140066773336,0.7263157894736842
qwen2_5_vl_7b,all,parallel_gain_median,16,95,95,0.0072002287479439354,0.01044448079871535,0.5789473684210527
qwen2_5_vl_7b,all,parallel_gain_median,17,95,95,-0.0038001847447568377,0.00033344685303071664,0.5052631578947369
qwen2_5_vl_7b,all,parallel_gain_median,18,95,95,-0.004095559460408059,-0.004987854355890525,0.42105263157894735
qwen2_5_vl_7b,all,parallel_gain_median,19,95,95,-0.002749677872091256,-0.0027095522146088347,0.45263157894736844
qwen2_5_vl_7b,all,parallel_gain_median,20,95,95,-0.00013628525937094097,0.0008614829411220798,0.5263157894736842
qwen2_5_vl_7b,all,parallel_gain_median,21,95,95,-0.0098237610146894,-0.005950167724715072,0.37894736842105264
qwen2_5_vl_7b,all,parallel_gain_median,22,95,95,-0.005936216025337756,-0.004737039972527196,0.42105263157894735
qwen2_5_vl_7b,all,parallel_gain_median,23,95,95,-0.006425173166726467,-0.007876245396163831,0.30526315789473685
qwen2_5_vl_7b,all,parallel_gain_median,24,95,95,-0.0008702605902853336,0.00021556264359853805,0.5368421052631579
qwen2_5_vl_7b,all,parallel_gain_median,25,95,95,0.0003897379869046477,0.001668412582302415,0.5263157894736842
qwen2_5_vl_7b,all,parallel_gain_median,26,95,95,-0.0002523166412402765,0.00019389662034897687,0.5368421052631579
qwen2_5_vl_7b,all,parallel_gain_median,27,95,95,-0.00445835680424442,-0.0020081635151204345,0.3894736842105263
qwen2_5_vl_7b,all,parallel_gain_median,28,95,95,0.00032053588207769576,0.0038185320071963723,0.5578947368421052
qwen2_5_vl_7b,all,parallel_gain_std,1,95,95,0.000567879092668028,-0.0012461139489571421,0.4631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,2,95,95,7.812403322337393e-05,-0.0021090004994490687,0.42105263157894735
qwen2_5_vl_7b,all,parallel_gain_std,3,95,95,0.0019002765539415302,0.0008976271108826032,0.5263157894736842
qwen2_5_vl_7b,all,parallel_gain_std,4,95,95,0.0003929182890995393,0.0005700058297159333,0.5263157894736842
qwen2_5_vl_7b,all,parallel_gain_std,5,95,95,-0.001416080582228383,-0.0014964720494594005,0.43157894736842106
qwen2_5_vl_7b,all,parallel_gain_std,6,95,95,-0.0033435844480386653,-0.004007191969353986,0.35789473684210527
qwen2_5_vl_7b,all,parallel_gain_std,7,95,95,-2.7815983771398193e-05,-0.0006639856663582556,0.4421052631578947
qwen2_5_vl_7b,all,parallel_gain_std,8,95,95,-0.0003961271247598373,3.725513892897242e-05,0.5052631578947369
qwen2_5_vl_7b,all,parallel_gain_std,9,95,95,0.00284057687959247,0.002447311088719553,0.5578947368421052
qwen2_5_vl_7b,all,parallel_gain_std,10,95,95,0.0031475716780492995,0.0021603484664233924,0.5789473684210527
qwen2_5_vl_7b,all,parallel_gain_std,11,95,95,-0.007474206827041575,-0.00812164348769398,0.3263157894736842
qwen2_5_vl_7b,all,parallel_gain_std,12,95,95,0.005528119569385963,0.006196044796498684,0.7157894736842105
qwen2_5_vl_7b,all,parallel_gain_std,13,95,95,0.0014801992094328348,0.0028616911691112454,0.6
qwen2_5_vl_7b,all,parallel_gain_std,14,95,95,0.006793176919951257,0.0070168220653247515,0.6736842105263158
qwen2_5_vl_7b,all,parallel_gain_std,15,95,95,0.00793974185485912,0.005471641095154842,0.7157894736842105
qwen2_5_vl_7b,all,parallel_gain_std,16,95,95,0.0009987103543382604,0.0014153621859731846,0.5578947368421052
qwen2_5_vl_7b,all,parallel_gain_std,17,95,95,0.00269432153847264,0.002928430994091187,0.6631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,18,95,95,-0.0008579076488233242,-0.001351477165903378,0.4421052631578947
qwen2_5_vl_7b,all,parallel_gain_std,19,95,95,0.003957032160521178,0.004281743813010767,0.631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,20,95,95,0.004682379127852961,0.003865439511996513,0.631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,21,95,95,0.007851091106086816,0.006435557452609514,0.631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,22,95,95,0.003165813326974611,0.0027737648087653166,0.6105263157894737
qwen2_5_vl_7b,all,parallel_gain_std,23,95,95,-0.002811195539507575,-0.003481392803293907,0.35789473684210527
qwen2_5_vl_7b,all,parallel_gain_std,24,95,95,0.0038563130902762865,0.004283358896797339,0.631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,25,95,95,-0.0003144963547906182,-0.0008319418767074142,0.4631578947368421
qwen2_5_vl_7b,all,parallel_gain_std,26,95,95,-0.00035562300183350856,-0.00014109695851639847,0.45263157894736844
qwen2_5_vl_7b,all,parallel_gain_std,27,95,95,-0.0013868529470543618,-0.0014349188618760639,0.43157894736842106
qwen2_5_vl_7b,all,parallel_gain_std,28,95,95,0.009184024762496558,-0.012084066641816327,0.4631578947368421
qwen2_5_vl_7b,all,orthogonal_ratio_mean,1,95,95,0.001194179908902458,0.003389383968378068,0.5684210526315789
qwen2_5_vl_7b,all,orthogonal_ratio_mean,2,95,95,-0.0008481351434730015,-0.00022020300098146706,0.4421052631578947
qwen2_5_vl_7b,all,orthogonal_ratio_mean,3,95,95,-0.00107883498082335,-0.0015726370117622457,0.47368421052631576
qwen2_5_vl_7b,all,orthogonal_ratio_mean,4,95,95,-4.4303127894277545e-05,-0.0009456839556287733,0.4842105263157895
qwen2_5_vl_7b,all,orthogonal_ratio_mean,5,95,95,-0.0007401478871721005,-0.0011897829894929046,0.47368421052631576
qwen2_5_vl_7b,all,orthogonal_ratio_mean,6,95,95,0.0038359134238022483,0.0009208293373260679,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_mean,7,95,95,0.0026044130313497868,0.004305754855531085,0.5263157894736842
qwen2_5_vl_7b,all,orthogonal_ratio_mean,8,95,95,0.0010114455355207345,0.001377745075044512,0.5263157894736842
qwen2_5_vl_7b,all,orthogonal_ratio_mean,9,95,95,0.0008285003652714252,-0.0009957996314333695,0.49473684210526314
qwen2_5_vl_7b,all,orthogonal_ratio_mean,10,95,95,0.011413236320825384,0.013085728818965414,0.631578947368421
qwen2_5_vl_7b,all,orthogonal_ratio_mean,11,95,95,0.0059478122149788214,0.005633565074545932,0.5789473684210527
qwen2_5_vl_7b,all,orthogonal_ratio_mean,12,95,95,0.001632690760582478,0.0018510242735892968,0.5473684210526316
qwen2_5_vl_7b,all,orthogonal_ratio_mean,13,95,95,0.004631537615627684,0.003262344933608663,0.5578947368421052
qwen2_5_vl_7b,all,orthogonal_ratio_mean,14,95,95,-0.006568887142279717,-0.012453177673557914,0.37894736842105264
qwen2_5_vl_7b,all,orthogonal_ratio_mean,15,95,95,0.005817522098923075,0.005876146320311304,0.6526315789473685
qwen2_5_vl_7b,all,orthogonal_ratio_mean,16,95,95,-3.060514176710675e-05,0.0011872094452860527,0.5473684210526316
qwen2_5_vl_7b,all,orthogonal_ratio_mean,17,95,95,-0.004233030705031348,-0.004112709128714531,0.4105263157894737
qwen2_5_vl_7b,all,orthogonal_ratio_mean,18,95,95,-0.004393872987058569,-0.0039182183448162045,0.43157894736842106
qwen2_5_vl_7b,all,orthogonal_ratio_mean,19,95,95,0.00020252007492545316,-0.0004430968000550539,0.4842105263157895
qwen2_5_vl_7b,all,orthogonal_ratio_mean,20,95,95,-0.0003099091846347251,0.00041477415307356047,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_mean,21,95,95,-0.0063606376933423026,-0.004613582014713069,0.3473684210526316
qwen2_5_vl_7b,all,orthogonal_ratio_mean,22,95,95,-0.001247143795367505,-0.001282168314915677,0.4105263157894737
qwen2_5_vl_7b,all,orthogonal_ratio_mean,23,95,95,-0.00042283717079671235,-0.000490363651374226,0.4105263157894737
qwen2_5_vl_7b,all,orthogonal_ratio_mean,24,95,95,6.277193707429892e-05,0.00021553611426849972,0.5578947368421052
qwen2_5_vl_7b,all,orthogonal_ratio_mean,25,95,95,0.0002391975143365947,0.00028903163927596065,0.5578947368421052
qwen2_5_vl_7b,all,orthogonal_ratio_mean,26,95,95,0.00023118996228179117,0.0001130027498983388,0.6105263157894737
qwen2_5_vl_7b,all,orthogonal_ratio_mean,27,95,95,0.0010002084513307506,0.0006368755815119309,0.6210526315789474
qwen2_5_vl_7b,all,orthogonal_ratio_mean,28,95,95,-0.0014927669244218984,0.004327187428220469,0.5684210526315789
qwen2_5_vl_7b,all,orthogonal_ratio_median,1,95,95,0.0013378967158536948,0.003063778331522049,0.5894736842105263
qwen2_5_vl_7b,all,orthogonal_ratio_median,2,95,95,-0.0008616161898377784,-0.0006165105380506741,0.47368421052631576
qwen2_5_vl_7b,all,orthogonal_ratio_median,3,95,95,-0.0005089135219006639,-0.0013486209712879615,0.45263157894736844
qwen2_5_vl_7b,all,orthogonal_ratio_median,4,95,95,-3.015588230288001e-05,-0.0010979603733838328,0.4842105263157895
qwen2_5_vl_7b,all,orthogonal_ratio_median,5,95,95,-0.0007564871807482507,-0.0009780364398969121,0.4631578947368421
qwen2_5_vl_7b,all,orthogonal_ratio_median,6,95,95,0.003969896965008079,0.001233654541256013,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_median,7,95,95,0.0027006120403744137,0.004012884159076968,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_median,8,95,95,0.0007060287894419142,2.0437959538210926e-05,0.5052631578947369
qwen2_5_vl_7b,all,orthogonal_ratio_median,9,95,95,0.0011032643653213618,-0.0009116023353049618,0.49473684210526314
qwen2_5_vl_7b,all,orthogonal_ratio_median,10,95,95,0.010755101857058446,0.011259000200303126,0.5894736842105263
qwen2_5_vl_7b,all,orthogonal_ratio_median,11,95,95,0.006132996949605825,0.006298718732720254,0.6105263157894737
qwen2_5_vl_7b,all,orthogonal_ratio_median,12,95,95,0.0017321452110019412,0.00124459802879473,0.5157894736842106
qwen2_5_vl_7b,all,orthogonal_ratio_median,13,95,95,0.005020613765871625,0.0033627338116033467,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_median,14,95,95,-0.006359103439922954,-0.011668049205804998,0.3684210526315789
qwen2_5_vl_7b,all,orthogonal_ratio_median,15,95,95,0.009148457571792994,0.010325517539647944,0.6947368421052632
qwen2_5_vl_7b,all,orthogonal_ratio_median,16,95,95,-2.6686075073322154e-05,0.0015929520212529802,0.5368421052631579
qwen2_5_vl_7b,all,orthogonal_ratio_median,17,95,95,-0.004719217699446294,-0.0036169197051807433,0.43157894736842106
