model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,parallel_gain_mean,HALL,28,122,122,0,-0.058507700832487894,-0.0839531493463342,-0.04181201490298643,0.010441480533186505
qwen2_5_vl_7b,all,parallel_gain_median,REAL,1,1006,1006,0,-0.13854599032846854,-0.21856736768456808,-0.1362023606070208,-0.06221586362169103
qwen2_5_vl_7b,all,parallel_gain_median,REAL,2,1006,1006,0,-0.06051413487687295,-0.06756724880848225,-0.05744510006985422,-0.049091691817619854
qwen2_5_vl_7b,all,parallel_gain_median,REAL,3,1006,1006,0,-0.0725327580705559,-0.08079664149265454,-0.0714365717732358,-0.06327311744311127
qwen2_5_vl_7b,all,parallel_gain_median,REAL,4,1006,1006,0,-0.10898224654754557,-0.13182848395986124,-0.11520563214985358,-0.08465345037974975
qwen2_5_vl_7b,all,parallel_gain_median,REAL,5,1006,1006,0,-0.17697299853775525,-0.1993463754488421,-0.17822753306955524,-0.15292563679664695
qwen2_5_vl_7b,all,parallel_gain_median,REAL,6,1006,1006,0,-0.2336766304960356,-0.266926605785913,-0.2342901307216492,-0.19399027450736966
qwen2_5_vl_7b,all,parallel_gain_median,REAL,7,1006,1006,0,-0.25277613494894224,-0.2738072394616579,-0.25891987757800794,-0.2301685068456359
qwen2_5_vl_7b,all,parallel_gain_median,REAL,8,1006,1006,0,-0.3662608066618156,-0.40346066169221617,-0.3761802494826356,-0.3369833969454256
qwen2_5_vl_7b,all,parallel_gain_median,REAL,9,1006,1006,0,-0.2638730453859128,-0.29733271019415564,-0.2806040233974908,-0.22675190988881136
qwen2_5_vl_7b,all,parallel_gain_median,REAL,10,1006,1006,0,-0.5083346380216637,-0.552717043477422,-0.5103861152156117,-0.4554679458059372
qwen2_5_vl_7b,all,parallel_gain_median,REAL,11,1006,1006,0,-0.29810460904545116,-0.3244862696417037,-0.3002663939060991,-0.2756043558838341
qwen2_5_vl_7b,all,parallel_gain_median,REAL,12,1006,1006,0,-0.28404282701392275,-0.3049240547299621,-0.28119730495771017,-0.26212042004549435
qwen2_5_vl_7b,all,parallel_gain_median,REAL,13,1006,1006,0,-0.2889786842213489,-0.31028092524694517,-0.2942876790761621,-0.266793426781838
qwen2_5_vl_7b,all,parallel_gain_median,REAL,14,1006,1006,0,-0.34425779137303386,-0.37069645784099897,-0.3469074102761185,-0.31818398823252925
qwen2_5_vl_7b,all,parallel_gain_median,REAL,15,1006,1006,0,-0.20332690380118523,-0.22498645315789753,-0.20398042405591,-0.18234098754432565
qwen2_5_vl_7b,all,parallel_gain_median,REAL,16,1006,1006,0,-0.21495776878098702,-0.2333645280058022,-0.2177023210302555,-0.19669102980259295
qwen2_5_vl_7b,all,parallel_gain_median,REAL,17,1006,1006,0,-0.21848854773924828,-0.2289177882353156,-0.21524812851639064,-0.2041253957480499
qwen2_5_vl_7b,all,parallel_gain_median,REAL,18,1006,1006,0,-0.2181121064674555,-0.22828753752543854,-0.21827912845607,-0.20687961343103095
qwen2_5_vl_7b,all,parallel_gain_median,REAL,19,1006,1006,0,-0.19026579503383229,-0.20083276104706133,-0.19007683143084642,-0.17838482674745895
qwen2_5_vl_7b,all,parallel_gain_median,REAL,20,1006,1006,0,-0.10755762774052255,-0.12134567405822169,-0.1050811177968595,-0.0912278751912161
qwen2_5_vl_7b,all,parallel_gain_median,REAL,21,1006,1006,0,-0.13415804391347533,-0.1479690787060826,-0.132316159067321,-0.117917790016431
qwen2_5_vl_7b,all,parallel_gain_median,REAL,22,1006,1006,0,-0.07360755485657108,-0.0845862604318322,-0.07360463810914591,-0.062300793966133305
qwen2_5_vl_7b,all,parallel_gain_median,REAL,23,1006,1006,0,-0.03334759323287996,-0.04482835526209387,-0.03443015802168338,-0.023725147938417606
qwen2_5_vl_7b,all,parallel_gain_median,REAL,24,1006,1006,0,-0.03220733812001026,-0.037473370445948825,-0.031622602464470365,-0.026629593789940315
qwen2_5_vl_7b,all,parallel_gain_median,REAL,25,1006,1006,0,-0.0117427143781767,-0.018149589384889427,-0.011708908287951776,-0.005298468193153147
qwen2_5_vl_7b,all,parallel_gain_median,REAL,26,1006,1006,0,0.005401592579434541,0.00150429570990266,0.00526887024746568,0.0090254273717132
qwen2_5_vl_7b,all,parallel_gain_median,REAL,27,1006,1006,0,0.01191740683603848,-6.5380906155676e-06,0.011760330985575933,0.023127639021562854
qwen2_5_vl_7b,all,parallel_gain_median,REAL,28,1006,1006,0,-0.029809425077164303,-0.037655564734506666,-0.009363250440238384,0.013728139673849029
qwen2_5_vl_7b,all,parallel_gain_median,HALL,1,122,122,0,-0.12839538432621736,-0.18727964096879007,-0.12296977093290495,-0.051180494738570496
qwen2_5_vl_7b,all,parallel_gain_median,HALL,2,122,122,0,-0.060251870812459446,-0.06577300246825574,-0.05693360241829848,-0.04775196209415401
qwen2_5_vl_7b,all,parallel_gain_median,HALL,3,122,122,0,-0.07544187194656497,-0.08398246691007706,-0.07565185960036705,-0.06469945770011779
qwen2_5_vl_7b,all,parallel_gain_median,HALL,4,122,122,0,-0.1107124430367615,-0.13403015630981288,-0.11810782215852342,-0.09074615410751986
qwen2_5_vl_7b,all,parallel_gain_median,HALL,5,122,122,0,-0.17349501397246464,-0.19578527768392315,-0.17598992458378016,-0.15230356635899472
qwen2_5_vl_7b,all,parallel_gain_median,HALL,6,122,122,0,-0.22439086960417773,-0.2587480990831047,-0.23752469441920737,-0.183861155014384
qwen2_5_vl_7b,all,parallel_gain_median,HALL,7,122,122,0,-0.2500529368829478,-0.2762024749930166,-0.2557457998489025,-0.22298426192502233
qwen2_5_vl_7b,all,parallel_gain_median,HALL,8,122,122,0,-0.3720722098942407,-0.4025282023573502,-0.3731848989322506,-0.3512478539310093
qwen2_5_vl_7b,all,parallel_gain_median,HALL,9,122,122,0,-0.26504370278151296,-0.30549842179266745,-0.27519434692995415,-0.22945154760027636
qwen2_5_vl_7b,all,parallel_gain_median,HALL,10,122,122,0,-0.48833933076382086,-0.5292108485124776,-0.49348305547329385,-0.4395737664055637
qwen2_5_vl_7b,all,parallel_gain_median,HALL,11,122,122,0,-0.2819466620165926,-0.3055664148079682,-0.28211823445025946,-0.2603581456648461
qwen2_5_vl_7b,all,parallel_gain_median,HALL,12,122,122,0,-0.2846583911130835,-0.3010142008799048,-0.28535768181542076,-0.26679373254895966
qwen2_5_vl_7b,all,parallel_gain_median,HALL,13,122,122,0,-0.2859022966935036,-0.30692390684149834,-0.28844890030475856,-0.27215955887135945
qwen2_5_vl_7b,all,parallel_gain_median,HALL,14,122,122,0,-0.35569574456181113,-0.3805745305403239,-0.35952663448935884,-0.3359698814652595
qwen2_5_vl_7b,all,parallel_gain_median,HALL,15,122,122,0,-0.19093172621260923,-0.21647587355023015,-0.19182466249628105,-0.16022329602538055
qwen2_5_vl_7b,all,parallel_gain_median,HALL,16,122,122,0,-0.21146438700329376,-0.23251222063321575,-0.20972702715602615,-0.1926967303963002
