model,scope,label,layer,n_mentions,mean,median,q25,q75
llava_1_5_7b,all,REAL,26,11976,0.8516104126183606,0.8696261346340179,0.8157321810722351,0.8969142436981201
llava_1_5_7b,all,REAL,27,11976,0.7004088186444285,0.7128844261169434,0.621443048119545,0.7830821126699448
llava_1_5_7b,all,REAL,28,11976,0.864195124586483,0.8826280236244202,0.8310058563947678,0.9130233824253082
llava_1_5_7b,all,REAL,29,11976,0.7455087426524801,0.7546806633472443,0.6694987416267395,0.8214235454797745
llava_1_5_7b,all,REAL,30,11976,0.6741003525221276,0.6776623129844666,0.6107493788003922,0.736878827214241
llava_1_5_7b,all,REAL,31,11976,0.7399769210584497,0.7589028775691986,0.6748172044754028,0.8146195858716965
llava_1_5_7b,all,REAL,32,11976,0.45723708843938016,0.45179517567157745,0.3955136090517044,0.5147629082202911
llava_1_5_7b,all,HALL,1,3487,0.7116123147037469,0.754740834236145,0.6493324041366577,0.7985416948795319
llava_1_5_7b,all,HALL,2,3487,0.6010888676042369,0.6100548505783081,0.5466715395450592,0.658130407333374
llava_1_5_7b,all,HALL,3,3487,0.7837606799664045,0.8046906590461731,0.733098715543747,0.84702929854393
llava_1_5_7b,all,HALL,4,3487,0.8854986273322777,0.9101216197013855,0.868939071893692,0.9320275187492371
llava_1_5_7b,all,HALL,5,3487,0.8414916896464526,0.851708173751831,0.7982074916362762,0.8952002227306366
llava_1_5_7b,all,HALL,6,3487,0.8553027813195977,0.8636220097541809,0.8213425874710083,0.8994461297988892
llava_1_5_7b,all,HALL,7,3487,0.7193045909643379,0.7293763756752014,0.6489163339138031,0.7985436022281647
llava_1_5_7b,all,HALL,8,3487,0.893137945054013,0.8984354734420776,0.8735365569591522,0.9188623130321503
llava_1_5_7b,all,HALL,9,3487,0.7539356915835224,0.7437705993652344,0.7090170681476593,0.7955136001110077
llava_1_5_7b,all,HALL,10,3487,0.7607141511382843,0.7683930993080139,0.7193896770477295,0.806806206703186
llava_1_5_7b,all,HALL,11,3487,0.6747596582335321,0.6666127443313599,0.6160409152507782,0.7274799942970276
llava_1_5_7b,all,HALL,12,3487,0.6919954059149291,0.6915132999420166,0.6532807350158691,0.7277795374393463
llava_1_5_7b,all,HALL,13,3487,0.7994888198727825,0.8068211078643799,0.7624062299728394,0.8463117182254791
llava_1_5_7b,all,HALL,14,3487,0.7258336711723004,0.7274506092071533,0.684019148349762,0.769862025976181
llava_1_5_7b,all,HALL,15,3487,0.7174689167202938,0.711736261844635,0.6544969081878662,0.7731848657131195
llava_1_5_7b,all,HALL,16,3487,0.6915864259525941,0.6833442449569702,0.6630564033985138,0.7125536203384399
llava_1_5_7b,all,HALL,17,3487,0.6441772069994618,0.6440618634223938,0.6050871312618256,0.6813209652900696
llava_1_5_7b,all,HALL,18,3487,0.8946011079085875,0.903695821762085,0.8805332779884338,0.9207953214645386
llava_1_5_7b,all,HALL,19,3487,0.8829532847094748,0.8926247954368591,0.863274872303009,0.9144148528575897
llava_1_5_7b,all,HALL,20,3487,0.8573737505397108,0.8759182691574097,0.8326581120491028,0.9040765762329102
llava_1_5_7b,all,HALL,21,3487,0.729793278739211,0.7305107712745667,0.6995205581188202,0.7615447044372559
llava_1_5_7b,all,HALL,22,3487,0.8964404132156274,0.9040622711181641,0.8847375512123108,0.9191948473453522
llava_1_5_7b,all,HALL,23,3487,0.8828012983437284,0.8965978026390076,0.8583350777626038,0.9212519824504852
llava_1_5_7b,all,HALL,24,3487,0.893881723588129,0.9018241763114929,0.8790538907051086,0.9193241596221924
llava_1_5_7b,all,HALL,25,3487,0.7030545760780479,0.7063462734222412,0.677369624376297,0.733094722032547
llava_1_5_7b,all,HALL,26,3487,0.8940721050456085,0.8980913162231445,0.882093995809555,0.9113120138645172
llava_1_5_7b,all,HALL,27,3487,0.8015665411436356,0.8112676739692688,0.7824862897396088,0.8337699770927429
llava_1_5_7b,all,HALL,28,3487,0.905801606991929,0.9114289283752441,0.8935509622097015,0.9261034429073334
llava_1_5_7b,all,HALL,29,3487,0.81940544850682,0.8238576650619507,0.7946346700191498,0.8527613878250122
llava_1_5_7b,all,HALL,30,3487,0.7588382328619819,0.7673230171203613,0.7371005415916443,0.7903576791286469
llava_1_5_7b,all,HALL,31,3487,0.8183982165624871,0.8250600695610046,0.800724059343338,0.8464727103710175
llava_1_5_7b,all,HALL,32,3487,0.5062284357984667,0.5023505091667175,0.44996723532676697,0.5631131231784821
llava_1_5_7b,test,REAL,1,1228,0.6138691339120026,0.629979282617569,0.5037769377231598,0.6967827081680298
llava_1_5_7b,test,REAL,2,1228,0.5189829098139601,0.5108393132686615,0.4460603594779968,0.584709495306015
llava_1_5_7b,test,REAL,3,1228,0.6713176755301339,0.6598666608333588,0.5859634131193161,0.7557395249605179
llava_1_5_7b,test,REAL,4,1228,0.8677786921882086,0.8850566744804382,0.8379905223846436,0.9168241620063782
llava_1_5_7b,test,REAL,5,1228,0.7964083019413467,0.8239025175571442,0.7450425028800964,0.8772803395986557
llava_1_5_7b,test,REAL,6,1228,0.7890367999624351,0.79337278008461,0.7301833033561707,0.8493718057870865
llava_1_5_7b,test,REAL,7,1228,0.6708317080373096,0.6805997490882874,0.5941302478313446,0.7488972097635269
llava_1_5_7b,test,REAL,8,1228,0.8399010717092197,0.857689768075943,0.7954214513301849,0.8946335017681122
llava_1_5_7b,test,REAL,9,1228,0.7166699114276842,0.711686909198761,0.6756817698478699,0.7511856257915497
llava_1_5_7b,test,REAL,10,1228,0.6883081542843716,0.6893417239189148,0.629010871052742,0.7590581178665161
llava_1_5_7b,test,REAL,11,1228,0.6237305565600675,0.6053525805473328,0.5579115152359009,0.6662725806236267
llava_1_5_7b,test,REAL,12,1228,0.6421211570355714,0.6274381577968597,0.5963592231273651,0.6810592412948608
llava_1_5_7b,test,REAL,13,1228,0.7108984968172999,0.7200301587581635,0.6323307007551193,0.7873571813106537
llava_1_5_7b,test,REAL,14,1228,0.6550548612246296,0.6507567167282104,0.5926259905099869,0.7169314324855804
llava_1_5_7b,test,REAL,15,1228,0.648860523434726,0.6249596476554871,0.5928245037794113,0.6864604204893112
llava_1_5_7b,test,REAL,16,1228,0.6497387383679225,0.6519795656204224,0.5957993119955063,0.6916161775588989
llava_1_5_7b,test,REAL,17,1228,0.6164790839442212,0.6138445436954498,0.5602832138538361,0.666518822312355
llava_1_5_7b,test,REAL,18,1228,0.8108773057740364,0.8368249833583832,0.747313067317009,0.8860732614994049
llava_1_5_7b,test,REAL,19,1228,0.7948421831045555,0.8223239183425903,0.7264689207077026,0.8865104466676712
llava_1_5_7b,test,REAL,20,1228,0.7203330274804796,0.7531947195529938,0.6093720942735672,0.8361888229846954
llava_1_5_7b,test,REAL,21,1228,0.6760406444146501,0.6851334273815155,0.6069678068161011,0.7329085767269135
llava_1_5_7b,test,REAL,22,1228,0.8255829962777392,0.8621936440467834,0.763607457280159,0.902419701218605
llava_1_5_7b,test,REAL,23,1228,0.7961605478090261,0.8134977519512177,0.7322423607110977,0.8749517649412155
llava_1_5_7b,test,REAL,24,1228,0.8270002519317481,0.8604472577571869,0.7863114923238754,0.8976949751377106
llava_1_5_7b,test,REAL,25,1228,0.6495281414944885,0.6545397937297821,0.6135685294866562,0.6887770742177963
llava_1_5_7b,test,REAL,26,1228,0.8549010078953609,0.8742137253284454,0.8231101036071777,0.8988384455442429
llava_1_5_7b,test,REAL,27,1228,0.7076323854612605,0.7210555970668793,0.6305725425481796,0.7874746918678284
llava_1_5_7b,test,REAL,28,1228,0.8688525215325216,0.8883671164512634,0.8368644565343857,0.9131429195404053
llava_1_5_7b,test,REAL,29,1228,0.7529850082065461,0.761086106300354,0.680709958076477,0.8261115700006485
llava_1_5_7b,test,REAL,30,1228,0.6770292887955612,0.6812434494495392,0.6153119206428528,0.739200234413147
llava_1_5_7b,test,REAL,31,1228,0.7463131505231516,0.7645651698112488,0.6851903051137924,0.8208091557025909
llava_1_5_7b,test,REAL,32,1228,0.45810952663712856,0.4527595639228821,0.3977941572666168,0.5134466588497162
llava_1_5_7b,test,HALL,1,333,0.7154620141238421,0.7582101821899414,0.6516722440719604,0.7976074814796448
llava_1_5_7b,test,HALL,2,333,0.6055193058363311,0.6172173023223877,0.5552123785018921,0.6657374501228333
llava_1_5_7b,test,HALL,3,333,0.7912990037385408,0.8133688569068909,0.7376188635826111,0.8511620759963989
llava_1_5_7b,test,HALL,4,333,0.8843738032174898,0.9106261134147644,0.8656854033470154,0.9293595552444458
llava_1_5_7b,test,HALL,5,333,0.8408379082207207,0.8484549522399902,0.8028721809387207,0.8899827003479004
llava_1_5_7b,test,HALL,6,333,0.8586545708301189,0.8681226968765259,0.8298835754394531,0.8998585939407349
llava_1_5_7b,test,HALL,7,333,0.7228334927344108,0.73689204454422,0.6597782969474792,0.8006781339645386
llava_1_5_7b,test,HALL,8,333,0.8943006654043455,0.9000104665756226,0.8752691149711609,0.9231062531471252
llava_1_5_7b,test,HALL,9,333,0.7555822679946372,0.7433992624282837,0.7064478993415833,0.8035164475440979
llava_1_5_7b,test,HALL,10,333,0.7649824492208235,0.7764312624931335,0.7226954698562622,0.8072532415390015
llava_1_5_7b,test,HALL,11,333,0.6737039228817364,0.661863386631012,0.6121649146080017,0.7356856465339661
llava_1_5_7b,test,HALL,12,333,0.6911745665667651,0.6895076036453247,0.6514740586280823,0.7295145988464355
llava_1_5_7b,test,HALL,13,333,0.7997411822413539,0.8127023577690125,0.7593142986297607,0.8491294980049133
llava_1_5_7b,test,HALL,14,333,0.7255930936372316,0.7310805916786194,0.682915449142456,0.7689588069915771
llava_1_5_7b,test,HALL,15,333,0.7204917660346618,0.7143515944480896,0.6567001342773438,0.7869399189949036
llava_1_5_7b,test,HALL,16,333,0.6881390661448687,0.6797701716423035,0.6604884266853333,0.7063815593719482
llava_1_5_7b,test,HALL,17,333,0.6433765315436744,0.6401240229606628,0.6008598208427429,0.680273175239563
llava_1_5_7b,test,HALL,18,333,0.8963076488391774,0.9041271209716797,0.8842357993125916,0.9206927418708801
llava_1_5_7b,test,HALL,19,333,0.8812266690237028,0.8904276490211487,0.8680016994476318,0.9147603511810303
llava_1_5_7b,test,HALL,20,333,0.8585755610251212,0.8822353482246399,0.8290752172470093,0.9065741896629333
llava_1_5_7b,test,HALL,21,333,0.7272158140713746,0.7293127179145813,0.6947413086891174,0.7615423202514648
llava_1_5_7b,test,HALL,22,333,0.8976395389697215,0.9035969376564026,0.8845978379249573,0.9195384383201599
llava_1_5_7b,test,HALL,23,333,0.884257841575611,0.897794783115387,0.8604912161827087,0.9230826497077942
llava_1_5_7b,test,HALL,24,333,0.8942651582193805,0.9044057130813599,0.8776587843894958,0.9199394583702087
llava_1_5_7b,test,HALL,25,333,0.7034216569708632,0.7077950239181519,0.6768049597740173,0.7366877198219299
llava_1_5_7b,test,HALL,26,333,0.8938217397566672,0.8974584937095642,0.883057177066803,0.9107100367546082
llava_1_5_7b,test,HALL,27,333,0.8041069978350276,0.8119755983352661,0.786604642868042,0.8360127210617065
llava_1_5_7b,test,HALL,28,333,0.9074228028277377,0.9129667282104492,0.8947738409042358,0.9287988543510437
llava_1_5_7b,test,HALL,29,333,0.8209656204905238,0.8233364224433899,0.7978428602218628,0.8558446168899536
llava_1_5_7b,test,HALL,30,333,0.7554673176627975,0.7625210881233215,0.7324602007865906,0.7867855429649353
llava_1_5_7b,test,HALL,31,333,0.819834850571893,0.8288694620132446,0.8026560544967651,0.8474321365356445
llava_1_5_7b,test,HALL,32,333,0.5053869364139912,0.500095784664154,0.45688819885253906,0.5637689232826233
qwen3_vl_8b,all,REAL,1,12280,0.8586846170965158,0.874486118555069,0.8176960796117783,0.91107377409935
qwen3_vl_8b,all,REAL,2,12280,0.7608292851961106,0.7526980936527252,0.6934454888105392,0.8283019065856934
