method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,REAL,6,top32_mass,5,0.7746694445610046,0.06996530582983956,0.6939568877220154,0.7872236967086792,0.8489579439163208
ATTN,REAL,7,normalized_entropy,5,0.6126332223415375,0.08170915957885237,0.5152327835559845,0.6481429934501648,0.686024832725525
ATTN,REAL,7,top1_mass,5,0.19317807257175446,0.05548130472658635,0.1389462321996689,0.18264880776405334,0.25923319458961486
ATTN,REAL,7,top32_mass,5,0.7291826725006103,0.07162711082678368,0.6512900233268738,0.739380419254303,0.8017162084579468
ATTN,REAL,8,normalized_entropy,5,0.6320095300674439,0.07621518628946378,0.5456323504447937,0.6284420490264893,0.7101726293563843
ATTN,REAL,8,top1_mass,5,0.1899763360619545,0.05532482805514089,0.13510459810495376,0.165652796626091,0.2578358232975006
ATTN,REAL,8,top32_mass,5,0.703132426738739,0.06619383818298444,0.6300638556480408,0.6988588571548462,0.7804823637008667
ATTN,REAL,9,normalized_entropy,5,0.6993005633354187,0.06205441096517444,0.631206750869751,0.7210829257965088,0.7452041387557984
ATTN,REAL,9,top1_mass,5,0.14003604650497437,0.04809811938931384,0.09834884703159333,0.12428252398967743,0.19598177373409273
ATTN,REAL,9,top32_mass,5,0.6350308060646057,0.06383149587009206,0.5750975251197815,0.6034594178199768,0.7129970073699952
JFFN,REAL,1,normalized_entropy,5,0.9608153939247132,0.009744073349453654,0.9497145771980285,0.9627820253372192,0.9715753316879272
JFFN,REAL,1,top1_mass,5,0.010725870914757251,0.001840091774891248,0.008662177063524724,0.010525536723434925,0.012843861989676953
JFFN,REAL,1,top32_mass,5,0.2037857800722122,0.023976344142957927,0.17525701522827147,0.20725156366825104,0.2282070904970169
JFFN,REAL,10,normalized_entropy,5,0.7912655234336853,0.020880390155592062,0.7745122075080871,0.7812861800193787,0.816285514831543
JFFN,REAL,10,top1_mass,5,0.06036847457289696,0.02488956811164793,0.04041538313031197,0.053689632564783096,0.0875848338007927
JFFN,REAL,10,top32_mass,5,0.53551384806633,0.042748447515514904,0.48710393309593203,0.5342938899993896,0.5822025775909424
JFFN,REAL,11,normalized_entropy,5,0.7359789371490478,0.015456158189258763,0.7180184125900269,0.7403781414031982,0.7525554418563842
JFFN,REAL,11,top1_mass,5,0.08893534243106842,0.010097155471638327,0.0769832581281662,0.0906844213604927,0.09901622235774994
JFFN,REAL,11,top32_mass,5,0.6229441523551941,0.0246553753035424,0.5955878019332885,0.6199042797088623,0.6512750864028931
JFFN,REAL,12,normalized_entropy,5,0.7257733702659607,0.05194031854131616,0.6713563680648804,0.7145882844924927,0.786073100566864
JFFN,REAL,12,top1_mass,5,0.09264772981405259,0.02533539342471899,0.06620547324419021,0.0904856026172638,0.12248373627662659
JFFN,REAL,12,top32_mass,5,0.6362864017486572,0.08831020535872762,0.5316613674163818,0.6556697487831116,0.724183988571167
JFFN,REAL,13,normalized_entropy,5,0.7655894994735718,0.05599570422231616,0.7091054558753968,0.7449312806129456,0.831751012802124
JFFN,REAL,13,top1_mass,5,0.06084195263683796,0.025062391147058036,0.03374098353087902,0.059550002217292786,0.089273002743721
JFFN,REAL,13,top32_mass,5,0.577980637550354,0.10660276166947553,0.45262775421142576,0.6173075437545776,0.6838899850845337
JFFN,REAL,14,normalized_entropy,5,0.8102190613746643,0.056258927603373296,0.7495747923851013,0.8045995831489563,0.8762534379959106
JFFN,REAL,14,top1_mass,5,0.05259986519813538,0.02063196102264071,0.033509647101163866,0.04317376762628555,0.07826222032308579
JFFN,REAL,14,top32_mass,5,0.48548114895820615,0.10977096247707054,0.35857527852058413,0.48725590109825134,0.6061585664749145
JFFN,REAL,15,normalized_entropy,5,0.7243373394012451,0.07019757569443505,0.639297616481781,0.7578544020652771,0.7943418741226196
JFFN,REAL,15,top1_mass,5,0.11065215393900871,0.05160467829470487,0.0592171274125576,0.09104703366756439,0.17415910363197326
JFFN,REAL,15,top32_mass,5,0.6150601089000702,0.11564218558488838,0.49610901474952696,0.5661483407020569,0.7508084177970886
JFFN,REAL,16,normalized_entropy,5,0.7847970247268676,0.04904587630216426,0.7263630032539368,0.8063673973083496,0.8345346093177796
JFFN,REAL,16,top1_mass,5,0.0560013197362423,0.024292504910707675,0.036501938849687575,0.04739624634385109,0.08422673344612122
JFFN,REAL,16,top32_mass,5,0.5316303968429565,0.0934414226025608,0.42681849002838135,0.5231729745864868,0.6360651969909668
JFFN,REAL,17,normalized_entropy,5,0.8016676306724548,0.03789706068832368,0.761208426952362,0.7938334941864014,0.8446881413459778
JFFN,REAL,17,top1_mass,5,0.048921897262334826,0.01649796109510797,0.03535638079047203,0.041764091700315475,0.0684955656528473
JFFN,REAL,17,top32_mass,5,0.4784845054149628,0.07190701438386285,0.3958654165267944,0.49618133902549744,0.5547663807868958
JFFN,REAL,18,normalized_entropy,5,0.7580819010734559,0.04223698150695251,0.7053716540336609,0.7807000279426575,0.7957177877426147
JFFN,REAL,18,top1_mass,5,0.05474161803722381,0.013535732140560794,0.04042105823755264,0.055912721902132034,0.07004246860742569
JFFN,REAL,18,top32_mass,5,0.5726068139076232,0.0946665581766154,0.4885493993759155,0.5167340040206909,0.6913485527038574
JFFN,REAL,19,normalized_entropy,5,0.7203961491584778,0.02464458569248896,0.6919100880622864,0.7227512001991272,0.7454927206039429
JFFN,REAL,19,top1_mass,5,0.11642317771911621,0.049644341123762536,0.07141757756471634,0.089412622153759,0.1776441514492035
