method,layer,metric,count,mean,std,q10,median,q90
ATTN,13,patch_auroc,5,0.6416888047920638,0.08600061266969554,0.5455002434274586,0.6417032163742691,0.7408702934672667
ATTN,13,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,13,top32_box_recall,5,0.09942645074224021,0.03860500741243837,0.06058704453441296,0.10256410256410256,0.14153846153846153
ATTN,13,uniform_enrichment,5,1.2922286210647682,0.34247964569564915,0.8858564858744188,1.439771187329546,1.6393008841018377
ATTN,14,bbox_mass,5,0.4116620808839798,0.24387834122837976,0.15588804185390473,0.35204508900642395,0.7012832403182984
ATTN,14,patch_aupr,5,0.511483895778656,0.21481889335740967,0.2765002608299255,0.5109828114509583,0.7609053611755371
ATTN,14,patch_auroc,5,0.6666163402314146,0.08256517141425154,0.5800728431757746,0.6366966893865629,0.7595070355575791
ATTN,14,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,14,top32_box_recall,5,0.07810969732022363,0.0221431219952151,0.05590418353576248,0.06923076923076923,0.10501831501831502
ATTN,14,uniform_enrichment,5,1.2760638119393213,0.30883872274508106,0.9001723016368433,1.4252365973943388,1.5829814963412452
ATTN,15,bbox_mass,5,0.45812097787857053,0.26157534470321187,0.15098726153373718,0.5136229395866394,0.7367992758750915
ATTN,15,patch_aupr,5,0.4870870739221573,0.22160022879591998,0.23778029680252075,0.5302057862281799,0.7324681997299194
ATTN,15,patch_auroc,5,0.6053957533822751,0.06553273415905261,0.5434911981755752,0.5773003894839339,0.6840247346932625
ATTN,15,top1_pointing,5,0.8,0.4,0.4,1.0,1.0
ATTN,15,top32_box_recall,5,0.09016001542317331,0.021195423768451505,0.06388663967611335,0.10256410256410256,0.10747252747252747
ATTN,15,uniform_enrichment,5,1.3748217675619547,0.25732447323712804,1.0983015532426803,1.3581797952642876,1.6609848321731924
ATTN,16,bbox_mass,5,0.459472718834877,0.25291357805702697,0.16580744683742524,0.5099316239356995,0.7337921619415283
ATTN,16,patch_aupr,5,0.5169189691543579,0.2209251041941626,0.26417972445487975,0.5681362152099609,0.7587737441062927
ATTN,16,patch_auroc,5,0.6574461185384689,0.06889858494319827,0.5855684315869193,0.6417782375851997,0.7404165845908426
ATTN,16,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,16,top32_box_recall,5,0.09378349720454984,0.018944254262848775,0.07091093117408907,0.10256410256410256,0.10978021978021978
ATTN,16,uniform_enrichment,5,1.4123822759711326,0.2542729600383286,1.106840383738217,1.4608437473716311,1.6757640614309368
ATTN,17,bbox_mass,5,0.4294937789440155,0.21433394312029952,0.19799121022224425,0.39540213346481323,0.6841431260108948
ATTN,17,patch_aupr,5,0.5027417600154876,0.19687463343832243,0.28460723757743833,0.5054728984832764,0.7273488521575928
ATTN,17,patch_auroc,5,0.6411382677799417,0.09374106871764465,0.5413188074047501,0.6274342745861734,0.752788026043242
ATTN,17,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,17,top32_box_recall,5,0.10374590321958743,0.03893787245346363,0.06145748987854251,0.1,0.14926739926739926
ATTN,17,uniform_enrichment,5,1.4447495719617625,0.4432455955405883,0.9728386417686282,1.478411285381836,1.948660644776089
ATTN,18,bbox_mass,5,0.4558193773031235,0.24928276912770336,0.17003060281276702,0.5000086426734924,0.7308644652366638
ATTN,18,patch_aupr,5,0.5037470787763596,0.2138134043495053,0.25971579253673555,0.5502819418907166,0.7351491212844848
ATTN,18,patch_auroc,5,0.6430371425753104,0.06256007983640142,0.5893962358427715,0.6035418695228822,0.7217957015231479
ATTN,18,top1_pointing,5,0.4,0.48989794855663565,0.0,0.0,1.0
ATTN,18,top32_box_recall,5,0.10092539039907462,0.03209347000462776,0.0691497975708502,0.09230769230769231,0.13901098901098902
ATTN,18,uniform_enrichment,5,1.4205917505879995,0.3449455950722554,1.1426299008861371,1.255179877339904,1.827657260898079
ATTN,19,bbox_mass,5,0.4487715721130371,0.23385387112553155,0.19341855943202974,0.514665961265564,0.6981453776359559
ATTN,19,patch_aupr,5,0.4938696026802063,0.2165948469857963,0.2541885733604431,0.5394658446311951,0.7272644996643066
ATTN,19,patch_auroc,5,0.6279902644537673,0.06526756128637183,0.5679333008763389,0.6061677631578948,0.706291224040269
ATTN,19,top1_pointing,5,0.2,0.4000000000000001,0.0,0.0,0.6000000000000001
ATTN,19,top32_box_recall,5,0.09986215538847118,0.022876177951523403,0.07354251012145749,0.1,0.12454212454212453
ATTN,19,uniform_enrichment,5,1.453173897584053,0.3135837994998158,1.1581943675040918,1.2650722953030766,1.8398633652190006
ATTN,2,bbox_mass,5,0.3326938390731812,0.24948801462132458,0.10425335466861725,0.31929513812065125,0.6078606009483338
ATTN,2,patch_aupr,5,0.392190620303154,0.24838112235699888,0.17212027609348296,0.36206671595573425,0.6616763472557068
ATTN,2,patch_auroc,5,0.48220105543109415,0.12882384805607552,0.35117575462512174,0.43206157965194114,0.6368663274038755
ATTN,2,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,2,top32_box_recall,5,0.05938789280894543,0.043204982422240835,0.02923076923076923,0.03461538461538462,0.1093984962406015
ATTN,2,uniform_enrichment,5,0.935852409636856,0.18563119118609808,0.7819638223155858,0.8130481549381408,1.1695481808042578
ATTN,20,bbox_mass,5,0.4741164788603783,0.24775581525278342,0.16716647297143936,0.596337080001831,0.7136333823204041
ATTN,20,patch_aupr,5,0.5137568116188049,0.21028458219535429,0.26597611904144286,0.5928350687026978,0.732571280002594
ATTN,20,patch_auroc,5,0.6707073039553455,0.07879105581580993,0.5830387861084064,0.6598101265822783,0.7575305555286453
ATTN,20,top1_pointing,5,0.4,0.48989794855663565,0.0,0.0,1.0
ATTN,20,top32_box_recall,5,0.0918796992481203,0.020393573595632746,0.06959514170040486,0.09230769230769231,0.11245421245421244
ATTN,20,uniform_enrichment,5,1.4797739801652317,0.4202872284858727,1.0431916080440353,1.4566327184291874,1.9664900949931006
ATTN,21,bbox_mass,5,0.470331197977066,0.25418644566770315,0.17058269381523133,0.5501419901847839,0.7405170798301697
ATTN,21,patch_aupr,5,0.50190489590168,0.22569452603284756,0.24162206351757048,0.57857745885849,0.7408303141593933
ATTN,21,patch_auroc,5,0.6566936855706782,0.05517971931267382,0.6026145443635866,0.6273551606621226,0.7234979653268663
ATTN,21,top1_pointing,5,0.4,0.48989794855663565,0.0,0.0,1.0
ATTN,21,top32_box_recall,5,0.09583477925583188,0.023066303995049525,0.06937246963562753,0.1,0.11978021978021977
ATTN,21,uniform_enrichment,5,1.450403627152737,0.24069842110649808,1.1793389552202402,1.463467002534238,1.7079004320676257
ATTN,22,bbox_mass,5,0.4666315674781799,0.24398865980930143,0.1648664355278015,0.5955452919006348,0.6926700472831726
ATTN,22,patch_aupr,5,0.5155240505933761,0.19591344576743142,0.29284179508686065,0.5704580545425415,0.7130753755569458
ATTN,22,patch_auroc,5,0.6464122919743878,0.0922409426481663,0.5536181968431302,0.6155550146056474,0.7551121218547019
ATTN,22,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,22,top32_box_recall,5,0.10012049354154617,0.04091788360096418,0.067834008097166,0.08974358974358974,0.14406593406593407
ATTN,22,uniform_enrichment,5,1.4761558143343418,0.6946419044879769,0.8125530572354758,1.4546986705677634,2.242176801429276
ATTN,23,bbox_mass,5,0.47226340174674986,0.2644499321606605,0.15276311635971068,0.5492382645606995,0.7489094376564026
ATTN,23,patch_aupr,5,0.5145414233207702,0.2096143599509398,0.26922484636306765,0.5778711438179016,0.7384086966514587
ATTN,23,patch_auroc,5,0.6628450129522495,0.0808928950920251,0.5703874340183467,0.668932570593963,0.7429279254066207
ATTN,23,top1_pointing,5,0.6,0.48989794855663565,0.0,1.0,1.0
ATTN,23,top32_box_recall,5,0.08868999421631,0.019451179842861148,0.0658502024291498,0.09523809523809523,0.10923076923076924
ATTN,23,uniform_enrichment,5,1.426280775988317,0.40682910077422185,1.0069393889239997,1.3415875906457542,1.916996568986151
ATTN,24,bbox_mass,5,0.4442472830414772,0.2630553154539932,0.12868619412183763,0.5280632972717285,0.7206367969512939
ATTN,24,patch_aupr,5,0.5025055438280106,0.22721390510167075,0.24100807011127473,0.5905231237411499,0.7394222497940064
ATTN,24,patch_auroc,5,0.6548795112825372,0.06631591728189698,0.5803140587898666,0.6492514605647518,0.7237546361628054
ATTN,24,top1_pointing,5,0.4,0.48989794855663565,0.0,0.0,1.0
