model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
llava_1_5_7b,all,sigma_B_cv,12,241,241,-0.009717896323747973,-0.011845451609840185,0.22821576763485477
llava_1_5_7b,all,sigma_B_cv,13,241,241,0.0006830405856610037,-0.000742109373106592,0.47717842323651455
llava_1_5_7b,all,sigma_B_cv,14,241,241,-0.007689363020080985,-0.009567458934462203,0.3278008298755187
llava_1_5_7b,all,sigma_B_cv,15,241,241,0.005394354630683077,0.004995348824514356,0.6224066390041494
llava_1_5_7b,all,sigma_B_cv,16,241,241,0.001008166027172219,0.0007226283533483535,0.5062240663900415
llava_1_5_7b,all,sigma_B_cv,17,241,241,-0.0021632944066318693,-0.003089256728436407,0.44398340248962653
llava_1_5_7b,all,sigma_B_cv,18,241,241,0.006095278499166195,0.004400030537213384,0.6099585062240664
llava_1_5_7b,all,sigma_B_cv,19,241,241,-0.005392948706530686,-0.004471569510127393,0.4066390041493776
llava_1_5_7b,all,sigma_B_cv,20,241,241,-0.005793685592233542,-0.006634996532757564,0.3070539419087137
llava_1_5_7b,all,sigma_B_cv,21,241,241,-0.017475164540543556,-0.016709448690689577,0.21991701244813278
llava_1_5_7b,all,sigma_B_cv,22,241,241,-0.006601274698282071,-0.0057817930727559474,0.34024896265560167
llava_1_5_7b,all,sigma_B_cv,23,241,241,-0.003555976404066257,-0.002163947766016028,0.46473029045643155
llava_1_5_7b,all,sigma_B_cv,24,241,241,0.002690680454375474,0.0006304778150465484,0.5062240663900415
llava_1_5_7b,all,sigma_B_cv,25,241,241,0.00324153227033595,0.003642733567841727,0.5560165975103735
llava_1_5_7b,all,sigma_B_cv,26,241,241,0.0007313880162354106,0.0008971924138164722,0.5228215767634855
llava_1_5_7b,all,sigma_B_cv,27,241,241,-0.0006776971727527242,-0.003503348194691447,0.4315352697095436
llava_1_5_7b,all,sigma_B_cv,28,241,241,-0.00985465623626579,-0.009687350351302748,0.24481327800829875
llava_1_5_7b,all,sigma_B_cv,29,241,241,-0.009827120999561307,-0.00891375313395426,0.34854771784232363
llava_1_5_7b,all,sigma_B_cv,30,241,241,-0.006356588564870262,-0.006674752463552647,0.36099585062240663
llava_1_5_7b,all,sigma_B_cv,31,241,241,-0.009616876760506345,-0.00884380608813895,0.31950207468879666
llava_1_5_7b,all,sigma_B_cv,32,241,241,-0.04171942026065687,-0.042601432208133616,0.25311203319502074
llava_1_5_7b,all,sigma_B_p90_p10,1,241,241,-1.364379048063401,-1.2091475045330284,0.23651452282157676
llava_1_5_7b,all,sigma_B_p90_p10,2,241,241,0.05628498486033471,0.04471649943013034,0.5560165975103735
llava_1_5_7b,all,sigma_B_p90_p10,3,241,241,0.1390313735886788,0.1519086203041322,0.6763485477178424
llava_1_5_7b,all,sigma_B_p90_p10,4,241,241,0.013245643458308476,0.03839057071588847,0.5560165975103735
llava_1_5_7b,all,sigma_B_p90_p10,5,241,241,-0.12996780261534951,-0.1575433915554978,0.4024896265560166
llava_1_5_7b,all,sigma_B_p90_p10,6,241,241,-0.4774812184360976,-0.44880644297426464,0.17842323651452283
llava_1_5_7b,all,sigma_B_p90_p10,7,241,241,-0.2570206418525446,-0.236790939725827,0.38589211618257263
llava_1_5_7b,all,sigma_B_p90_p10,8,241,241,-0.2899634372280722,-0.3172157798549984,0.3278008298755187
llava_1_5_7b,all,sigma_B_p90_p10,9,241,241,-0.5531131999599812,-0.6089591736915283,0.24896265560165975
llava_1_5_7b,all,sigma_B_p90_p10,10,241,241,-0.18508246962331645,-0.26880535728305244,0.35269709543568467
llava_1_5_7b,all,sigma_B_p90_p10,11,241,241,-0.1896547148734645,-0.19079222042222455,0.36099585062240663
llava_1_5_7b,all,sigma_B_p90_p10,12,241,241,-0.23738401305912088,-0.31226033716235424,0.27800829875518673
llava_1_5_7b,all,sigma_B_p90_p10,13,241,241,0.03352060548910892,0.006833043940472905,0.5062240663900415
llava_1_5_7b,all,sigma_B_p90_p10,14,241,241,0.026115090803476956,0.00661600188469702,0.5020746887966805
