model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,amp_mean,HALL,14,122,122,0,0.6793998566879352,0.6527306049469627,0.6762449371971547,0.704015905916348
qwen2_5_vl_7b,all,amp_mean,HALL,15,122,122,0,0.6252354488928472,0.5948273090310229,0.6206767905971725,0.6465814461385313
qwen2_5_vl_7b,all,amp_mean,HALL,16,122,122,0,0.601680251580897,0.5728816840398578,0.5959197755625975,0.6202706014181578
qwen2_5_vl_7b,all,amp_mean,HALL,17,122,122,0,0.5944305295549195,0.5670828419382674,0.5930946898843696,0.6170361577438772
qwen2_5_vl_7b,all,amp_mean,HALL,18,122,122,0,0.5700255582538641,0.5452251575000406,0.5646448582262591,0.5946433730765263
qwen2_5_vl_7b,all,amp_mean,HALL,19,122,122,0,0.5989340575659665,0.5644364892168428,0.5879073149462302,0.6208055935892046
qwen2_5_vl_7b,all,amp_mean,HALL,20,122,122,0,0.5204738111904552,0.49535389801632457,0.5193991069154593,0.5410847658151863
qwen2_5_vl_7b,all,amp_mean,HALL,21,122,122,0,0.5672856619047493,0.5383087500830047,0.5658607307423826,0.5860614862712407
qwen2_5_vl_7b,all,amp_mean,HALL,22,122,122,0,0.5349026267784316,0.51054013781091,0.5313719136524974,0.5581943152672499
qwen2_5_vl_7b,all,amp_mean,HALL,23,122,122,0,0.5235509239950912,0.4910786002700475,0.5175094592196303,0.5450253904598188
qwen2_5_vl_7b,all,amp_mean,HALL,24,122,122,0,0.5176484367907906,0.4648477626217269,0.5049484665727848,0.5610915406860155
qwen2_5_vl_7b,all,amp_mean,HALL,25,122,122,0,0.43741536533118514,0.40865069436162443,0.4311652200244199,0.4546105254280613
qwen2_5_vl_7b,all,amp_mean,HALL,26,122,122,0,0.41068080036659416,0.37198807075338236,0.39530737069113064,0.44485538135671354
qwen2_5_vl_7b,all,amp_mean,HALL,27,122,122,0,0.45040328574004795,0.41610871650620507,0.44332122619725967,0.47093945895401534
qwen2_5_vl_7b,all,amp_mean,HALL,28,122,122,0,0.7707956381027472,0.6571898473059387,0.708665388698092,0.8338835152847175
qwen2_5_vl_7b,all,amp_median,REAL,1,1006,1006,0,1.059370671001998,0.9369351239362603,1.0587606343263962,1.1508979987120571
qwen2_5_vl_7b,all,amp_median,REAL,2,1006,1006,0,0.50291813928684,0.4088494932232732,0.4781800152190724,0.5829647276794218
