model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,train,ovir,REAL,14,6252,6252,0,0.6876832982693122,0.6570084857075893,0.6869742460481789,0.7180811357456942
qwen2_5_vl_7b,train,ovir,REAL,15,6252,6252,0,0.8394401487042813,0.811666518020887,0.8366498073735309,0.8653344688583129
qwen2_5_vl_7b,train,ovir,REAL,16,6252,6252,0,0.8411646327259312,0.8130565114993791,0.8335195584678743,0.8665407088308736
qwen2_5_vl_7b,train,ovir,REAL,17,6252,6252,0,0.8600412221335889,0.842536546425718,0.8604422947383326,0.8791423064174241
qwen2_5_vl_7b,train,ovir,REAL,18,6252,6252,0,0.8608639562890329,0.8406974141219938,0.8596561191147272,0.8789244875251403
qwen2_5_vl_7b,train,ovir,REAL,19,6252,6252,0,0.8984837074207884,0.8834845636835895,0.898052645693679,0.9133237151460228
qwen2_5_vl_7b,train,ovir,REAL,20,6252,6252,0,0.9431162131858971,0.9338148748249706,0.9453330895077543,0.9545984687283534
qwen2_5_vl_7b,train,ovir,REAL,21,6252,6252,0,0.958737644603324,0.9516445023993159,0.9597640290641027,0.9669962178855628
qwen2_5_vl_7b,train,ovir,REAL,22,6252,6252,0,0.9743002914481476,0.9693794255899195,0.9747472256755187,0.9800481243260513
qwen2_5_vl_7b,train,ovir,REAL,23,6252,6252,0,0.9831124117891727,0.9786331224264051,0.9837133548483142,0.9883425282463038
qwen2_5_vl_7b,train,ovir,REAL,24,6252,6252,0,0.9840839479490826,0.979964907438946,0.9845707944337744,0.9886562208295924
qwen2_5_vl_7b,train,ovir,REAL,25,6252,6252,0,0.9869256538817197,0.98330000860927,0.9878688565157611,0.9917164696476779
qwen2_5_vl_7b,train,ovir,REAL,26,6252,6252,0,0.9867515767844129,0.9827426278038403,0.9887166691450768,0.9927973846481044
qwen2_5_vl_7b,train,ovir,REAL,27,6252,6252,0,0.9748890733572569,0.9681940712354081,0.9764820866019539,0.9831974125916011
qwen2_5_vl_7b,train,ovir,REAL,28,6252,6252,0,0.9039855399756874,0.8619666884711505,0.9298048799206848,0.9632903527103563
qwen2_5_vl_7b,train,ovir,HALL,1,733,733,0,0.9744510235632813,0.9706299650326052,0.9791736504622095,0.9856650892275073
qwen2_5_vl_7b,train,ovir,HALL,2,733,733,0,0.9767574867185556,0.9722462023123205,0.9793893672988474,0.984965900917625
qwen2_5_vl_7b,train,ovir,HALL,3,733,733,0,0.9306956913671537,0.9167066239397917,0.9309032246381465,0.9443125286211532
