model,group,baseline,AUROC,HALL_AUPR,baseline_AUROC,baseline_HALL_AUPR,AUROC_delta,HALL_AUPR_delta,seed43_AUROC_delta,seed44_AUROC_delta,seed45_AUROC_delta
qwen2_5_vl_7b,gated_raw_concat,gated_only,0.8630928232680818,0.4527801758955186,0.8747485010012923,0.4819518720432247,-0.011655677733210523,-0.029171696147706094,-0.018210232584392583,-0.008022097810327145,-0.008734702804911953
qwen2_5_vl_7b,gated_raw_concat,strength_only,0.8630928232680818,0.4527801758955186,0.8553588248367534,0.4203866968047834,0.007733998431328382,0.0323934790907352,0.004102770340110196,0.014867691830089624,0.004231533123785214
qwen2_5_vl_7b,gated_raw_visual_prompt_sum,gated_only,0.8468616570300364,0.3857279087672925,0.8329793826677063,0.4237174708736067,0.013882274362330027,-0.03798956210631421,0.011803843128124214,0.010032913884155725,0.019810066074710586
qwen2_5_vl_7b,gated_raw_visual_prompt_sum,strength_only,0.8468616570300364,0.3857279087672925,0.8316488339030647,0.3517369400201605,0.015212823126971697,0.03399096874713203,0.019811829948459425,0.013306663562248744,0.012519975870207145
qwen2_5_vl_7b,gated_log1p_prompt,gated_only,0.848466194183685,0.3956827676009435,0.8423296774110097,0.4164137677268251,0.006136516772675238,-0.020731000125881582,0.008022097810327034,-0.0036141773116447062,0.014001629819344052
qwen2_5_vl_7b,gated_log1p_prompt,strength_only,0.848466194183685,0.3956827676009435,0.8245733483380193,0.35144679699304476,0.023892845845665645,0.044235970607898745,0.025442114955179895,0.01733358733115331,0.02890283525066395
qwen2_5_vl_7b,gated_log1p_generation,gated_only,0.8358321544777111,0.3984150243443471,0.8242276290832207,0.3690753245470934,0.011604525394490417,0.029339699797253704,0.015375687469793564,0.015317479636077769,0.004120409077600029
qwen2_5_vl_7b,gated_log1p_generation,strength_only,0.8358321544777111,0.3984150243443471,0.8097474015199889,0.337134218488854,0.026084752957722168,0.061280805855493115,0.02046975485682634,0.0322612508687079,0.02552325314763282
qwen2_5_vl_7b,gated_log1p_visual,gated_only,0.8484420879091158,0.4002302582702002,0.8286690631831336,0.3635004159934227,0.01977302472598219,0.0367298422767775,0.0293191094554216,0.017427072639848662,0.01257289208267609
qwen2_5_vl_7b,gated_log1p_visual,strength_only,0.8484420879091158,0.4002302582702002,0.8477418300307736,0.38485446515262894,0.0007002578783421587,0.015375793117571257,-0.0023477159598824793,0.012001396988009061,-0.00755290739310055
qwen2_5_vl_7b,gated_log1p_concat,gated_only,0.8679587629835807,0.4444860731979703,0.8803152865530498,0.493417563065712,-0.012356523569469147,-0.048931489867741707,-0.009694250124353099,-0.021787368547308894,-0.005587952036745225
qwen2_5_vl_7b,gated_log1p_concat,strength_only,0.8679587629835807,0.4444860731979703,0.8561678549296157,0.42017980360207136,0.011790908053964988,0.024306269595898933,0.017224227158716854,0.00286100322083338,0.015287493782344841
qwen2_5_vl_7b,gated_log1p_visual_prompt_sum,gated_only,0.8591023528899896,0.4255207367685901,0.8317088056105297,0.4175226113705648,0.027393547279459862,0.007998125398025302,0.02896280695812914,0.030162241107430265,0.023055593772820182
qwen2_5_vl_7b,gated_log1p_visual_prompt_sum,strength_only,0.8591023528899896,0.4255207367685901,0.8352483122668012,0.3515248381797371,0.02385404062318841,0.07399589858885297,0.0311747046393408,0.03090659582949673,0.00948082140072759
llava_1_5_7b,attention_raw_prompt,attention_only,0.8996511815667372,0.7120278448950351,0.8787164808944691,0.6471707358956565,0.020934700672268103,0.06485710899937858,0.020105531032223567,0.020742745392639428,0.02195582559194087
llava_1_5_7b,attention_raw_prompt,strength_only,0.8996511815667372,0.7120278448950351,0.8888814293202332,0.7042218190134601,0.010769752246504005,0.007806025881574974,0.011084404569191686,0.011205365333339934,0.010019486836980285
llava_1_5_7b,attention_raw_generation,attention_only,0.8836519501595351,0.6528662017249228,0.8805692834126138,0.6497701743366805,0.0030826667469213698,0.0030960273882423284,0.004154915434535722,0.00030905764619626463,0.004784027160032345
llava_1_5_7b,attention_raw_generation,strength_only,0.8836519501595351,0.6528662017249228,0.8778537431954746,0.6406119996586518,0.005798206964060526,0.012254202066271036,0.007180670817145018,0.004732517552332949,0.0054814325227035
llava_1_5_7b,attention_raw_visual,attention_only,0.8894765871470218,0.6879770629494232,0.8795958097030597,0.6599557982431397,0.009880777443962097,0.028021264706283522,0.010178645737174752,0.007987461751222558,0.011476224843488758
llava_1_5_7b,attention_raw_visual,strength_only,0.8894765871470218,0.6879770629494232,0.8842064018918494,0.6821849435211789,0.0052701852551724215,0.005792119428244313,0.0057708123412389956,0.006642424354668663,0.0033973190696091615
llava_1_5_7b,attention_raw_concat,attention_only,0.9008651299054943,0.7066921913675096,0.8895449772441356,0.6651532674125694,0.011320152661358662,0.04153892395494019,0.009143823506091109,0.01696084054419622,0.007855793933788768
llava_1_5_7b,attention_raw_concat,strength_only,0.9008651299054943,0.7066921913675096,0.9005197068621023,0.7089901579623757,0.00034542304339202357,-0.002297966594866141,-0.00027230640924225114,0.0020433108986804838,-0.0007347353592620509
llava_1_5_7b,attention_raw_visual_prompt_sum,attention_only,0.8968096646685955,0.7088732699031851,0.8801340561655359,0.648062064515468,0.016675608503059602,0.060811205387717115,0.018171316325131026,0.015555322765568258,0.0163001864184793
llava_1_5_7b,attention_raw_visual_prompt_sum,strength_only,0.8968096646685955,0.7088732699031851,0.8891686870200997,0.6974086750660632,0.007640977648495806,0.011464594837121922,0.01005942125193815,0.00837465194842324,0.004488859745125917
llava_1_5_7b,attention_log1p_prompt,attention_only,0.8976643961926105,0.7061370360021629,0.8786903402508615,0.6438046850069964,0.018974055941749057,0.06233235099516654,0.01577843460565931,0.02087094065225048,0.020272792567337272
llava_1_5_7b,attention_log1p_prompt,strength_only,0.8976643961926105,0.7061370360021629,0.8905545269710672,0.706170166650527,0.00710986922154333,-3.3130648364076976e-05,0.006386901974901549,0.007581751245635426,0.007360954444092682
