temperature,label,layer,n,mean,median
0.2,1,14,12280,0.11804787069559097,0.11516915261745453
0.2,1,15,12280,0.1300145536661148,0.1273161619901657
0.2,1,16,12280,0.14018510282039642,0.13612765073776245
0.2,1,17,12280,0.12989594042301178,0.1282351315021515
0.2,1,18,12280,0.14988484978675842,0.14536066353321075
0.2,1,19,12280,0.13423453271389008,0.13102102279663086
0.2,1,20,12280,0.17989932000637054,0.17260116338729858
0.2,1,21,12280,0.1727166473865509,0.17025604844093323
0.2,1,22,12280,0.18565049767494202,0.1849474310874939
0.2,1,23,12280,0.15672767162322998,0.15151351690292358
0.2,1,24,12280,0.14276249706745148,0.13972227275371552
0.2,1,25,12280,0.16671524941921234,0.1619742512702942
0.2,1,26,12280,0.1645437777042389,0.1588556468486786
0.2,1,27,12280,0.14969003200531006,0.1453753113746643
0.2,1,28,12280,0.18229173123836517,0.17756450176239014
0.2,1,29,12280,0.16860876977443695,0.16509048640727997
0.2,1,30,12280,0.19077502191066742,0.18058490753173828
0.2,1,31,12280,0.20432457327842712,0.19880342483520508
0.2,1,32,12280,0.17248249053955078,0.16770398616790771
0.2,1,33,12280,0.1846299171447754,0.17927420139312744
0.2,1,34,12280,0.18242044746875763,0.17934343218803406
0.2,1,35,12280,0.22964400053024292,0.20966127514839172
0.2,1,36,12280,0.312310129404068,0.3138774037361145
0.02,0,1,2593,0.3746514320373535,0.3794921040534973
0.02,0,2,2593,0.502899169921875,0.5143131613731384
0.02,0,3,2593,0.5119467377662659,0.5251485705375671
0.02,0,4,2593,0.5022305846214294,0.512216329574585
0.02,0,5,2593,0.49615809321403503,0.5071336030960083
0.02,0,6,2593,0.44803348183631897,0.4474850594997406
0.02,0,7,2593,0.48433250188827515,0.49583131074905396
0.02,0,8,2593,0.47603607177734375,0.480108380317688
0.02,0,9,2593,0.4011983573436737,0.40758198499679565
0.02,0,10,2593,0.4473417401313782,0.45658576488494873
0.02,0,11,2593,0.4357912838459015,0.44473081827163696
0.02,0,12,2593,0.42049622535705566,0.4278222620487213
0.02,0,13,2593,0.46105095744132996,0.46764397621154785
0.02,0,14,2593,0.390238493680954,0.39203202724456787
0.02,0,15,2593,0.41456368565559387,0.4233933091163635
0.02,0,16,2593,0.39219292998313904,0.3900679349899292
0.02,0,17,2593,0.45074865221977234,0.45678916573524475
0.02,0,18,2593,0.3718738853931427,0.3724556267261505
0.02,0,19,2593,0.39874106645584106,0.4020405411720276
0.02,0,20,2593,0.4031643867492676,0.40830400586128235
0.02,0,21,2593,0.35847583413124084,0.35641229152679443
0.02,0,22,2593,0.3409592807292938,0.34121257066726685
0.02,0,23,2593,0.39643022418022156,0.3958725035190582
0.02,0,24,2593,0.3214408755302429,0.31990137696266174
0.02,0,25,2593,0.374774694442749,0.3727734088897705
0.02,0,26,2593,0.36431020498275757,0.3661502003669739
0.02,0,27,2593,0.3708486258983612,0.3736509382724762
0.02,0,28,2593,0.3876741826534271,0.3931698501110077
0.02,0,29,2593,0.32460692524909973,0.3221343755722046
0.02,0,30,2593,0.35743099451065063,0.35202324390411377
0.02,0,31,2593,0.3950745165348053,0.39584267139434814
0.02,0,32,2593,0.347858190536499,0.34403303265571594
0.02,0,33,2593,0.3281225562095642,0.3281049430370331
0.02,0,34,2593,0.35896167159080505,0.36034268140792847
0.02,0,35,2593,0.37777525186538696,0.3719993233680725
0.02,0,36,2593,0.39915579557418823,0.403418630361557
0.02,1,1,12280,0.3777823746204376,0.3804957866668701
0.02,1,2,12280,0.4983551502227783,0.5125142335891724
0.02,1,3,12280,0.48153167963027954,0.4916396737098694
0.02,1,4,12280,0.49713262915611267,0.5101605653762817
0.02,1,5,12280,0.47580018639564514,0.4846559166908264
0.02,1,6,12280,0.42927393317222595,0.4311404824256897
0.02,1,7,12280,0.4497593939304352,0.4620702862739563
0.02,1,8,12280,0.46385160088539124,0.4672572612762451
0.02,1,9,12280,0.4100262224674225,0.414625346660614
0.02,1,10,12280,0.4415338933467865,0.4530366063117981
0.02,1,11,12280,0.439929723739624,0.4447709619998932
0.02,1,12,12280,0.43246370553970337,0.43959885835647583
0.02,1,13,12280,0.4688374698162079,0.47357022762298584
0.02,1,14,12280,0.40579017996788025,0.4070519208908081
0.02,1,15,12280,0.42271533608436584,0.42676520347595215
0.02,1,16,12280,0.4109829068183899,0.4130232036113739
0.02,1,17,12280,0.47403377294540405,0.4783128499984741
0.02,1,18,12280,0.3970109820365906,0.39797788858413696
0.02,1,19,12280,0.43195077776908875,0.43537193536758423
0.02,1,20,12280,0.4330301582813263,0.4389660954475403
0.02,1,21,12280,0.3978332579135895,0.40108150243759155
0.02,1,22,12280,0.3755105435848236,0.37641459703445435
0.02,1,23,12280,0.42151233553886414,0.4238726794719696
0.02,1,24,12280,0.36178866028785706,0.3636881411075592
0.02,1,25,12280,0.3949929177761078,0.3965739607810974
0.02,1,26,12280,0.3797391951084137,0.38189834356307983
0.02,1,27,12280,0.39236849546432495,0.3947584629058838
0.02,1,28,12280,0.39830487966537476,0.4003560543060303
0.02,1,29,12280,0.33880317211151123,0.33431488275527954
0.02,1,30,12280,0.36608195304870605,0.3580281138420105
0.02,1,31,12280,0.4016268253326416,0.40355756878852844
0.02,1,32,12280,0.36829742789268494,0.3671518564224243
0.02,1,33,12280,0.36663058400154114,0.36420583724975586
0.02,1,34,12280,0.39459964632987976,0.39400815963745117
0.02,1,35,12280,0.4144950211048126,0.4066196084022522
0.02,1,36,12280,0.42001810669898987,0.42417997121810913
