method,layer,metric,count,mean,std,q10,median,q90
JFFN,15,top1_agreement,16510,0.041550575408843125,0.19955982835239455,0.0,0.0,0.0
JFFN,15,top32_overlap,16510,0.2885031798909752,0.21366036829627538,0.0625,0.25,0.59375
JFFN,15,total_variation,16510,0.6288310086741583,0.15428849348165183,0.3997880190610886,0.662949413061142,0.7990849137306213
JFFN,16,cosine,16510,0.28984149102356255,0.24658924075323832,0.04023061916232109,0.21042799949645996,0.6909921050071717
JFFN,16,js,16510,0.3159106793716242,0.14096575200591985,0.11529652029275894,0.32331953942775726,0.5004083991050721
JFFN,16,top1_agreement,16510,0.05190793458509994,0.22184116144712396,0.0,0.0,0.0
JFFN,16,top32_overlap,16510,0.2996233343428225,0.22245789433405405,0.03125,0.25,0.625
JFFN,16,total_variation,16510,0.6513058023485522,0.173958647039145,0.3936326175928116,0.6821431815624237,0.854999327659607
JFFN,17,cosine,16510,0.2939541324332575,0.24126781706936726,0.052991081774234776,0.21490847319364548,0.6778104960918426
JFFN,17,js,16510,0.3006383987524965,0.12942914922539173,0.11473350077867508,0.3102659434080124,0.46609660387039187
JFFN,17,top1_agreement,16510,0.053482737734706236,0.22499407658671117,0.0,0.0,0.0
JFFN,17,top32_overlap,16510,0.3283899909145972,0.21569812246596431,0.0625,0.3125,0.625
JFFN,17,total_variation,16510,0.6338088395133804,0.16418434822501685,0.3930237323045731,0.6634966731071472,0.8230593025684357
JFFN,18,cosine,16510,0.20270317269828755,0.22549236026827935,0.02442047465592623,0.10768624022603035,0.5632513284683228
JFFN,18,js,16510,0.3602319515954426,0.131848450938728,0.1581028401851654,0.38576051592826843,0.5116444528102875
JFFN,18,top1_agreement,16510,0.03937007874015748,0.19447384307446405,0.0,0.0,0.0
JFFN,18,top32_overlap,16510,0.30738567534827377,0.20786405725482823,0.0625,0.28125,0.625
JFFN,18,total_variation,16510,0.6984471381008445,0.15636044414328565,0.4635049670934677,0.7419460713863373,0.8563854455947876
JFFN,19,cosine,16510,0.25404755247120536,0.22933581187374225,0.05042194165289402,0.16724319010972977,0.6266611993312836
JFFN,19,js,16510,0.31514666206742115,0.11993562154208887,0.13752413541078568,0.3312271684408188,0.460490545630455
JFFN,19,top1_agreement,16510,0.04978800726832223,0.21750669323166058,0.0,0.0,0.0
JFFN,19,top32_overlap,16510,0.34161114476075105,0.20105703122027613,0.09375,0.3125,0.625
JFFN,19,total_variation,16510,0.6499528791495953,0.15147050986573568,0.42553717494010923,0.6839560270309448,0.8142202436923981
JFFN,20,cosine,16510,0.30199398447506737,0.2505787472993276,0.05026602782309055,0.2177658975124359,0.7134733438491822
JFFN,20,js,16510,0.31697924047948817,0.135101251797545,0.12130926549434662,0.3292347937822342,0.489128914475441
JFFN,20,top1_agreement,16510,0.0632344033918837,0.24338408661939306,0.0,0.0,0.0
JFFN,20,top32_overlap,16510,0.34976529376135673,0.20871322398458678,0.09375,0.3125,0.65625
JFFN,20,total_variation,16510,0.6494401137718535,0.1703988316820019,0.39669422507286073,0.6834633350372314,0.8427200496196747
JFFN,21,cosine,16510,0.33515881478328424,0.2329382243201155,0.08803832605481147,0.27028724551200867,0.7099097609519959
