feature,layer,hall_minus_real,difference_sem,difference_ci95_low,difference_ci95_high,cohens_d_hall_minus_real,hall_positive_raw_auroc,best_orientation_auroc
s_times_risk,10,0.01302086436602462,0.0010746015273659399,0.010914645372387378,0.015127083359661862,0.2241223000485984,0.5621766906339205,0.5621766906339205
s_times_risk,11,0.001435673487126199,0.0010227695608499728,-0.0005689548521397476,0.0034403018263921455,0.02327166622635844,0.49506493150721664,0.5049350684927834
s_times_risk,12,-0.001465653993616367,0.0010018201220034176,-0.0034292214327430654,0.0004979134455103313,-0.027351622330695737,0.4842656826893439,0.5157343173106561
s_times_risk,13,-0.002275130891344679,0.0008817923789545568,-0.0040034439540956104,-0.0005468178285937474,-0.04458973915239924,0.48231428443350705,0.5176857155664929
s_times_risk,14,0.0016586207852092583,0.0007857441354754799,0.00011856227967731777,0.0031986792907411988,0.03896700648538542,0.5107624435372992,0.5107624435372992
s_times_risk,15,0.008898235070674193,0.0011708493953138457,0.006603370255859055,0.011193099885489331,0.15578486890656956,0.5279970489684082,0.5279970489684082
s_times_risk,16,-0.003807206663003604,0.0006004789752673667,-0.004984145454527643,-0.002630267871479565,-0.11418740544737345,0.4607086508357505,0.5392913491642495
s_times_risk,17,-0.010452186210252262,0.0007186624035437148,-0.011860764521197944,-0.009043607899306581,-0.2470629007236049,0.42459652839758477,0.5754034716024152
s_times_risk,18,0.006746606155748208,0.0006259308597182299,0.0055197816707004774,0.007973430640795939,0.1897040795434244,0.5612150359413023,0.5612150359413023
s_times_risk,19,-0.0099774454504378,0.0006412082546918085,-0.011234213629633744,-0.008720677271241855,-0.2550211211457818,0.42229144504475924,0.5777085549552408
s_times_risk,20,0.010418340216957922,0.00044048470867072154,0.009554990187963307,0.011281690245952537,0.38809117766278356,0.6182943149466892,0.6182943149466892
s_times_risk,21,0.019097628093816862,0.000535175833362196,0.01804868346042696,0.020146572727206765,0.6305513421373348,0.6904513788115377,0.6904513788115377
s_times_risk,22,0.010019120733780584,0.0004051900070053064,0.009224948320050184,0.010813293147510984,0.44890285402158453,0.6434756521934032,0.6434756521934032
s_times_risk,23,0.003860879052668298,0.00043866054138087503,0.003001104391561783,0.004720653713774813,0.1561407695868786,0.5638956792276839,0.5638956792276839
s_times_risk,24,0.004635579484183042,0.000428708888846273,0.0037953100620443467,0.005475848906321737,0.20147134905811337,0.5805863112325407,0.5805863112325407
s_times_risk,25,0.005746864756154144,0.0004325501836231186,0.004899066396252831,0.006594663116055456,0.24887510769620622,0.5871457449838976,0.5871457449838976
s_times_risk,26,0.004012771426540301,0.0008055419254848769,0.0024339092525899426,0.00559163360049066,0.08357413241859216,0.5700972253272437,0.5700972253272437
s_times_risk,27,0.002238544608596585,0.00044981429268649715,0.0013569085949310506,0.003120180622262119,0.09036873308216987,0.5456227194854291,0.5456227194854291
s_times_risk,28,0.01133491165585121,0.0005624212936853343,0.010232565920227955,0.012437257391474464,0.3715070254921631,0.6224271983408552,0.6224271983408552
s_times_risk,29,-0.013154919327122191,0.0005113349018360546,-0.014157135734720858,-0.012152702919523525,-0.3447898345942611,0.37734345710827066,0.6226565428917293
