model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
qwen3_vl_8b,attention_vp_generation,xgb,three_hidden,-0.00232915739222872,-0.011787488412440816
qwen3_vl_8b,attention_vp_generation,xgb,one_hidden,0.033109743485254195,0.0691211767218235
qwen3_vl_8b,attention_vp_generation,rf,three_hidden,-0.03432802645105726,-0.07566297667654132
qwen3_vl_8b,attention_vp_generation,rf,one_hidden,0.0011108744264256565,0.005245688457722997
qwen3_vl_8b,gated_visual,xgb,three_hidden,-0.006059256583693329,-0.0030219048621390465
qwen3_vl_8b,gated_visual,xgb,one_hidden,0.00012271586415135705,0.010080062932888434
qwen3_vl_8b,gated_visual,rf,three_hidden,-0.03339672366651347,-0.04759512014410994
qwen3_vl_8b,gated_visual,rf,one_hidden,-0.027214751218668787,-0.03449315234908246
qwen3_vl_8b,gated_visual_prompt_sum,xgb,three_hidden,0.009072484170425388,0.021277946521081503
qwen3_vl_8b,gated_visual_prompt_sum,xgb,one_hidden,0.03340830063482958,0.05695882857955192
qwen3_vl_8b,gated_visual_prompt_sum,rf,three_hidden,-0.01991148507291418,-0.01054658792895613
qwen3_vl_8b,gated_visual_prompt_sum,rf,one_hidden,0.004424331391490011,0.02513429412951429
qwen3_vl_8b,gated_generation,xgb,three_hidden,0.004196908280567957,0.001522232634961762
qwen3_vl_8b,gated_generation,xgb,one_hidden,0.03715602254473083,0.07176054541683818
qwen3_vl_8b,gated_generation,rf,three_hidden,-0.018879462664020075,-0.03905832876398019
qwen3_vl_8b,gated_generation,rf,one_hidden,0.014079651600142795,0.031179984017896234
qwen3_vl_8b,gated_vp_generation,xgb,three_hidden,0.013310812270968864,0.032351607626736945
qwen3_vl_8b,gated_vp_generation,xgb,one_hidden,0.028071318241082888,0.06639189574407145
qwen3_vl_8b,gated_vp_generation,rf,three_hidden,-0.020577160751093393,-0.027350009316156942
qwen3_vl_8b,gated_vp_generation,rf,one_hidden,-0.005816654780979369,0.006690278801177563
internvl_2_5_8b,attention_visual,xgb,three_hidden,-0.01809495707963482,-0.02231007652551109
internvl_2_5_8b,attention_visual,xgb,one_hidden,-0.010996674606311041,-0.022536434983452924
internvl_2_5_8b,attention_visual,rf,three_hidden,-0.02060279881368199,-0.0429210066175823
internvl_2_5_8b,attention_visual,rf,one_hidden,-0.013504516340358208,-0.043147365075524136
internvl_2_5_8b,attention_visual_prompt_sum,xgb,three_hidden,0.008237826175192087,0.019177742916161145
internvl_2_5_8b,attention_visual_prompt_sum,xgb,one_hidden,0.038256713984099355,0.06899000495820923
internvl_2_5_8b,attention_visual_prompt_sum,rf,three_hidden,0.0014027892006595044,0.0019481411833673912
internvl_2_5_8b,attention_visual_prompt_sum,rf,one_hidden,0.03142167700956677,0.051760403225415474
internvl_2_5_8b,attention_generation,xgb,three_hidden,0.008437874952379798,0.010409818241230717
internvl_2_5_8b,attention_generation,xgb,one_hidden,0.021595699418590075,0.02424726892610135
internvl_2_5_8b,attention_generation,rf,three_hidden,-0.005887086150483056,-0.007359680599422769
internvl_2_5_8b,attention_generation,rf,one_hidden,0.007270738315727221,0.006477770085447865
internvl_2_5_8b,attention_vp_generation,xgb,three_hidden,0.003958473523243966,0.018765758436145474
internvl_2_5_8b,attention_vp_generation,xgb,one_hidden,0.024643606093944115,0.047992430500573446
internvl_2_5_8b,attention_vp_generation,rf,three_hidden,-0.014194784757306622,-0.0208103703091429
internvl_2_5_8b,attention_vp_generation,rf,one_hidden,0.006490347813393527,0.008416301755285072
internvl_2_5_8b,gated_visual,xgb,three_hidden,-0.009364018457003187,-0.006646541545937468
internvl_2_5_8b,gated_visual,xgb,one_hidden,7.588057065754938e-05,0.002719192500754808
internvl_2_5_8b,gated_visual,rf,three_hidden,-0.014746643452997699,-0.021246171557689264
