model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
qwen3_vl_8b,attention_generation,searched_one_hidden,0.8330898310997502,0.003082565224252303,0.5041739718308019,0.007838063191630005,0.3424568788469609,0.019093360574814824
qwen3_vl_8b,attention_vp_generation,fixed_three_hidden,0.892890146404914,0.001095833434850837,0.6413482278038746,0.00966377671309038,0.5847325326443097,0.006364754886364159
qwen3_vl_8b,attention_vp_generation,searched_one_hidden,0.8574512455274311,0.0006550525924762213,0.5604395626696103,0.0003554571710177418,0.505999183326549,0.007204802499293804
qwen3_vl_8b,gated_visual,fixed_three_hidden,0.8774418398838394,0.0030477411813259326,0.5963792343475965,0.00440792107672201,0.535143333021504,0.0065902703327729755
qwen3_vl_8b,gated_visual,searched_one_hidden,0.8712598674359947,0.0006259576670884009,0.5832772665525691,0.001683848834310534,0.4976465005327518,0.009868622048847845
qwen3_vl_8b,gated_visual_prompt_sum,fixed_three_hidden,0.8834990383398318,0.0022805626138928214,0.6237923605851415,0.00934979662193516,0.5359476276459817,0.012262633960717773
qwen3_vl_8b,gated_visual_prompt_sum,searched_one_hidden,0.8591632218754276,0.007189282730261308,0.5881114785266711,0.011111970186996167,0.4556722261410773,0.02385416437467819
qwen3_vl_8b,gated_generation,fixed_three_hidden,0.8659778113252594,0.008602731875297639,0.5831309281365956,0.024115581245929437,0.5152653469243996,0.026998242944578775
qwen3_vl_8b,gated_generation,searched_one_hidden,0.8330186970610965,0.00090590363158016,0.5128926153547192,0.003774892509293411,0.3390782635740633,0.013231507659840321
qwen3_vl_8b,gated_vp_generation,fixed_three_hidden,0.8966520179427574,0.0007263270828116417,0.6641066546195121,0.009725052278472472,0.6067756284821484,0.02366844080958848
qwen3_vl_8b,gated_vp_generation,searched_one_hidden,0.8818915119726434,0.0031366035547410903,0.6300663665021776,0.004538630600677824,0.5216227979909475,0.0334965227527616
internvl_2_5_8b,attention_visual,fixed_three_hidden,0.8524418857189651,0.0019862544590492264,0.5234856033852099,0.004916887904941489,0.44158009162581763,0.01599868485691914
internvl_2_5_8b,attention_visual,searched_one_hidden,0.8453436032456413,0.0033047864242992473,0.5237119618431517,0.0026620300889881603,0.3905230286245933,0.05537011643572013
internvl_2_5_8b,attention_visual_prompt_sum,fixed_three_hidden,0.8488045138480929,0.006862833186439029,0.5154345176570483,0.013745160365504935,0.41339596719032534,0.06601871841436689
internvl_2_5_8b,attention_visual_prompt_sum,searched_one_hidden,0.8187856260391856,0.007137145974052399,0.4656222556150002,0.01882510329678296,0.2055606418010961,0.046453648582790386
internvl_2_5_8b,attention_generation,fixed_three_hidden,0.8446738070061132,0.00503483618025994,0.49977849997853957,0.011616197334257512,0.39875678244827917,0.04198222553779737
internvl_2_5_8b,attention_generation,searched_one_hidden,0.8315159825399029,0.002583932103942132,0.48594104929366894,0.00999085144851618,0.2452715185687713,0.022676770672420334
internvl_2_5_8b,attention_vp_generation,fixed_three_hidden,0.8669459783742598,0.002183081185680175,0.5441738258230303,0.004685175898642638,0.496151740185616,0.024743568115478013
internvl_2_5_8b,attention_vp_generation,searched_one_hidden,0.8462608458035596,0.0007844989137502462,0.5149471537586023,0.0017283814236329733,0.3740236416572129,0.03888750561818797
internvl_2_5_8b,gated_visual,fixed_three_hidden,0.8541898091280989,0.0019165128331737745,0.5289109189273291,0.01059446786340789,0.44310969264665706,0.05061102853876963
internvl_2_5_8b,gated_visual,searched_one_hidden,0.8447499101004382,0.003412768932946917,0.5195451848806368,0.0036139577473422355,0.4496369497948877,0.0252050903982406
internvl_2_5_8b,gated_visual_prompt_sum,fixed_three_hidden,0.8540224713300506,0.0032721372220107015,0.5249050131009116,0.021174631318797477,0.4616119263918006,0.015069767739315744
internvl_2_5_8b,gated_visual_prompt_sum,searched_one_hidden,0.8242537001235452,0.003512452912062538,0.4780598096260968,0.008289651301224502,0.18076174007471627,0.05050507907520816
internvl_2_5_8b,gated_generation,fixed_three_hidden,0.8471787559324809,0.0023919243444227157,0.5090234399063092,0.0036061692891338243,0.4337888615153223,0.01432852708624688
internvl_2_5_8b,gated_generation,searched_one_hidden,0.8174947662433376,0.004243925791734965,0.43268553287695494,0.01829839185495265,0.0913668770811628,0.08315876926692452
internvl_2_5_8b,gated_vp_generation,fixed_three_hidden,0.8659926869821875,0.005580615484436007,0.561599262814276,0.005699160049706062,0.5347885848027224,0.007975438452014582
internvl_2_5_8b,gated_vp_generation,searched_one_hidden,0.8482453118713705,0.0028099723444916544,0.5223665041183059,0.006901887798629304,0.3695699342734972,0.04958516458343354
