model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,attention_generation,searched_one_hidden,43,train_f1,0.3825584352016449,0.7856734646360952,0.2779015184402783,0.0,0.0,0.0
qwen2_5_vl_7b,attention_generation,searched_one_hidden,44,fixed_0.5,0.5,0.7876860445836729,0.2911046102053817,0.25,0.01092896174863388,0.020942408376963352
qwen2_5_vl_7b,attention_generation,searched_one_hidden,44,train_f1,0.3010569214820862,0.7876860445836729,0.2911046102053817,0.0,0.0,0.0
qwen2_5_vl_7b,attention_generation,searched_one_hidden,45,fixed_0.5,0.5,0.7875837399062324,0.2814960680943721,0.0,0.0,0.0
qwen2_5_vl_7b,attention_generation,searched_one_hidden,45,train_f1,0.5388452410697937,0.7875837399062324,0.2814960680943721,0.2,0.00546448087431694,0.010638297872340425
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,43,fixed_0.5,0.5,0.8433609555962422,0.38237639511782684,0.3152454780361757,0.6666666666666666,0.4280701754385965
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,43,train_f1,0.26488471031188965,0.8433609555962422,0.38237639511782684,0.4421052631578947,0.22950819672131148,0.302158273381295
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,44,fixed_0.5,0.5,0.8499860653973831,0.4398011124575314,0.5,0.2568306010928962,0.33935018050541516
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,44,train_f1,0.6119835376739502,0.8499860653973831,0.4398011124575314,0.47692307692307695,0.33879781420765026,0.3961661341853035
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,45,fixed_0.5,0.5,0.8468957585891832,0.42993141531924706,0.3776978417266187,0.5737704918032787,0.455531453362256
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,45,train_f1,0.3547072410583496,0.8468957585891832,0.42993141531924706,0.49375,0.43169398907103823,0.4606413994169096
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,43,fixed_0.5,0.5,0.8224484684284237,0.349559528121819,0.4305555555555556,0.16939890710382513,0.24313725490196078
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,43,train_f1,0.30095505714416504,0.8224484684284237,0.349559528121819,0.45454545454545453,0.0273224043715847,0.05154639175257732
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,44,fixed_0.5,0.5,0.820575234507015,0.34019525494431907,0.5,0.01092896174863388,0.0213903743315508
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,44,train_f1,0.6105778217315674,0.820575234507015,0.34019525494431907,0.38461538461538464,0.0273224043715847,0.05102040816326531
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,45,fixed_0.5,0.5,0.8231751844130004,0.34662511137810054,0.3333333333333333,0.03278688524590164,0.05970149253731343
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,45,train_f1,0.48539039492607117,0.8231751844130004,0.34662511137810054,0.4,0.03278688524590164,0.06060606060606061
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,43,fixed_0.5,0.5,0.8490759065429133,0.40547376913460426,0.532258064516129,0.18032786885245902,0.2693877551020408
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,43,train_f1,0.6038166284561157,0.8490759065429133,0.40547376913460426,0.4883720930232558,0.3442622950819672,0.40384615384615385
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,44,fixed_0.5,0.5,0.8553623525842515,0.41778544707518317,0.5909090909090909,0.14207650273224043,0.2290748898678414
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,44,train_f1,0.6436061263084412,0.8553623525842515,0.41778544707518317,0.45,0.3442622950819672,0.39009287925696595
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,45,fixed_0.5,0.5,0.8447579436054284,0.39140982426246845,0.4725274725274725,0.23497267759562843,0.31386861313868614
