model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
qwen3_vl_8b,HALL,20,2593,0.42221003770828247,0.33449283242225647,0.43912822008132935,0.5183069705963135,0.6758534943112942
qwen3_vl_8b,HALL,21,2593,0.4229530990123749,0.346731960773468,0.449657678604126,0.51773601770401,0.6630523829503385
qwen3_vl_8b,HALL,22,2593,0.42590346932411194,0.3691934645175934,0.4467008411884308,0.5015097856521606,0.697935182544837
qwen3_vl_8b,HALL,23,2593,0.4554099142551422,0.3979300856590271,0.4662598967552185,0.5217097997665405,0.6306813413964683
qwen3_vl_8b,HALL,24,2593,0.4469766616821289,0.39746206998825073,0.463352233171463,0.5131394267082214,0.6480683869500823
qwen3_vl_8b,HALL,25,2593,0.45240387320518494,0.4085330069065094,0.46124356985092163,0.5096194744110107,0.6564290164826123
qwen3_vl_8b,HALL,26,2593,0.4374465346336365,0.3625672161579132,0.4521790146827698,0.5219447612762451,0.6461357532369159
qwen3_vl_8b,HALL,27,2593,0.4540327787399292,0.3928336203098297,0.47211015224456787,0.5306954383850098,0.592543316948286
qwen3_vl_8b,HALL,28,2593,0.4234699606895447,0.3501005172729492,0.4317566454410553,0.5044237375259399,0.689187266268116
qwen3_vl_8b,HALL,29,2593,0.4139222204685211,0.3185192942619324,0.42212527990341187,0.5188026428222656,0.6822340057358134
qwen3_vl_8b,HALL,30,2593,0.456768661737442,0.38515159487724304,0.46920251846313477,0.5389851331710815,0.5912005166754392
qwen3_vl_8b,HALL,31,2593,0.4508265256881714,0.3606581389904022,0.46530380845069885,0.552950918674469,0.5970562815698994
qwen3_vl_8b,HALL,32,2593,0.42701902985572815,0.336272656917572,0.4439101815223694,0.5282747149467468,0.6482779055613273
qwen3_vl_8b,HALL,33,2593,0.4519050419330597,0.3433440625667572,0.4694691300392151,0.5838764309883118,0.5581013339597588
qwen3_vl_8b,HALL,34,2593,0.4586743414402008,0.3682117164134979,0.4796012341976166,0.5671449303627014,0.5587640270535431
qwen3_vl_8b,HALL,35,2593,0.46167105436325073,0.37236806750297546,0.4693957567214966,0.5642073154449463,0.5745410469932203
qwen3_vl_8b,HALL,36,2593,0.46562302112579346,0.4087311923503876,0.4640284776687622,0.5235576629638672,0.6369100723446111
qwen3_vl_8b,REAL,1,12280,0.5101104378700256,0.39246413111686707,0.5214807987213135,0.6320429444313049,0.6751767160646742
qwen3_vl_8b,REAL,2,12280,0.527587890625,0.3715858459472656,0.5323375463485718,0.6749385595321655,0.6679324251838137
qwen3_vl_8b,REAL,3,12280,0.5349962711334229,0.40689241886138916,0.520399808883667,0.6593838930130005,0.6712036351942274
qwen3_vl_8b,REAL,4,12280,0.5155072808265686,0.3563028573989868,0.5202609896659851,0.6764012575149536,0.6220256616724307
qwen3_vl_8b,REAL,5,12280,0.5048092603683472,0.3431009352207184,0.5246183276176453,0.6609500646591187,0.6698093463860985
qwen3_vl_8b,REAL,6,12280,0.5191214680671692,0.39576974511146545,0.529878556728363,0.6481487154960632,0.7178309241493321
qwen3_vl_8b,REAL,7,12280,0.5063886046409607,0.3268606960773468,0.535598635673523,0.701682984828949,0.692462025046134
qwen3_vl_8b,REAL,8,12280,0.5112174153327942,0.3985758423805237,0.5225299596786499,0.6375129818916321,0.6971320304854839
qwen3_vl_8b,REAL,9,12280,0.501563549041748,0.4181521534919739,0.5138391256332397,0.6063282489776611,0.6540279454457064
qwen3_vl_8b,REAL,10,12280,0.48371875286102295,0.38702112436294556,0.5185719132423401,0.5898773670196533,0.6427599487972504
qwen3_vl_8b,REAL,11,12280,0.49621400237083435,0.43092256784439087,0.5113128423690796,0.579072117805481,0.6677347619687684
qwen3_vl_8b,REAL,12,12280,0.49882662296295166,0.4289633631706238,0.5122225284576416,0.5835200548171997,0.6493592904223473
qwen3_vl_8b,REAL,13,12280,0.5150126218795776,0.44438302516937256,0.5170369148254395,0.5960503220558167,0.7354214899547893
qwen3_vl_8b,REAL,14,12280,0.4984776973724365,0.44456061720848083,0.5053911209106445,0.5730435252189636,0.6032509066630153
qwen3_vl_8b,REAL,15,12280,0.49345314502716064,0.44967085123062134,0.5107153058052063,0.5581082105636597,0.6995969165292174
qwen3_vl_8b,REAL,16,12280,0.48923760652542114,0.4449523091316223,0.5045944452285767,0.549866259098053,0.5937309135972444
qwen3_vl_8b,REAL,17,12280,0.5028870105743408,0.44704943895339966,0.5117700695991516,0.5719606876373291,0.7019969354978512
qwen3_vl_8b,REAL,18,12280,0.4906519651412964,0.4525570869445801,0.5055873394012451,0.5444262027740479,0.631636101204571
qwen3_vl_8b,REAL,19,12280,0.4921606183052063,0.4654126763343811,0.5044298768043518,0.5364867448806763,0.6399398562403665
qwen3_vl_8b,REAL,20,12280,0.49668776988983154,0.4459887742996216,0.5090137124061584,0.5685652494430542,0.6758534943112942
qwen3_vl_8b,REAL,21,12280,0.48806092143058777,0.44785866141319275,0.5072096586227417,0.5522136092185974,0.6630523829503385
qwen3_vl_8b,REAL,22,12280,0.49297693371772766,0.4509681463241577,0.5088670253753662,0.5541110038757324,0.697935182544837
qwen3_vl_8b,REAL,23,12280,0.4960560202598572,0.4454764723777771,0.507124662399292,0.5595964789390564,0.6306813413964683
qwen3_vl_8b,REAL,24,12280,0.4898824691772461,0.4511055052280426,0.5076724290847778,0.5511948466300964,0.6480683869500823
qwen3_vl_8b,REAL,25,12280,0.4925846457481384,0.4521392583847046,0.5080616474151611,0.5507085919380188,0.6564290164826123
qwen3_vl_8b,REAL,26,12280,0.49499794840812683,0.42746150493621826,0.5102912783622742,0.5799564719200134,0.6461357532369159
qwen3_vl_8b,REAL,27,12280,0.4856265187263489,0.43445533514022827,0.5049261450767517,0.5548030734062195,0.592543316948286
qwen3_vl_8b,REAL,28,12280,0.4984927177429199,0.4290481209754944,0.5146591663360596,0.5831493139266968,0.689187266268116
qwen3_vl_8b,REAL,29,12280,0.4997252821922302,0.42446351051330566,0.5133689641952515,0.5922104120254517,0.6822340057358134
qwen3_vl_8b,REAL,30,12280,0.49651435017585754,0.4071179926395416,0.507269024848938,0.593681275844574,0.5912005166754392
qwen3_vl_8b,REAL,31,12280,0.49783796072006226,0.4153274893760681,0.5071851015090942,0.5888147950172424,0.5970562815698994
qwen3_vl_8b,REAL,32,12280,0.4960663914680481,0.4166315197944641,0.511833131313324,0.590811014175415,0.6482779055613273
qwen3_vl_8b,REAL,33,12280,0.4866718351840973,0.3900677561759949,0.5046370029449463,0.6006780862808228,0.5581013339597588
qwen3_vl_8b,REAL,34,12280,0.49082374572753906,0.3976949453353882,0.5030311346054077,0.5936599969863892,0.5587640270535431
qwen3_vl_8b,REAL,35,12280,0.49736303091049194,0.412936270236969,0.5043234825134277,0.5909281969070435,0.5745410469932203
qwen3_vl_8b,REAL,36,12280,0.5094680786132812,0.44332775473594666,0.5083977580070496,0.5759066343307495,0.6369100723446111
