model,label,layer,n_mentions,spearman,pearson_log
qwen3_vl_8b,HALL,3,2593,0.9697657173423361,0.9713698963695955
qwen3_vl_8b,HALL,4,2593,0.9769738209273802,0.9658447661668369
qwen3_vl_8b,HALL,5,2593,0.9859108204133185,0.9814771338544643
qwen3_vl_8b,HALL,6,2593,0.9838957430271422,0.9789161255290102
qwen3_vl_8b,HALL,7,2593,0.9939708505108027,0.9941694287019336
qwen3_vl_8b,HALL,8,2593,0.9875185449710201,0.9897203472592461
qwen3_vl_8b,HALL,9,2593,0.9869740422321945,0.9899883938957611
qwen3_vl_8b,HALL,10,2593,0.9566701550214597,0.962071162897967
qwen3_vl_8b,HALL,11,2593,0.9835690465129796,0.985132060724972
qwen3_vl_8b,HALL,12,2593,0.9736923733991489,0.9774683984116318
qwen3_vl_8b,HALL,13,2593,0.9820151671671995,0.983700764721572
qwen3_vl_8b,HALL,14,2593,0.9894479229153407,0.9926416148841009
qwen3_vl_8b,HALL,15,2593,0.9883747213485762,0.99195449500505
qwen3_vl_8b,HALL,16,2593,0.9837596823409328,0.9904257691916514
qwen3_vl_8b,HALL,17,2593,0.9886673282291671,0.9910269204674665
qwen3_vl_8b,HALL,18,2593,0.9797907535281356,0.9882097424361781
qwen3_vl_8b,HALL,19,2593,0.9759329290687292,0.9868255603788186
qwen3_vl_8b,HALL,20,2593,0.9885769843558124,0.9918071064724865
qwen3_vl_8b,HALL,21,2593,0.9882617575669655,0.9941054141566833
qwen3_vl_8b,HALL,22,2593,0.9823200268771513,0.9906046791309192
qwen3_vl_8b,HALL,23,2593,0.9840096294703862,0.988127961054182
qwen3_vl_8b,HALL,24,2593,0.9670396945663359,0.9805516499561908
qwen3_vl_8b,HALL,25,2593,0.9405640196952421,0.9552252407415092
qwen3_vl_8b,HALL,26,2593,0.9869671515546733,0.9898695365548484
qwen3_vl_8b,HALL,27,2593,0.9717855198643915,0.9819190060680736
qwen3_vl_8b,HALL,28,2593,0.9801340854114269,0.9848849359717831
qwen3_vl_8b,HALL,29,2593,0.9920117100609381,0.992724921662183
qwen3_vl_8b,HALL,30,2593,0.8954516277026939,0.9194817512190804
qwen3_vl_8b,HALL,31,2593,0.9674505645753411,0.9716692227401849
qwen3_vl_8b,HALL,32,2593,0.9689408185673665,0.9764809753351474
qwen3_vl_8b,HALL,33,2593,0.974995797829633,0.9804252812923047
qwen3_vl_8b,HALL,34,2593,0.9704377185563657,0.9756577992355111
qwen3_vl_8b,HALL,35,2593,0.9689324298218278,0.9706788714551116
qwen3_vl_8b,HALL,36,2593,0.6680882105463173,0.7083465345905122
