model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_real_auroc
qwen3_vl_8b,REAL,7,12280,0.001138502499088645,0.0005173762328922749,0.000752135762013495,0.0012367607560008764,0.4815502241690545
qwen3_vl_8b,REAL,8,12280,0.0009422376751899719,0.0004221602575853467,0.0006657763151451945,0.0011287641245871782,0.47389884567697294
qwen3_vl_8b,REAL,9,12280,0.0009577454766258597,0.0004862583882641047,0.000749484752304852,0.0011670523090288043,0.5411335454637958
qwen3_vl_8b,REAL,10,12280,0.006511756684631109,0.0023288994561880827,0.004634845070540905,0.008843744173645973,0.4700054393499914
qwen3_vl_8b,REAL,11,12280,0.0015814182115718722,0.0005380610236898065,0.0009864314924925566,0.0019394697155803442,0.5181556991951521
qwen3_vl_8b,REAL,12,12280,0.002403790131211281,0.0008576816180720925,0.0017047100700438023,0.003328263759613037,0.4635381087392642
qwen3_vl_8b,REAL,13,12280,0.0009756150539033115,0.0005077532259747386,0.0007116170600056648,0.0010522919474169612,0.5221431949711764
qwen3_vl_8b,REAL,14,12280,0.0009687612182460725,0.0005838865763507783,0.0008233694825321436,0.001185351051390171,0.5536398735759392
qwen3_vl_8b,REAL,15,12280,0.0011730724945664406,0.0005563203594647348,0.0008423294639214873,0.001375878695398569,0.48570760541724084
qwen3_vl_8b,REAL,16,12280,0.001444468041881919,0.0010013497667387128,0.0013191606849431992,0.0017191704828292131,0.4999259469556599
qwen3_vl_8b,REAL,17,12280,0.0009328412124887109,0.0006289724842645228,0.0008129405323415995,0.001071208855137229,0.4924486308038053
qwen3_vl_8b,REAL,18,12280,0.0012840438866987824,0.0008737781899981201,0.001144579378888011,0.0015222609508782625,0.48969703260218256
qwen3_vl_8b,REAL,19,12280,0.0013974320609122515,0.0007993666222319007,0.0011403013486415148,0.0017280303873121738,0.5195266540711587
qwen3_vl_8b,REAL,20,12280,0.001233904156833887,0.0007125391275621951,0.0009846935281530023,0.001426687347702682,0.5631154913441476
qwen3_vl_8b,REAL,21,12280,0.0015696758637204766,0.0010222886921837926,0.001401419285684824,0.001961739966645837,0.5581867556224412
qwen3_vl_8b,REAL,22,12280,0.001226559397764504,0.0005754968733526766,0.0008831169689074159,0.0014766963431611657,0.6214425017995078
qwen3_vl_8b,REAL,23,12280,0.0009396140812896192,0.0005679924506694078,0.0007505138637498021,0.0010748307686299086,0.39944928151588277
qwen3_vl_8b,REAL,24,12280,0.0021821497939527035,0.001328113372437656,0.001920789945870638,0.0027436597738415003,0.6522065954316998
qwen3_vl_8b,REAL,25,12280,0.00333255878649652,0.0021476049441844225,0.0029360840562731028,0.004021333996206522,0.39685222743266446
qwen3_vl_8b,REAL,26,12280,0.0008840665104798973,0.00044148915912956,0.0006641511572524905,0.0010506007820367813,0.5499913636186626
qwen3_vl_8b,REAL,27,12280,0.0012211581924930215,0.0005021687829867005,0.0008168966742232442,0.0013877633027732372,0.45529904805094146
qwen3_vl_8b,REAL,28,12280,0.002823278773576021,0.001986346673220396,0.002650331472977996,0.0034687668085098267,0.49673298256016263
qwen3_vl_8b,REAL,29,12280,0.0020575132220983505,0.0011976511450484395,0.001762942411005497,0.002533078659325838,0.5955136825404402
qwen3_vl_8b,REAL,30,12280,0.007365089375525713,0.003185020061209798,0.00587894581258297,0.00976817961782217,0.5118806772430409
qwen3_vl_8b,REAL,31,12280,0.004183055832982063,0.0012612174032256007,0.0023195960093289614,0.005033890716731548,0.5685322454214616
qwen3_vl_8b,REAL,32,12280,0.0022040861658751965,0.0004620622203219682,0.0011615153634920716,0.0028408379293978214,0.6617276562682541
