model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen3_vl_8b,top32_overlap,REAL,30,12280,0.9328328583061889,0.90625,0.9375,0.96875
qwen3_vl_8b,top32_overlap,REAL,31,12280,0.9424343444625407,0.9375,0.9375,0.96875
qwen3_vl_8b,top32_overlap,REAL,32,12280,0.971709588762215,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,REAL,33,12280,0.9785067182410423,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,REAL,34,12280,0.9832731066775244,0.96875,1.0,1.0
qwen3_vl_8b,top32_overlap,REAL,35,12280,0.9462311685667752,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,REAL,36,12280,0.5994859527687296,0.53125,0.59375,0.65625
qwen3_vl_8b,top32_overlap,HALL,1,2593,0.9444899730042422,0.9375,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,2,2593,0.8465580408792904,0.8125,0.875,0.90625
qwen3_vl_8b,top32_overlap,HALL,3,2593,0.8954878519089857,0.875,0.90625,0.9375
qwen3_vl_8b,top32_overlap,HALL,4,2593,0.9006821249517933,0.875,0.90625,0.9375
qwen3_vl_8b,top32_overlap,HALL,5,2593,0.9180485923640571,0.90625,0.9375,0.9375
qwen3_vl_8b,top32_overlap,HALL,6,2593,0.9485152333204782,0.9375,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,7,2593,0.9604584458156575,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,8,2593,0.9614225800231392,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,9,2593,0.9687620516775935,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,10,2593,0.9156864635557269,0.875,0.9375,0.9375
qwen3_vl_8b,top32_overlap,HALL,11,2593,0.9579034901658311,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,12,2593,0.9542036251446201,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,13,2593,0.9638208638642499,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,14,2593,0.970762630158118,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,15,2593,0.9672676436559969,0.9375,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,16,2593,0.9701359429232549,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,17,2593,0.969003085229464,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,18,2593,0.9746673736984188,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,19,2593,0.9737755495564983,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,20,2593,0.9712688006170459,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,21,2593,0.9746191669880447,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,22,2593,0.977632086386425,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,23,2593,0.9606753760123409,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,24,2593,0.9694369456228307,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,25,2593,0.9413926918627072,0.90625,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,26,2593,0.9739924797531816,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,27,2593,0.9724619166988044,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,28,2593,0.941501156961049,0.9375,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,29,2593,0.9586868492094099,0.9375,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,30,2593,0.9352222329348245,0.90625,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,31,2593,0.9472859622059391,0.9375,0.9375,0.96875
qwen3_vl_8b,top32_overlap,HALL,32,2593,0.9739322213652141,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,33,2593,0.9785841689163132,0.96875,0.96875,1.0
qwen3_vl_8b,top32_overlap,HALL,34,2593,0.9839230620902429,0.96875,1.0,1.0
qwen3_vl_8b,top32_overlap,HALL,35,2593,0.9428509448515233,0.90625,0.96875,0.96875
qwen3_vl_8b,top32_overlap,HALL,36,2593,0.5743950057848053,0.5,0.5625,0.65625
qwen3_vl_8b,r_amp,REAL,1,12280,0.05024098626045302,0.03883338518838274,0.04763859371169364,0.058113910544197796
qwen3_vl_8b,r_amp,REAL,2,12280,0.0974875256582239,0.0653896536297497,0.08252422229879297,0.11628856143956355
