model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,0.25,8.281964302062988
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,0.5,8.409523963928223
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,0.75,8.53706169128418
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,1.0,8.665392875671387
qwen3_vl_8b,qwen3_vl_8b:139623:126:36,36,deterministic_random_region,1.25,8.793318748474121
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,0.0,2.54665207862854
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,0.25,2.634566307067871
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,0.5,2.723766326904297
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,0.75,2.8141441345214844
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,1.0,2.905604362487793
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_p_ffn_token,1.25,2.998063325881958
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,0.0,1.2670369148254395
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,0.25,1.6435528993606567
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,0.5,2.0499112606048584
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,0.75,2.472637176513672
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,1.0,2.905604362487793
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,highest_8_region,1.25,3.3456971645355225
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,0.0,2.827341318130493
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,0.25,2.8466145992279053
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,0.5,2.866086483001709
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,0.75,2.8857510089874268
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,1.0,2.905604362487793
qwen3_vl_8b,qwen3_vl_8b:149550:168:9,9,deterministic_random_region,1.25,2.925645112991333
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,0.0,4.790177822113037
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,0.25,5.146345615386963
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,0.5,5.550236225128174
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,0.75,5.99301815032959
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,1.0,6.468902587890625
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_p_ffn_token,1.25,6.974427223205566
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,0.0,2.5281124114990234
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,0.25,3.0589115619659424
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,0.5,4.052063941955566
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,0.75,5.218527317047119
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,1.0,6.468902587890625
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,highest_8_region,1.25,7.789223670959473
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,0.0,6.434907913208008
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,0.25,6.443044662475586
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,0.5,6.4514241218566895
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,0.75,6.460043430328369
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,1.0,6.468902587890625
qwen3_vl_8b,qwen3_vl_8b:150779:163:18,18,deterministic_random_region,1.25,6.478002548217773
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,0.0,4.344440460205078
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,0.25,4.9162092208862305
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,0.5,5.593072414398193
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,0.75,6.34656286239624
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,1.0,7.158825874328613
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_p_ffn_token,1.25,8.019113540649414
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,0.0,3.660860061645508
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,0.25,4.416869163513184
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,0.5,5.276075839996338
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,0.75,6.1972270011901855
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,1.0,7.158825874328613
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,highest_8_region,1.25,8.149341583251953
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,0.0,3.660860061645508
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,0.25,4.416869163513184
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,0.5,5.276075839996338
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,0.75,6.1972270011901855
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,1.0,7.158825874328613
qwen3_vl_8b,qwen3_vl_8b:152618:154:18,18,deterministic_random_region,1.25,8.149341583251953
