model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
qwen3_vl_8b,REAL,8,12280,0.40338969230651855,0.3860773742198944,0.40197962522506714,0.42071640491485596,0.5605283455457
qwen3_vl_8b,REAL,9,12280,0.45501765608787537,0.4399544596672058,0.45441341400146484,0.47022363543510437,0.5257755313415848
qwen3_vl_8b,REAL,10,12280,0.4874929189682007,0.459159791469574,0.48335784673690796,0.5099425315856934,0.5493745846685703
qwen3_vl_8b,REAL,11,12280,0.47575676441192627,0.4591466188430786,0.47311070561408997,0.48988789319992065,0.5864002274979869
qwen3_vl_8b,REAL,12,12280,0.4536605179309845,0.43878352642059326,0.4520842730998993,0.4668748378753662,0.5015339155405872
qwen3_vl_8b,REAL,13,12280,0.43524661660194397,0.42224419116973877,0.4349682331085205,0.44668418169021606,0.6355708836494145
qwen3_vl_8b,REAL,14,12280,0.4219575524330139,0.4115409255027771,0.4212491810321808,0.43158918619155884,0.6419133949960493
qwen3_vl_8b,REAL,15,12280,0.41463154554367065,0.40510961413383484,0.4136601686477661,0.4220997989177704,0.6088546462475394
qwen3_vl_8b,REAL,16,12280,0.4120354950428009,0.4011305272579193,0.4123130142688751,0.42281875014305115,0.6455919438578684
qwen3_vl_8b,REAL,17,12280,0.418549507856369,0.40817707777023315,0.4184308648109436,0.4283981919288635,0.5570440053463912
qwen3_vl_8b,REAL,18,12280,0.41956770420074463,0.40796220302581787,0.4197618365287781,0.4313669800758362,0.6464554877765369
qwen3_vl_8b,REAL,19,12280,0.3961476683616638,0.38690173625946045,0.396255224943161,0.405045747756958,0.6249883016289157
qwen3_vl_8b,REAL,20,12280,0.389530211687088,0.3759879469871521,0.3885152339935303,0.39996930956840515,0.6160754775761854
qwen3_vl_8b,REAL,21,12280,0.3941892087459564,0.3841818869113922,0.3951016962528229,0.40459322929382324,0.6619796658756788
qwen3_vl_8b,REAL,22,12280,0.36908379197120667,0.358797162771225,0.36842671036720276,0.37911924719810486,0.6214095893353566
qwen3_vl_8b,REAL,23,12280,0.369032621383667,0.35949647426605225,0.3691709637641907,0.37884044647216797,0.5041850804785121
qwen3_vl_8b,REAL,24,12280,0.3661949038505554,0.35539868474006653,0.36636611819267273,0.3767242729663849,0.6120902272593087
qwen3_vl_8b,REAL,25,12280,0.32817888259887695,0.31577587127685547,0.3273581266403198,0.33931511640548706,0.6085858663578088
qwen3_vl_8b,REAL,26,12280,0.29509368538856506,0.28652629256248474,0.2951122224330902,0.3033324182033539,0.5721669685736216
qwen3_vl_8b,REAL,27,12280,0.29763007164001465,0.28553447127342224,0.29501959681510925,0.3067578673362732,0.3817711742086876
qwen3_vl_8b,REAL,28,12280,0.3356875479221344,0.3241066336631775,0.3352513909339905,0.3470512330532074,0.4754135256409451
qwen3_vl_8b,REAL,29,12280,0.31249159574508667,0.3012852370738983,0.3122398853302002,0.32377153635025024,0.6267333217344115
qwen3_vl_8b,REAL,30,12280,0.3262110650539398,0.2887217700481415,0.32111597061157227,0.35539594292640686,0.5085642282969307
qwen3_vl_8b,REAL,31,12280,0.2916610538959503,0.26641467213630676,0.283383846282959,0.3066697418689728,0.5363327538059748
qwen3_vl_8b,REAL,32,12280,0.28113776445388794,0.26297372579574585,0.2795165479183197,0.2973458766937256,0.6069310100734753
qwen3_vl_8b,REAL,33,12280,0.27647748589515686,0.24922357499599457,0.27731719613075256,0.3032982647418976,0.513850227560797
qwen3_vl_8b,REAL,34,12280,0.2777097523212433,0.2495242953300476,0.27907073497772217,0.3038901090621948,0.4787623374633032
qwen3_vl_8b,REAL,35,12280,0.24751374125480652,0.2308761179447174,0.24553346633911133,0.2603882849216461,0.4041809821230047
qwen3_vl_8b,REAL,36,12280,0.4032439589500427,0.34678202867507935,0.3957741856575012,0.4514075815677643,0.4156398899065512
