model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
qwen3_vl_8b,HALL,35,2593,-0.025262610986828804,-0.03717619180679321,-0.025831907987594604,-0.014870554208755493,0.48893875832076084
qwen3_vl_8b,HALL,36,2593,0.023599673062562943,0.01564238965511322,0.02355395257472992,0.03136013448238373,0.5074399598769426
qwen3_vl_8b,REAL,1,12280,-0.007562639657407999,-0.010946203023195267,-0.00692594051361084,-0.003621727228164673,0.5086059655725576
qwen3_vl_8b,REAL,2,12280,0.002599003491923213,-0.0023993775248527527,0.0022052600979804993,0.007118284702301025,0.4980251736383724
qwen3_vl_8b,REAL,3,12280,-0.010921753011643887,-0.01760135218501091,-0.008514687418937683,-0.0021536368876695633,0.3745832710467043
qwen3_vl_8b,REAL,4,12280,-0.008933305740356445,-0.013681117445230484,-0.007297895848751068,-0.0022716037929058075,0.4077687861707353
qwen3_vl_8b,REAL,5,12280,-0.01715802028775215,-0.023348841816186905,-0.015744663774967194,-0.00909464992582798,0.3387602678722846
qwen3_vl_8b,REAL,6,12280,-0.021461665630340576,-0.028938446193933487,-0.020302243530750275,-0.012511538341641426,0.3331487398420453
qwen3_vl_8b,REAL,7,12280,-0.023800142109394073,-0.034143030643463135,-0.022511549293994904,-0.01237829402089119,0.33522582095870745
qwen3_vl_8b,REAL,8,12280,-0.020090101286768913,-0.025662746280431747,-0.01950649917125702,-0.013999663293361664,0.3665271446176187
qwen3_vl_8b,REAL,9,12280,-0.03827562928199768,-0.04608852416276932,-0.0383901372551918,-0.030587047338485718,0.4401950848626533
qwen3_vl_8b,REAL,10,12280,-0.029568824917078018,-0.03775219991803169,-0.028194159269332886,-0.020028699189424515,0.48236359856340866
qwen3_vl_8b,REAL,11,12280,-0.03535572439432144,-0.043189313262701035,-0.03549898415803909,-0.027633298188447952,0.4549844168275651
qwen3_vl_8b,REAL,12,12280,-0.03502465412020683,-0.04219778627157211,-0.03449459373950958,-0.027071699500083923,0.4952824002482253
qwen3_vl_8b,REAL,13,12280,-0.01898479275405407,-0.0260043665766716,-0.018794536590576172,-0.01151566207408905,0.3573419605025306
qwen3_vl_8b,REAL,14,12280,-0.038065169006586075,-0.04561648890376091,-0.037129878997802734,-0.02984609827399254,0.4790883216025104
qwen3_vl_8b,REAL,15,12280,-0.036528415977954865,-0.04244539886713028,-0.03639337420463562,-0.03053922951221466,0.4460913465343301
qwen3_vl_8b,REAL,16,12280,-0.031927578151226044,-0.038051120936870575,-0.03164267539978027,-0.025595571845769882,0.4686225191602046
qwen3_vl_8b,REAL,17,12280,-0.030342379584908485,-0.03591718152165413,-0.03003251552581787,-0.024372562766075134,0.5252136954793097
qwen3_vl_8b,REAL,18,12280,-0.035828687250614166,-0.04141397774219513,-0.035688549280166626,-0.030061103403568268,0.44960172149774325
qwen3_vl_8b,REAL,19,12280,-0.034047070890665054,-0.03914360702037811,-0.03351570665836334,-0.028492920100688934,0.49401222409117007
qwen3_vl_8b,REAL,20,12280,-0.029284464195370674,-0.034516915678977966,-0.028914213180541992,-0.023549988865852356,0.47779446605807924
qwen3_vl_8b,REAL,21,12280,-0.03451637923717499,-0.03944624215364456,-0.034417591989040375,-0.02952864021062851,0.40518101227182685
qwen3_vl_8b,REAL,22,12280,-0.032838769257068634,-0.03749753534793854,-0.03237569332122803,-0.02781720459461212,0.40284488682257796
qwen3_vl_8b,REAL,23,12280,-0.03109744004905224,-0.03736650571227074,-0.030904635787010193,-0.024549201130867004,0.42903926695651406
qwen3_vl_8b,REAL,24,12280,-0.046483710408210754,-0.05216974765062332,-0.04650165140628815,-0.04067287594079971,0.3679744608071594
qwen3_vl_8b,REAL,25,12280,-0.04126609116792679,-0.04816081374883652,-0.04047520458698273,-0.03366711735725403,0.3865545517812301
qwen3_vl_8b,REAL,26,12280,-0.038639288395643234,-0.04577423632144928,-0.03869457542896271,-0.03149763494729996,0.36092641991530694
qwen3_vl_8b,REAL,27,12280,-0.03998176008462906,-0.046771444380283356,-0.03924015164375305,-0.032707080245018005,0.40286098189688857
qwen3_vl_8b,REAL,28,12280,-0.035431068390607834,-0.04212678223848343,-0.03447209298610687,-0.02784448117017746,0.3969114101985928
qwen3_vl_8b,REAL,29,12280,-0.03755512833595276,-0.04447883367538452,-0.036665305495262146,-0.029884018003940582,0.3633115057954829
qwen3_vl_8b,REAL,30,12280,-0.04878225550055504,-0.0624917671084404,-0.0495060533285141,-0.034268543124198914,0.41272715253168457
qwen3_vl_8b,REAL,31,12280,-0.04143931716680527,-0.05114787817001343,-0.03838767111301422,-0.029930174350738525,0.37070680772965553
qwen3_vl_8b,REAL,32,12280,-0.04039377719163895,-0.047578632831573486,-0.039485424757003784,-0.031844355165958405,0.29702528481215396
qwen3_vl_8b,REAL,33,12280,-0.03888758644461632,-0.0468192994594574,-0.038358673453330994,-0.0304754376411438,0.38028350256453425
qwen3_vl_8b,REAL,34,12280,-0.034525156021118164,-0.0407257080078125,-0.0338139533996582,-0.027702540159225464,0.39027117923349136
qwen3_vl_8b,REAL,35,12280,-0.025643816217780113,-0.03795389086008072,-0.027045875787734985,-0.01461048424243927,0.48893875832076084
qwen3_vl_8b,REAL,36,12280,0.023842599242925644,0.01652349904179573,0.02393224835395813,0.03129082918167114,0.5074399598769426
