feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
C_JS,AE32,43,train_f1,0.657527506351471,0.8543416718377126,0.9633773992421107,0.8932776300797569,0.9366786140979689,0.9144634525660964,0.576107530048764,0.5964467005076142,0.45542635658914726,0.5164835164835165
C_JS,AE32,44,fixed_0.5,0.5,0.8678685875172496,0.9680694995007193,0.9004261913986826,0.9255276782158502,0.9128043990573449,0.5866324749017623,0.5807174887892377,0.501937984496124,0.5384615384615384
C_JS,AE32,44,train_f1,0.48707282543182373,0.8678685875172496,0.9680694995007193,0.8979198767334361,0.9283154121863799,0.9128646955159585,0.5866324749017623,0.5823665893271461,0.48643410852713176,0.5300950369588173
C_JS,AE32,45,fixed_0.5,0.5,0.8593433080492346,0.9645444025936218,0.8887644643523703,0.9482277976901633,0.9175337186897881,0.5870835352228311,0.6264367816091954,0.42248062015503873,0.5046296296296297
C_JS,AE32,45,train_f1,0.5441665649414062,0.8593433080492346,0.9645444025936218,0.8966172557962752,0.9394663480684986,0.9175418125243096,0.5870835352228311,0.6161616161616161,0.4728682170542636,0.5350877192982456
D_JS,AE32_cosine,43,fixed_0.5,0.5,0.8717194730781461,0.9694835043730301,0.883068978236813,0.953405017921147,0.9168900804289544,0.5979978397146395,0.629746835443038,0.3856589147286822,0.47836538461538464
D_JS,AE32_cosine,43,train_f1,0.5825595259666443,0.8717194730781461,0.9694835043730301,0.898695318495779,0.9326961369972122,0.9153801055305844,0.5979978397146395,0.5985748218527316,0.4883720930232558,0.5378868729989328
D_JS,AE32_cosine,44,fixed_0.5,0.5,0.851676653731334,0.9637789550350375,0.8776249094858798,0.965352449223417,0.9194007206523801,0.5787549273291914,0.6716981132075471,0.3449612403100775,0.4558258642765685
D_JS,AE32_cosine,44,train_f1,0.6933910250663757,0.851676653731334,0.9637789550350375,0.8975856697819314,0.9179609717244126,0.9076589879897617,0.5787549273291914,0.55119825708061,0.4903100775193798,0.518974358974359
D_JS,AE32_cosine,45,fixed_0.5,0.5,0.858318746353255,0.9654680831618231,0.9210637399746728,0.8689765033851056,0.8942622950819672,0.5916907109371701,0.5,0.6375968992248062,0.5604770017035775
D_JS,AE32_cosine,45,train_f1,0.33705174922943115,0.858318746353255,0.9654680831618231,0.8879730236043462,0.9438470728793309,0.915057915057915,0.5916907109371701,0.6061452513966481,0.42054263565891475,0.4965675057208238
D_JS,AE32,43,fixed_0.5,0.5,0.8667776512029242,0.9667510000196287,0.8850148367952523,0.9502190362405416,0.9164586134050317,0.5906614441327903,0.622356495468278,0.3992248062015504,0.48642266824085006
D_JS,AE32,43,train_f1,0.5525928735733032,0.8667776512029242,0.9667510000196287,0.8959847036328872,0.9330943847072879,0.9141630901287554,0.5906614441327903,0.5922330097087378,0.4728682170542636,0.5258620689655172
D_JS,AE32,44,fixed_0.5,0.5,0.8514821606636227,0.9631977389711579,0.88119911176906,0.9482277976901633,0.9134855169767888,0.5509799436238374,0.6,0.37790697674418605,0.4637336504161712
D_JS,AE32,44,train_f1,0.5782130360603333,0.8514821606636227,0.9631977389711579,0.8991074893286768,0.9227399442453206,0.9107704402515723,0.5509799436238374,0.5688888888888889,0.49612403100775193,0.5300207039337475
D_JS,AE32,45,fixed_0.5,0.5,0.8456465968343938,0.9617374691211823,0.8837209302325582,0.9382716049382716,0.9101796407185628,0.5504527932401986,0.5706371191135734,0.3992248062015504,0.4697833523375142
D_JS,AE32,45,train_f1,0.4837246537208557,0.8456465968343938,0.9617374691211823,0.88268156424581,0.9438470728793309,0.9122401847575058,0.5504527932401986,0.5877192982456141,0.38953488372093026,0.46853146853146854
E_JS,AE32_cosine,43,fixed_0.5,0.5,0.8768376507707173,0.9701351744449727,0.897774424745379,0.9478295499800876,0.9221232080588919,0.6109206238781624,0.651595744680851,0.4748062015503876,0.5493273542600897
E_JS,AE32_cosine,43,train_f1,0.5683966279029846,0.8768376507707173,0.9701351744449727,0.9082069233761182,0.9299084030266827,0.9189295552931916,0.6109206238781624,0.6140350877192983,0.5426356589147286,0.5761316872427984
E_JS,AE32_cosine,44,fixed_0.5,0.5,0.8664882269950204,0.9686835844517524,0.895017116774439,0.9370768618080446,0.9155642023346303,0.5898655571230218,0.6030150753768844,0.46511627906976744,0.5251641137855579
E_JS,AE32_cosine,44,train_f1,0.48622530698776245,0.8664882269950204,0.9686835844517524,0.89278973197433,0.9418558343289526,0.9166666666666666,0.5898655571230218,0.6137566137566137,0.4496124031007752,0.5190156599552572
E_JS,AE32_cosine,45,fixed_0.5,0.5,0.8768198994192992,0.970738697630027,0.9048536209553159,0.9354838709677419,0.919913843743881,0.6172391687506863,0.6241299303944315,0.5213178294573644,0.5681098204857444
