model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
qwen3_vl_8b,REAL,1,12280,0.5374990701675415,0.5030076503753662,0.5411802530288696,0.5744644999504089,0.5641210801820487
qwen3_vl_8b,REAL,2,12280,0.5039445161819458,0.46212494373321533,0.5059957504272461,0.546660304069519,0.5643902055270328
qwen3_vl_8b,REAL,3,12280,0.5243791341781616,0.49246689677238464,0.5221269130706787,0.5523935556411743,0.5523773445419954
qwen3_vl_8b,REAL,4,12280,0.5430160760879517,0.5000708103179932,0.5397972464561462,0.5800446271896362,0.5747277027476883
qwen3_vl_8b,REAL,5,12280,0.5361025333404541,0.49538058042526245,0.5363341569900513,0.5778716802597046,0.5983189990339814
qwen3_vl_8b,REAL,6,12280,0.5448992848396301,0.501052737236023,0.5404629707336426,0.5841370224952698,0.5975569247447714
qwen3_vl_8b,REAL,7,12280,0.552146315574646,0.4978072941303253,0.548162579536438,0.6031073331832886,0.6084674223133945
qwen3_vl_8b,REAL,8,12280,0.5543512105941772,0.5083392858505249,0.5554488897323608,0.5999881029129028,0.6092923223512061
qwen3_vl_8b,REAL,9,12280,0.5916471481323242,0.5353688597679138,0.5926247835159302,0.6507594585418701,0.539584288569451
qwen3_vl_8b,REAL,10,12280,0.6004854440689087,0.5372933149337769,0.5968359708786011,0.6657036542892456,0.5398271750176811
qwen3_vl_8b,REAL,11,12280,0.5952085852622986,0.5478414297103882,0.5974029302597046,0.6474928855895996,0.5795652068774488
qwen3_vl_8b,REAL,12,12280,0.6156722903251648,0.5548539757728577,0.617703378200531,0.6806946992874146,0.5624882074138466
qwen3_vl_8b,REAL,13,12280,0.6051257848739624,0.5557424426078796,0.607213020324707,0.6592739820480347,0.6011943487289131
qwen3_vl_8b,REAL,14,12280,0.6498071551322937,0.5883020162582397,0.6587877869606018,0.7202566266059875,0.5389073847027389
qwen3_vl_8b,REAL,15,12280,0.6630145311355591,0.5994989275932312,0.6727717518806458,0.7380969524383545,0.5781251609507432
qwen3_vl_8b,REAL,16,12280,0.6535791754722595,0.5873035192489624,0.66133052110672,0.728026807308197,0.5474607468616961
qwen3_vl_8b,REAL,17,12280,0.6246302723884583,0.5691658854484558,0.6303991079330444,0.684943675994873,0.5860607391988705
qwen3_vl_8b,REAL,18,12280,0.6682822108268738,0.5996955633163452,0.6794069409370422,0.7516177892684937,0.5461390507643354
qwen3_vl_8b,REAL,19,12280,0.6435410380363464,0.5806468725204468,0.6483116745948792,0.7143696546554565,0.5101949812260772
qwen3_vl_8b,REAL,20,12280,0.6558602452278137,0.5862322449684143,0.6649068593978882,0.7360470294952393,0.5134600044469513
qwen3_vl_8b,REAL,21,12280,0.6660503149032593,0.5946515798568726,0.6797707676887512,0.7520163059234619,0.5076226743010184
qwen3_vl_8b,REAL,22,12280,0.6973347067832947,0.6271296739578247,0.7170223593711853,0.7906167507171631,0.5171287863466034
qwen3_vl_8b,REAL,23,12280,0.6530951261520386,0.5854640603065491,0.6664413809776306,0.7337384223937988,0.5120109923861662
qwen3_vl_8b,REAL,24,12280,0.6931059956550598,0.6199465990066528,0.7236526012420654,0.7928004860877991,0.5053656424023083
qwen3_vl_8b,REAL,25,12280,0.6926267743110657,0.630428671836853,0.7153012752532959,0.7768310308456421,0.5128955776702748
qwen3_vl_8b,REAL,26,12280,0.7280197143554688,0.6579188108444214,0.7522522211074829,0.818038821220398,0.5838958339352629
qwen3_vl_8b,REAL,27,12280,0.7272235155105591,0.6705484390258789,0.745316743850708,0.8012530207633972,0.5541036943612909
qwen3_vl_8b,REAL,28,12280,0.7566584944725037,0.700912356376648,0.7787472605705261,0.8329971432685852,0.5981897045541053
qwen3_vl_8b,REAL,29,12280,0.7993448972702026,0.7472097277641296,0.8219531774520874,0.8739921450614929,0.5981708615402783
qwen3_vl_8b,REAL,30,12280,0.7642934322357178,0.7119876742362976,0.7818106412887573,0.8341625928878784,0.556301402171469
qwen3_vl_8b,REAL,31,12280,0.7701551914215088,0.7232330441474915,0.7897924184799194,0.8380334973335266,0.5960232290393455
qwen3_vl_8b,REAL,32,12280,0.815895676612854,0.769548773765564,0.8399830460548401,0.8868553042411804,0.597243282779621
qwen3_vl_8b,REAL,33,12280,0.8084614872932434,0.7586964964866638,0.8388535380363464,0.8872723579406738,0.5390036096933488
qwen3_vl_8b,REAL,34,12280,0.7837938070297241,0.7326006293296814,0.8090595006942749,0.8568279147148132,0.5532757480362439
qwen3_vl_8b,REAL,35,12280,0.7582774758338928,0.7030881643295288,0.7831739783287048,0.8355265855789185,0.5816564359569927
qwen3_vl_8b,REAL,36,12280,0.6227533221244812,0.5673578977584839,0.6187400817871094,0.6772053837776184,0.635754100553859
