model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_real_auroc
qwen3_vl_8b,HALL,35,2593,0.036601725965738297,0.023311465978622437,0.031045790761709213,0.04268341884016991,0.4940081885457087
qwen3_vl_8b,HALL,36,2593,0.11270884424448013,0.09281403571367264,0.10990109294652939,0.13038186728954315,0.49408987301064883
qwen3_vl_8b,REAL,1,12280,0.05265174061059952,0.03611870855093002,0.04860593006014824,0.06514210999011993,0.41420387952530685
qwen3_vl_8b,REAL,2,12280,0.042567186057567596,0.03074079379439354,0.0389922596514225,0.050373680889606476,0.41865621674993186
qwen3_vl_8b,REAL,3,12280,0.051277756690979004,0.037969160825014114,0.04795089736580849,0.060496196150779724,0.498605114496433
qwen3_vl_8b,REAL,4,12280,0.04521886631846428,0.03420359641313553,0.043012768030166626,0.05389292538166046,0.39097728977163526
qwen3_vl_8b,REAL,5,12280,0.04245295003056526,0.030456380918622017,0.03922721743583679,0.05077341943979263,0.39970116550321527
qwen3_vl_8b,REAL,6,12280,0.037191860377788544,0.025592602789402008,0.034128643572330475,0.04559725150465965,0.37685581702679855
qwen3_vl_8b,REAL,7,12280,0.04697015509009361,0.03145154193043709,0.042668119072914124,0.05771411582827568,0.40187913525640945
qwen3_vl_8b,REAL,8,12280,0.03854845464229584,0.02632906660437584,0.035389989614486694,0.047306351363658905,0.36184041600349726
qwen3_vl_8b,REAL,9,12280,0.02934713289141655,0.019077561795711517,0.025808347389101982,0.03540726378560066,0.4497933706508754
qwen3_vl_8b,REAL,10,12280,0.043814245611429214,0.030732160434126854,0.040851570665836334,0.053293339908123016,0.41157716339782247
qwen3_vl_8b,REAL,11,12280,0.029865147545933723,0.01973564177751541,0.026602094992995262,0.03602122142910957,0.4229583437493326
qwen3_vl_8b,REAL,12,12280,0.03120838850736618,0.020773444324731827,0.027787253260612488,0.0376615934073925,0.44062354359205624
qwen3_vl_8b,REAL,13,12280,0.028976112604141235,0.02026817947626114,0.026661235839128494,0.03503013774752617,0.3639541153770299
qwen3_vl_8b,REAL,14,12280,0.026927819475531578,0.019521810114383698,0.024461720138788223,0.031223846599459648,0.4525540920116927
qwen3_vl_8b,REAL,15,12280,0.0289729293435812,0.02002774551510811,0.02599121257662773,0.03436290845274925,0.4337737469081755
qwen3_vl_8b,REAL,16,12280,0.04672783985733986,0.03542253375053406,0.043406836688518524,0.053936589509248734,0.4591057137042728
qwen3_vl_8b,REAL,17,12280,0.04289492592215538,0.031600940972566605,0.0391002893447876,0.04964341223239899,0.44256595996990145
qwen3_vl_8b,REAL,18,12280,0.04335126280784607,0.03265209496021271,0.04021620377898216,0.0500483438372612,0.4648628040163255
qwen3_vl_8b,REAL,19,12280,0.042219340801239014,0.03222126513719559,0.03971141204237938,0.049306415021419525,0.49837658014373454
qwen3_vl_8b,REAL,20,12280,0.03358045592904091,0.022817518562078476,0.030139485374093056,0.0403873436152935,0.5759546812955452
qwen3_vl_8b,REAL,21,12280,0.03022323176264763,0.019969390705227852,0.026757512241601944,0.03653522580862045,0.559963510503724
qwen3_vl_8b,REAL,22,12280,0.025515900924801826,0.016835544258356094,0.022877562791109085,0.030987560749053955,0.5296310475082626
qwen3_vl_8b,REAL,23,12280,0.035241641104221344,0.024556992575526237,0.03143996745347977,0.04097789153456688,0.5081290645951076
qwen3_vl_8b,REAL,24,12280,0.022600296884775162,0.01375722698867321,0.019216055050492287,0.02734721265733242,0.493854508065438
qwen3_vl_8b,REAL,25,12280,0.030094029381871223,0.020744016394019127,0.026868786662817,0.035346053540706635,0.40160446692485785
qwen3_vl_8b,REAL,26,12280,0.030862605199217796,0.01882350817322731,0.025282710790634155,0.034721050411462784,0.47732006177996134
qwen3_vl_8b,REAL,27,12280,0.02564084716141224,0.016122035682201385,0.0219307541847229,0.029879139736294746,0.47885154343126257
qwen3_vl_8b,REAL,28,12280,0.032264064997434616,0.02018330618739128,0.02732209861278534,0.03760702908039093,0.44400686953474083
qwen3_vl_8b,REAL,29,12280,0.023644927889108658,0.013524508103728294,0.018992740660905838,0.027932021766901016,0.4740235393209732
qwen3_vl_8b,REAL,30,12280,0.04333815351128578,0.02349645458161831,0.03474036976695061,0.05460848659276962,0.49043965147961627
qwen3_vl_8b,REAL,31,12280,0.0395393930375576,0.02314339578151703,0.03181791678071022,0.04486314579844475,0.48028059759990255
qwen3_vl_8b,REAL,32,12280,0.029489075765013695,0.01806115359067917,0.02458123117685318,0.034220751374959946,0.40811775878681145
qwen3_vl_8b,REAL,33,12280,0.03391905128955841,0.01793697476387024,0.025536159053444862,0.038821619004011154,0.5522777435114081
qwen3_vl_8b,REAL,34,12280,0.03451927378773689,0.020752867683768272,0.028827127069234848,0.04122525453567505,0.5049274167107384
qwen3_vl_8b,REAL,35,12280,0.035926882177591324,0.022278977558016777,0.030627897009253502,0.04404768720269203,0.4940081885457087
qwen3_vl_8b,REAL,36,12280,0.1118452176451683,0.09188588708639145,0.1097453385591507,0.12975122034549713,0.49408987301064883
