model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
qwen3_vl_8b,REAL,27,12280,0.02239820547401905,0.011907078325748444,0.0175204835832119,0.026176692917943,0.45802979331726235
qwen3_vl_8b,REAL,28,12280,0.029311012476682663,0.016186928376555443,0.023211579769849777,0.03417697176337242,0.45208557617539574
qwen3_vl_8b,REAL,29,12280,0.02061949297785759,0.00993858091533184,0.014969485811889172,0.024546122178435326,0.49027169741637155
qwen3_vl_8b,REAL,30,12280,0.04122617468237877,0.019643723964691162,0.03125231713056564,0.052547842264175415,0.49378689305082213
qwen3_vl_8b,REAL,31,12280,0.0373307541012764,0.019037241116166115,0.028274454176425934,0.042986370623111725,0.48665123214467415
qwen3_vl_8b,REAL,32,12280,0.02573247067630291,0.013615199364721775,0.019929280504584312,0.030007828027009964,0.4175930468022777
qwen3_vl_8b,REAL,33,12280,0.03177712485194206,0.014699190855026245,0.02231556922197342,0.03615957126021385,0.5489023002295079
qwen3_vl_8b,REAL,34,12280,0.03053227998316288,0.015586435794830322,0.02362077310681343,0.0369902104139328,0.5032624794140074
qwen3_vl_8b,REAL,35,12280,0.02894333004951477,0.015011630952358246,0.022738222032785416,0.03621025010943413,0.48313807783672147
qwen3_vl_8b,REAL,36,12280,0.13052694499492645,0.10207876563072205,0.12767556309700012,0.1559884250164032,0.47749883487364503
