feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
B,top32,44,train_f1,0.518031120300293,0.8516944050827521,0.9639876735930172,0.8898176291793313,0.9326961369972122,0.9107524790978029,0.5572258504745174,0.5721518987341773,0.437984496124031,0.4961580680570801
B,top32,45,fixed_0.5,0.5,0.8521567120175106,0.9643705400630334,0.8698309960445882,0.9633612106730386,0.9142101284958428,0.5505163950861773,0.6260162601626016,0.29844961240310075,0.4041994750656168
B,top32,45,train_f1,0.5385486483573914,0.8521567120175106,0.9643705400630334,0.8766519823788547,0.951015531660693,0.9123209169054441,0.5505163950861773,0.594059405940594,0.3488372093023256,0.43956043956043955
B,full,43,fixed_0.5,0.5,0.8386170616728256,0.9592237983798907,0.8922018348623854,0.929510155316607,0.9104739613809245,0.5465253996378413,0.5693430656934306,0.45348837209302323,0.5048543689320388
B,full,43,train_f1,0.4232651889324188,0.8386170616728256,0.9592237983798907,0.8723327305605787,0.9605734767025089,0.9143290371493555,0.5465253996378413,0.6221374045801527,0.31589147286821706,0.4190231362467866
B,full,44,fixed_0.5,0.5,0.8420353545176418,0.9610291149497465,0.8779860345461228,0.9514137793707687,0.9132262996941896,0.5527072986514607,0.6013071895424836,0.35658914728682173,0.44768856447688565
B,full,44,train_f1,0.5005006790161133,0.8420353545176418,0.9610291149497465,0.8779411764705882,0.951015531660693,0.9130185432995603,0.5527072986514607,0.5993485342019544,0.35658914728682173,0.4471445929526124
B,full,45,fixed_0.5,0.5,0.840186898576496,0.9609526254793647,0.8633017875920084,0.980884109916368,0.9183445190156599,0.5551046624611116,0.7241379310344828,0.2441860465116279,0.3652173913043478
B,full,45,train_f1,0.6294962167739868,0.840186898576496,0.9609526254793647,0.8831845238095238,0.9454400637196336,0.9132525485670321,0.5551046624611116,0.5958702064896755,0.39147286821705424,0.47251461988304094
F,top32,43,fixed_0.5,0.5,0.8797357518391944,0.9717412942529262,0.9003787878787879,0.9466348068498606,0.9229275868763347,0.6040705961442275,0.6537467700258398,0.4903100775193798,0.5603543743078627
F,top32,43,train_f1,0.5166695713996887,0.8797357518391944,0.9717412942529262,0.9017517136329017,0.9430505774591796,0.9219388748296671,0.6040705961442275,0.6433915211970075,0.5,0.5627044711014176
F,top32,44,fixed_0.5,0.5,0.8783299219866696,0.9714127477005556,0.8997341435624763,0.9434488251692553,0.9210730948678072,0.6067362457771236,0.6395939086294417,0.4883720930232558,0.5538461538461539
F,top32,44,train_f1,0.47856101393699646,0.8783299219866696,0.9714127477005556,0.8935133108361455,0.9490242931103147,0.9204325994592507,0.6067362457771236,0.6444444444444445,0.4496124031007752,0.5296803652968036
F,top32,45,fixed_0.5,0.5,0.8798202637079025,0.9715687565348944,0.9063714063714063,0.9291119076065313,0.9176007866273354,0.6103416300201571,0.6070640176600441,0.5329457364341085,0.5675954592363261
F,top32,45,train_f1,0.4502066671848297,0.8798202637079025,0.9715687565348944,0.8986767485822307,0.9466348068498606,0.9220325833979829,0.6103416300201571,0.6492146596858639,0.4806201550387597,0.5523385300668151
F,full,43,fixed_0.5,0.5,0.8833466082570025,0.9726566625575632,0.9103260869565217,0.9338908801274393,0.9219579319834873,0.6101024074918202,0.6319290465631929,0.5523255813953488,0.5894519131334023
F,full,43,train_f1,0.4690825045108795,0.8833466082570025,0.9726566625575632,0.9037800687285223,0.942652329749104,0.9228070175438596,0.6101024074918202,0.6470588235294118,0.5116279069767442,0.5714285714285714
F,full,44,fixed_0.5,0.5,0.8797612211694901,0.9714606381290855,0.9095847885137757,0.9334926324173636,0.9213836477987422,0.6104272631312878,0.6288888888888889,0.5484496124031008,0.5859213250517599
F,full,44,train_f1,0.49907445907592773,0.8797612211694901,0.9714606381290855,0.9095847885137757,0.9334926324173636,0.9213836477987422,0.6104272631312878,0.6288888888888889,0.5484496124031008,0.5859213250517599
F,full,45,fixed_0.5,0.5,0.8806105847449517,0.9716708366886762,0.9029423003439052,0.9410593389088012,0.921606864274571,0.6100097216518179,0.6390243902439025,0.5077519379844961,0.5658747300215983
F,full,45,train_f1,0.5478968620300293,0.8806105847449517,0.9716708366886762,0.9106583072100314,0.9255276782158502,0.9180327868852459,0.6100097216518179,0.6063157894736843,0.5581395348837209,0.5812310797174571
C_JS,top32,43,fixed_0.5,0.5,0.8543416718377126,0.9633773992421107,0.8676366217175302,0.973715651135006,0.9176205667104522,0.576107530048764,0.6842105263157895,0.2771317829457364,0.39448275862068966
C_JS,top32,43,train_f1,0.657527506351471,0.8543416718377126,0.9633773992421107,0.8932776300797569,0.9366786140979689,0.9144634525660964,0.576107530048764,0.5964467005076142,0.45542635658914726,0.5164835164835165
C_JS,top32,44,fixed_0.5,0.5,0.8678685875172496,0.9680694995007193,0.9004261913986826,0.9255276782158502,0.9128043990573449,0.5866324749017623,0.5807174887892377,0.501937984496124,0.5384615384615384
C_JS,top32,44,train_f1,0.48707282543182373,0.8678685875172496,0.9680694995007193,0.8979198767334361,0.9283154121863799,0.9128646955159585,0.5866324749017623,0.5823665893271461,0.48643410852713176,0.5300950369588173
C_JS,top32,45,fixed_0.5,0.5,0.8593433080492346,0.9645444025936218,0.8887644643523703,0.9482277976901633,0.9175337186897881,0.5870835352228311,0.6264367816091954,0.42248062015503873,0.5046296296296297
C_JS,top32,45,train_f1,0.5441665649414062,0.8593433080492346,0.9645444025936218,0.8966172557962752,0.9394663480684986,0.9175418125243096,0.5870835352228311,0.6161616161616161,0.4728682170542636,0.5350877192982456
C_JS,full,43,fixed_0.5,0.5,0.8559423806568927,0.9632546938013871,0.9064719810576164,0.9147749900438072,0.9106045589692765,0.5887521136816877,0.565922920892495,0.5406976744186046,0.5530227948463825
C_JS,full,43,train_f1,0.49141284823417664,0.8559423806568927,0.9632546938013871,0.9042010208087946,0.9171644763042612,0.9106366152629498,0.5887521136816877,0.5666666666666667,0.5271317829457365,0.5461847389558233
C_JS,full,44,fixed_0.5,0.5,0.8483239637069762,0.9611780685467094,0.8982059282371295,0.9171644763042612,0.9075862068965517,0.5750050961129479,0.550755939524838,0.4941860465116279,0.5209397344228804
C_JS,full,44,train_f1,0.44887295365333557,0.8483239637069762,0.9611780685467094,0.8907020872865276,0.9346873755475906,0.912164788184998,0.5750050961129479,0.5816326530612245,0.4418604651162791,0.5022026431718062
C_JS,full,45,fixed_0.5,0.5,0.8494160577181333,0.9628158294779701,0.8649029982363315,0.9765033851055357,0.9173213617658063,0.5726219301612296,0.6927083333333334,0.25775193798449614,0.3757062146892655
C_JS,full,45,train_f1,0.7037493586540222,0.8494160577181333,0.9628158294779701,0.8919324577861163,0.9466348068498606,0.9184698608964451,0.5726219301612296,0.6298342541436464,0.4418604651162791,0.5193621867881549
D_JS,top32,43,fixed_0.5,0.5,0.8667776512029242,0.9667510000196287,0.8850148367952523,0.9502190362405416,0.9164586134050317,0.5906614441327903,0.622356495468278,0.3992248062015504,0.48642266824085006
D_JS,top32,43,train_f1,0.5525928735733032,0.8667776512029242,0.9667510000196287,0.8959847036328872,0.9330943847072879,0.9141630901287554,0.5906614441327903,0.5922330097087378,0.4728682170542636,0.5258620689655172
D_JS,top32,44,fixed_0.5,0.5,0.8514821606636227,0.9631977389711579,0.88119911176906,0.9482277976901633,0.9134855169767888,0.5509799436238374,0.6,0.37790697674418605,0.4637336504161712
D_JS,top32,44,train_f1,0.5782130360603333,0.8514821606636227,0.9631977389711579,0.8991074893286768,0.9227399442453206,0.9107704402515723,0.5509799436238374,0.5688888888888889,0.49612403100775193,0.5300207039337475
D_JS,top32,45,fixed_0.5,0.5,0.8456465968343938,0.9617374691211823,0.8837209302325582,0.9382716049382716,0.9101796407185628,0.5504527932401986,0.5706371191135734,0.3992248062015504,0.4697833523375142
D_JS,top32,45,train_f1,0.4837246537208557,0.8456465968343938,0.9617374691211823,0.88268156424581,0.9438470728793309,0.9122401847575058,0.5504527932401986,0.5877192982456141,0.38953488372093026,0.46853146853146854
D_JS,full,43,fixed_0.5,0.5,0.8447806396043456,0.960342185251035,0.9078470824949698,0.8984468339307049,0.9031224979983987,0.5568871935993759,0.5295202952029521,0.5562015503875969,0.5425330812854442
D_JS,full,43,train_f1,0.3894510865211487,0.8447806396043456,0.960342185251035,0.8853974121996303,0.9538032656312226,0.9183282208588958,0.5568871935993759,0.639751552795031,0.3992248062015504,0.4916467780429594
D_JS,full,44,fixed_0.5,0.5,0.8324843556568154,0.9575479896054852,0.8938807126258714,0.9191557148546395,0.9063420380914982,0.5405122285666144,0.5438202247191011,0.4689922480620155,0.5036420395421436
D_JS,full,44,train_f1,0.4331583082675934,0.8324843556568154,0.9575479896054852,0.8748175182481752,0.954599761051374,0.9129689582936583,0.5405122285666144,0.6027874564459931,0.33527131782945735,0.43088418430884184
D_JS,full,45,fixed_0.5,0.5,0.8329026701119725,0.9577151763848668,0.9089770354906054,0.8669852648347272,0.8874847125968203,0.5371442453181591,0.47151898734177217,0.5775193798449613,0.519163763066202
D_JS,full,45,train_f1,0.38514354825019836,0.8329026701119725,0.9577151763848668,0.8792396571002609,0.9394663480684986,0.9083557951482479,0.5371442453181591,0.5581395348837209,0.37209302325581395,0.44651162790697674
