model,label,layer,n,mean,median,q25,q75
qwen3_vl_8b,HALL,24,2593,0.3449714183807373,0.34974533319473267,0.26609110832214355,0.4231207072734833
qwen3_vl_8b,HALL,25,2593,0.38339683413505554,0.3881555199623108,0.3122306764125824,0.4611254334449768
qwen3_vl_8b,HALL,26,2593,0.30309152603149414,0.297720730304718,0.23982679843902588,0.3550260663032532
qwen3_vl_8b,HALL,27,2593,0.3767567276954651,0.3848508596420288,0.298086017370224,0.4558603763580322
qwen3_vl_8b,HALL,28,2593,0.3275887370109558,0.31819742918014526,0.2410331815481186,0.40965867042541504
qwen3_vl_8b,HALL,29,2593,0.31774112582206726,0.3133540153503418,0.24370847642421722,0.38866883516311646
qwen3_vl_8b,HALL,30,2593,0.4053170680999756,0.4154946506023407,0.3182719945907593,0.5031790733337402
qwen3_vl_8b,HALL,31,2593,0.33206236362457275,0.3164428174495697,0.24627715349197388,0.4095151126384735
qwen3_vl_8b,HALL,32,2593,0.3419213593006134,0.3384759724140167,0.2645912766456604,0.41545209288597107
qwen3_vl_8b,HALL,33,2593,0.34143710136413574,0.3393975496292114,0.27065059542655945,0.41685864329338074
qwen3_vl_8b,HALL,34,2593,0.3736281394958496,0.37988483905792236,0.29674214124679565,0.4551815986633301
qwen3_vl_8b,HALL,35,2593,0.38305389881134033,0.39238378405570984,0.3064875602722168,0.46329256892204285
qwen3_vl_8b,HALL,36,2593,0.6283612251281738,0.6368597745895386,0.6139979958534241,0.657819390296936
qwen3_vl_8b,REAL,1,12280,0.13079173862934113,0.1275242269039154,0.10402920842170715,0.15418113768100739
qwen3_vl_8b,REAL,2,12280,0.1854916512966156,0.18210646510124207,0.14943832159042358,0.2172965705394745
qwen3_vl_8b,REAL,3,12280,0.13339246809482574,0.1275390088558197,0.10722967982292175,0.15345065295696259
qwen3_vl_8b,REAL,4,12280,0.17295779287815094,0.16129182279109955,0.13538819551467896,0.19472894072532654
qwen3_vl_8b,REAL,5,12280,0.1798260658979416,0.17527982592582703,0.14781486988067627,0.20855632424354553
qwen3_vl_8b,REAL,6,12280,0.18123778700828552,0.17485478520393372,0.14494267106056213,0.21168649196624756
qwen3_vl_8b,REAL,7,12280,0.20390267670154572,0.2009163200855255,0.16615605354309082,0.24040675163269043
qwen3_vl_8b,REAL,8,12280,0.1948489099740982,0.1926015317440033,0.16383403539657593,0.22266025841236115
qwen3_vl_8b,REAL,9,12280,0.197723850607872,0.18293428421020508,0.15205144882202148,0.2178606241941452
qwen3_vl_8b,REAL,10,12280,0.25013431906700134,0.20051516592502594,0.15509828925132751,0.3047890067100525
qwen3_vl_8b,REAL,11,12280,0.17901940643787384,0.16481950879096985,0.13784947991371155,0.19662588834762573
qwen3_vl_8b,REAL,12,12280,0.2034502774477005,0.18325480818748474,0.15275591611862183,0.22442626953125
qwen3_vl_8b,REAL,13,12280,0.17882008850574493,0.17560520768165588,0.1495555192232132,0.202911376953125
qwen3_vl_8b,REAL,14,12280,0.26140034198760986,0.22339975833892822,0.17376571893692017,0.3475080132484436
qwen3_vl_8b,REAL,15,12280,0.2328469306230545,0.21378618478775024,0.17714037001132965,0.26734623312950134
qwen3_vl_8b,REAL,16,12280,0.2627018094062805,0.23090939223766327,0.1816156804561615,0.33775755763053894
qwen3_vl_8b,REAL,17,12280,0.21727418899536133,0.2038479745388031,0.17252865433692932,0.24241235852241516
qwen3_vl_8b,REAL,18,12280,0.297890841960907,0.2836187183856964,0.2153654396533966,0.3723283112049103
qwen3_vl_8b,REAL,19,12280,0.31459134817123413,0.3143894076347351,0.19404079020023346,0.42318928241729736
qwen3_vl_8b,REAL,20,12280,0.2990635633468628,0.2724377512931824,0.21505124866962433,0.36549654603004456
qwen3_vl_8b,REAL,21,12280,0.3651655912399292,0.3717411756515503,0.27905941009521484,0.44883984327316284
qwen3_vl_8b,REAL,22,12280,0.3415225148200989,0.34443509578704834,0.2610437870025635,0.4159885048866272
qwen3_vl_8b,REAL,23,12280,0.26945802569389343,0.2597973942756653,0.22065946459770203,0.3047083914279938
qwen3_vl_8b,REAL,24,12280,0.39821523427963257,0.4105294346809387,0.3344056308269501,0.47169941663742065
qwen3_vl_8b,REAL,25,12280,0.42752888798713684,0.4405481219291687,0.37031060457229614,0.4979666471481323
qwen3_vl_8b,REAL,26,12280,0.335177481174469,0.3269557058811188,0.2556285858154297,0.41072890162467957
qwen3_vl_8b,REAL,27,12280,0.40913888812065125,0.4260125160217285,0.34611383080482483,0.4883142113685608
qwen3_vl_8b,REAL,28,12280,0.38792410492897034,0.40334442257881165,0.2991405427455902,0.4787134826183319
qwen3_vl_8b,REAL,29,12280,0.38053494691848755,0.3912643790245056,0.3103112280368805,0.45689964294433594
qwen3_vl_8b,REAL,30,12280,0.45103123784065247,0.47068172693252563,0.38808366656303406,0.5329791903495789
qwen3_vl_8b,REAL,31,12280,0.37565115094184875,0.3776557743549347,0.26788443326950073,0.4794718623161316
qwen3_vl_8b,REAL,32,12280,0.4079873263835907,0.4229355454444885,0.34465527534484863,0.4823887348175049
qwen3_vl_8b,REAL,33,12280,0.40030789375305176,0.41071707010269165,0.32274869084358215,0.4821009635925293
qwen3_vl_8b,REAL,34,12280,0.4313061833381653,0.4488747715950012,0.36680108308792114,0.5092238187789917
qwen3_vl_8b,REAL,35,12280,0.432950884103775,0.4494985342025757,0.37504565715789795,0.5072368383407593
qwen3_vl_8b,REAL,36,12280,0.6331406235694885,0.643600583076477,0.6191802024841309,0.6624131798744202
