model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
qwen3_vl_8b,HALL,24,2593,20.83831214904785,16.026290893554688,20.977012634277344,25.60663604736328,0.6480683869500824
qwen3_vl_8b,HALL,25,2593,25.505229949951172,20.320209503173828,25.18659210205078,30.573440551757812,0.6564290164826122
qwen3_vl_8b,HALL,26,2593,10.439390182495117,6.973219871520996,10.11931324005127,13.38522720336914,0.6461358160469619
qwen3_vl_8b,HALL,27,2593,22.88956069946289,16.494138717651367,22.7996768951416,28.82831573486328,0.5925432541382398
qwen3_vl_8b,HALL,28,2593,15.916325569152832,10.677291870117188,15.05980110168457,20.174346923828125,0.689187234863093
qwen3_vl_8b,HALL,29,2593,17.66521453857422,10.289831161499023,16.081768035888672,23.73586654663086,0.6822340214383249
qwen3_vl_8b,HALL,30,2593,32.21630859375,21.65224838256836,30.5541934967041,40.411155700683594,0.5912005323779507
qwen3_vl_8b,HALL,31,2593,16.404165267944336,9.937322616577148,15.329792022705078,21.789043426513672,0.5970562658673879
qwen3_vl_8b,HALL,32,2593,22.905458450317383,13.739869117736816,21.648651123046875,30.370464324951172,0.6482779683713732
qwen3_vl_8b,HALL,33,2593,25.670711517333984,13.513872146606445,22.870967864990234,36.264923095703125,0.5581012711497129
qwen3_vl_8b,HALL,34,2593,37.470088958740234,22.22953224182129,35.1518669128418,49.975345611572266,0.5587640427560546
qwen3_vl_8b,HALL,35,2593,36.05980682373047,21.793109893798828,32.495277404785156,47.55657958984375,0.5745410626957317
qwen3_vl_8b,HALL,36,2593,26.378337860107422,19.823312759399414,24.827117919921875,31.512115478515625,0.6369101037496341
qwen3_vl_8b,REAL,1,12280,0.7319056987762451,0.37257078289985657,0.6285209059715271,0.9906727075576782,0.6751767788747203
qwen3_vl_8b,REAL,2,12280,0.14853407442569733,0.05180736631155014,0.09973163902759552,0.18191862106323242,0.6679324408863252
qwen3_vl_8b,REAL,3,12280,0.6668148040771484,0.27723413705825806,0.4384886920452118,0.7823007106781006,0.6712036351942274
qwen3_vl_8b,REAL,4,12280,0.43771085143089294,0.15108054876327515,0.29599690437316895,0.5705167651176453,0.6220256616724305
qwen3_vl_8b,REAL,5,12280,0.6338086128234863,0.2097211480140686,0.4431186020374298,0.7827514410018921,0.6698093306835868
qwen3_vl_8b,REAL,6,12280,1.2382832765579224,0.5701766610145569,0.9811505079269409,1.6035585403442383,0.7178309084468206
qwen3_vl_8b,REAL,7,12280,1.7194749116897583,0.5529803037643433,1.313402533531189,2.678642511367798,0.6924620093436225
qwen3_vl_8b,REAL,8,12280,1.1159172058105469,0.5785098075866699,0.9553127288818359,1.5352429151535034,0.6971319990804609
qwen3_vl_8b,REAL,9,12280,6.190394878387451,3.871316432952881,5.693521499633789,8.296735763549805,0.6540279454457064
qwen3_vl_8b,REAL,10,12280,9.425342559814453,5.485919952392578,9.359182357788086,12.4970703125,0.6427599644997619
qwen3_vl_8b,REAL,11,12280,7.130162715911865,4.964454650878906,6.859610557556152,9.019213676452637,0.6677347619687684
qwen3_vl_8b,REAL,12,12280,7.224152565002441,4.969123840332031,6.946412563323975,9.267982482910156,0.6493593061248588
qwen3_vl_8b,REAL,13,12280,6.4670257568359375,4.429729461669922,5.929293155670166,8.172426223754883,0.7354214742522778
qwen3_vl_8b,REAL,14,12280,11.276152610778809,8.434734344482422,10.768192291259766,14.144285202026367,0.6032508909605038
