model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
qwen3_vl_8b,HALL,33,2593,0.7167041897773743,0.6389269828796387,0.7415493130683899,0.823613703250885,0.48445120036279077
qwen3_vl_8b,HALL,34,2593,0.6756348609924316,0.5957370400428772,0.6952694058418274,0.7744420766830444,0.4836107077310373
qwen3_vl_8b,HALL,35,2593,0.6323903799057007,0.5586867928504944,0.6454904079437256,0.7205767631530762,0.5262779646027704
qwen3_vl_8b,HALL,36,2593,0.35959404706954956,0.29689785838127136,0.3447187840938568,0.4118598699569702,0.6321046484458911
qwen3_vl_8b,REAL,1,12280,0.2552431523799896,0.2137560099363327,0.2482292801141739,0.28963181376457214,0.5557361274591703
qwen3_vl_8b,REAL,2,12280,0.29513904452323914,0.24333545565605164,0.29001733660697937,0.33932867646217346,0.5964898762767712
qwen3_vl_8b,REAL,3,12280,0.25242722034454346,0.20679616928100586,0.23950691521167755,0.2847449779510498,0.5887899456190621
qwen3_vl_8b,REAL,4,12280,0.29845699667930603,0.23796188831329346,0.2800048887729645,0.3330545127391815,0.6045881325442717
qwen3_vl_8b,REAL,5,12280,0.3054908514022827,0.2529565095901489,0.2955552339553833,0.34933432936668396,0.6378798594562408
qwen3_vl_8b,REAL,6,12280,0.313190758228302,0.25069183111190796,0.29751646518707275,0.35853636264801025,0.6500424752936684
qwen3_vl_8b,REAL,7,12280,0.34744563698768616,0.2721024751663208,0.3318442106246948,0.4104972183704376,0.6677186197869233
qwen3_vl_8b,REAL,8,12280,0.32880961894989014,0.27092137932777405,0.320592999458313,0.37804508209228516,0.632936080728496
qwen3_vl_8b,REAL,9,12280,0.3890751302242279,0.31622254848480225,0.38244619965553284,0.45578861236572266,0.5376982913155062
qwen3_vl_8b,REAL,10,12280,0.4066954255104065,0.3144516944885254,0.39065027236938477,0.4891679584980011,0.5045382770701876
qwen3_vl_8b,REAL,11,12280,0.37037795782089233,0.3051740229129791,0.3613070547580719,0.4277932047843933,0.5348869450575402
qwen3_vl_8b,REAL,12,12280,0.40729033946990967,0.3243449926376343,0.39887842535972595,0.4813171625137329,0.5277431502504236
qwen3_vl_8b,REAL,13,12280,0.37663519382476807,0.3124932050704956,0.3741542100906372,0.4376552104949951,0.5871784596715537
qwen3_vl_8b,REAL,14,12280,0.4713650047779083,0.3862653374671936,0.4723634123802185,0.5545907020568848,0.4951820926046196
qwen3_vl_8b,REAL,15,12280,0.49656182527542114,0.4103224575519562,0.5017291307449341,0.583466649055481,0.5462133079413254
qwen3_vl_8b,REAL,16,12280,0.49065515398979187,0.3993503153324127,0.48969024419784546,0.5808520913124084,0.4979350412222332
qwen3_vl_8b,REAL,17,12280,0.42915910482406616,0.3524513840675354,0.4256144165992737,0.5010860562324524,0.5167955319445614
qwen3_vl_8b,REAL,18,12280,0.54636549949646,0.4585547149181366,0.5520041584968567,0.6418384909629822,0.5015575478204286
qwen3_vl_8b,REAL,19,12280,0.48885995149612427,0.39976799488067627,0.48752185702323914,0.5746979713439941,0.44493353754972986
qwen3_vl_8b,REAL,20,12280,0.5246453881263733,0.42820674180984497,0.5261878967285156,0.6220347881317139,0.4698648547643305
qwen3_vl_8b,REAL,21,12280,0.563474714756012,0.4720977544784546,0.5710790157318115,0.6614683866500854,0.4693888174250142
qwen3_vl_8b,REAL,22,12280,0.6088190674781799,0.5175656676292419,0.6240720152854919,0.7168938517570496,0.4861335517448003
qwen3_vl_8b,REAL,23,12280,0.5160412192344666,0.43479377031326294,0.5224254131317139,0.6028275489807129,0.48681532339008426
qwen3_vl_8b,REAL,24,12280,0.6016351580619812,0.5127078294754028,0.6235401630401611,0.7094555497169495,0.46081011141245976
qwen3_vl_8b,REAL,25,12280,0.5817986130714417,0.5039736032485962,0.5972499847412109,0.6750460863113403,0.46039587915849617
qwen3_vl_8b,REAL,26,12280,0.6209992170333862,0.5396021604537964,0.6395578384399414,0.7162288427352905,0.558529557151489
qwen3_vl_8b,REAL,27,12280,0.6095101237297058,0.5325755476951599,0.6212528944015503,0.6971226334571838,0.4998557724316658
qwen3_vl_8b,REAL,28,12280,0.6333648562431335,0.5638810396194458,0.6484161615371704,0.7174562811851501,0.5680629287570771
qwen3_vl_8b,REAL,29,12280,0.7070143222808838,0.6365513801574707,0.7277752757072449,0.7971664667129517,0.5661627835402506
qwen3_vl_8b,REAL,30,12280,0.6487225890159607,0.577573299407959,0.6583039164543152,0.7311838269233704,0.4971384371101852
qwen3_vl_8b,REAL,31,12280,0.6390987634658813,0.5755832195281982,0.6494514346122742,0.7139081954956055,0.5386480420224332
qwen3_vl_8b,REAL,32,12280,0.7141989469528198,0.6522035598754883,0.734177827835083,0.7930910587310791,0.5463701917339467
qwen3_vl_8b,REAL,33,12280,0.7163231372833252,0.6508022546768188,0.7384878396987915,0.8028318285942078,0.48445120036279077
qwen3_vl_8b,REAL,34,12280,0.6725348830223083,0.6056909561157227,0.6864153146743774,0.7549949884414673,0.4836107077310373
qwen3_vl_8b,REAL,35,12280,0.6434042453765869,0.5774682760238647,0.6585651636123657,0.7243448495864868,0.5262779646027704
qwen3_vl_8b,REAL,36,12280,0.3994698226451874,0.3335660696029663,0.3902890682220459,0.4567590653896332,0.6321046484458911
