model,source_mode,label,layer,n_samples,n_tokens,n_visual_mean,n_visual_min,n_visual_max,token_mean,token_std,max_row_sum_error,p50_mean,p50_std,p50_sem,p90_mean,p90_std,p90_sem,p99_mean,p99_std,p99_sem,pmax_mean,pmax_std,pmax_sem,relative_p50_mean,relative_p50_std,relative_p50_sem,relative_p90_mean,relative_p90_std,relative_p90_sem,relative_p99_mean,relative_p99_std,relative_p99_sem,relative_pmax_mean,relative_pmax_std,relative_pmax_sem,top1_mass_mean,top1_mass_std,top1_mass_sem,top5_mass_mean,top5_mass_std,top5_mass_sem,top10_mass_mean,top10_mass_std,top10_mass_sem,top32_mass_mean,top32_mass_std,top32_mass_sem,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_sem,effective_token_fraction_mean,effective_token_fraction_std,effective_token_fraction_sem,mass_above_uniform_mean,mass_above_uniform_std,mass_above_uniform_sem,fraction_above_uniform_mean,fraction_above_uniform_std,fraction_above_uniform_sem
qwen3_vl_8b,hmid_cos,hall,34,2593,700851,270.2857694,70,400,0.003699787829,0.003208253185,1.403532224e-07,0.003223124715,0.0008135915329,1.597736519e-05,0.00794156124,0.002432501923,4.776963621e-05,0.01373093832,0.00525562671,0.0001032103505,0.01704189788,0.006692515501,0.0001314280691,0.8372225385,0.08947104813,0.001757038455,2.039795296,0.2014488923,0.003956066883,3.514846393,0.8041561467,0.01579207244,4.378177914,1.180309938,0.02317900587,0.01704189788,0.006692515501,0.0001314280691,0.0722775822,0.02499935037,0.0004909389224,0.129178143,0.0407405668,0.0008000659881,0.3181392802,0.07817312095,0.001535169002,0.9443656761,0.01572344192,0.000308778009,0.7365215294,0.06066231425,0.001191290603,0.7266930519,0.03270472526,0.0006422575921,0.4189257719,0.04147122789,0.0008144147599
qwen3_vl_8b,hmid_cos,hall,35,2593,700851,270.2857694,70,400,0.003699787829,0.004708268224,1.410016921e-07,0.002380381066,0.0006468294235,1.270247968e-05,0.009384930913,0.002797222575,5.493204487e-05,0.02120139939,0.007757549293,0.0001523432742,0.03051023454,0.01245681217,0.0002446277144,0.6200404598,0.1004085381,0.001971829618,2.413702,0.2286834962,0.004490901863,5.445540118,1.229098208,0.0241371132,7.935712149,2.820403843,0.05538728018,0.03051023454,0.01245681217,0.0002446277144,0.1166493119,0.03636824482,0.0007142020354,0.1974971699,0.05400115763,0.001060478362,0.4326024571,0.08552623706,0.00167956999,0.8973698791,0.02034676843,0.0003995712056,0.568155461,0.05926227437,0.001163796526,0.7701417934,0.02648653744,0.000520144402,0.3507005621,0.0383472916,0.000753066689
qwen3_vl_8b,hmid_cos,hall,36,2593,700851,270.2857694,70,400,0.003699787829,0.02299079761,2.685310392e-07,0.0002920977204,0.0002835408317,5.568193904e-06,0.004648400055,0.002931585079,5.757066476e-05,0.06574648357,0.03116032734,0.000611928602,0.2809214731,0.1689523391,0.003317897386,0.07548786461,0.06484393568,0.001273409566,1.196149603,0.6280954165,0.01233457999,16.88129356,6.238914935,0.1225202307,75.00219674,47.09125905,0.9247813094,0.2809214731,0.1689523391,0.003317897386,0.5863928629,0.1731119109,0.003399583337,0.715189489,0.1428343089,0.002804989755,0.8852212395,0.07787927893,0.001529398513,0.5505807706,0.1376682131,0.002703537618,0.1047685202,0.07120161472,0.001398262094,0.8870594378,0.04944379231,0.0009709805155,0.1098568301,0.03896116694,0.0007651220141
qwen3_vl_8b,hmid_cos,real,1,12280,3311637,269.6772801,70,400,0.003708135886,0.008238125832,1.620865078e-07,0.001074186064,0.0009115833885,8.226161266e-06,0.01029468542,0.003512579686,3.169764535e-05,0.03805414893,0.02053139787,0.0001852760724,0.04698268205,0.03216925075,0.0002902964752,0.2713918628,0.1977897147,0.001784861495,2.681788431,0.7556432292,0.006818951663,9.813347403,4.50311522,0.04063627362,12.02730198,6.821788207,0.061560062,0.04698268205,0.03216925075,0.0002902964752,0.1983796261,0.104615578,0.0009440547367,0.3416659786,0.1497000025,0.001350898203,0.6641295615,0.1748093195,0.001577485583,0.8012687931,0.09964549771,0.0008992045532,0.3811286903,0.1953668232,0.001762997236,0.7761720581,0.1151223939,0.001038868621,0.1923299885,0.04865233177,0.0004390403908
qwen3_vl_8b,hmid_cos,real,2,12280,3311637,269.6772801,70,400,0.003708135886,0.003080173969,1.592561603e-07,0.002996979736,0.000943765077,8.516569979e-06,0.007477400071,0.002105194575,1.899735152e-05,0.01431525542,0.005129978444,4.629310989e-05,0.01965456071,0.00835225844,7.537108039e-05,0.7697294927,0.1008823198,0.0009103656802,1.931780037,0.2701164181,0.002437540266,3.713993735,1.05756786,0.009543530387,5.125711537,1.962780476,0.01771220157,0.01965456071,0.00835225844,7.537108039e-05,0.07788279655,0.02661595465,0.0002401833315,0.1350793214,0.04149558844,0.0003744576817,0.3171574058,0.07700743812,0.0006949178897,0.956678898,0.02062339097,0.0001861062215,0.7905529578,0.08918372247,0.0008047971174,0.6303351345,0.04979477722,0.0004493498596,0.3616407696,0.0403854447,0.0003644397046
qwen3_vl_8b,hmid_cos,real,3,12280,3311637,269.6772801,70,400,0.003708135886,0.00420847165,1.621665433e-07,0.002718377767,0.001006293768,9.080831131e-06,0.007370863848,0.002118754359,1.911971549e-05,0.01995866569,0.01058990599,9.556369229e-05,0.02838225061,0.01938725658,0.0001749513002,0.6978404858,0.1561167153,0.00140880285,1.905545146,0.2939367852,0.002652496116,5.176589571,2.436092731,0.02198338838,7.345343735,4.541031737,0.04097843363,0.02838225061,0.01938725658,0.0001749513002,0.1093322754,0.05794399611,0.0005228887037,0.1810261177,0.08191607064,0.0007392135661,0.3731405506,0.1166856014,0.001052975062,0.9372351112,0.04498721344,0.0004059662312,0.7239970454,0.1495794788,0.001349810594,0.6187904308,0.05977575987,0.0005394186057,0.3157674597,0.05869268483,0.0005296448976
qwen3_vl_8b,hmid_cos,real,4,12280,3311637,269.6772801,70,400,0.003708135886,0.003434116666,1.484149834e-07,0.003057301757,0.0009987435905,9.012698062e-06,0.007117406371,0.00217685973,1.964406045e-05,0.0159740627,0.008188130661,7.388998541e-05,0.02246330528,0.0141264618,0.0001274776991,0.7867996466,0.138044641,0.001245719803,1.836509999,0.3030948365,0.0027351387,4.129494199,1.823757886,0.01645765672,5.804960304,3.230797264,0.02915483065,0.02246330528,0.0141264618,0.0001274776991,0.08732314314,0.04393730283,0.0003964918001,0.1471590984,0.06501026064,0.0005866549289,0.3241785336,0.1046499614,0.0009443650134,0.9514344678,0.03311585766,0.0002988386899,0.7753264334,0.1326416637,0.001196963141,0.63137632,0.05957603563,0.000537616287,0.366130986,0.06025512365,0.0005437444017
qwen3_vl_8b,hmid_cos,real,5,12280,3311637,269.6772801,70,400,0.003708135886,0.00400037788,1.449352567e-07,0.00275170591,0.0009314845945,8.405750464e-06,0.008171453553,0.002385006724,2.15223864e-05,0.01847955703,0.008029048468,7.245442199e-05,0.02519665658,0.0130003889,0.0001173159768,0.7086100479,0.141566016,0.001277496817,2.109569974,0.3148851746,0.002841535134,4.763817466,1.627314039,0.01468494038,6.490179114,2.757050657,0.02487972423,0.02519665658,0.0130003889,0.0001173159768,0.09995447289,0.04126694685,0.0003723944118,0.1705710082,0.06225909393,0.0005618283016,0.3762767396,0.1021979123,0.0009222376339,0.930138656,0.03311656384,0.0002988450625,0.6891557718,0.1253356378,0.0011310333,0.6845645941,0.05104369902,0.0004606201748,0.351172717,0.05393587063,0.0004867192354
qwen3_vl_8b,hmid_cos,real,6,12280,3311637,269.6772801,70,400,0.003708135886,0.002794912516,1.48662366e-07,0.003366233938,0.0009732279697,8.782444182e-06,0.007285362913,0.002099206422,1.894331421e-05,0.01164326101,0.004717941777,4.257487618e-05,0.01407946004,0.01114693381,0.0001005903314,0.8667512925,0.09159404423,0.0008265479476,1.879027837,0.24994397,0.002255503369,3.001844131,0.9570008715,0.008636010265,3.639695113,2.907278883,0.02623538914,0.01407946004,0.01114693381,0.0001005903314,0.06098585255,0.02899170321,0.0002616221719,0.1110487398,0.04148426022,0.0003743554555,0.2838614339,0.0747556851,0.0006745979895,0.9610556017,0.02335981863,0.000210799843,0.8102658249,0.08067620383,0.0007280249634,0.671098528,0.04455888818,0.0004021010087,0.4195568932,0.04396700383,0.000396759823
qwen3_vl_8b,hmid_cos,real,7,12280,3311637,269.6772801,70,400,0.003708135886,0.001482213116,1.705484465e-07,0.003893951593,0.001044201092,9.422908186e-06,0.005396628876,0.001460811099,1.318241187e-05,0.006556089643,0.0021935052,1.979426977e-05,0.007135474176,0.003563703542,3.215898886e-05,1.002745478,0.03518654499,0.0003175246468,1.391501936,0.1134480501,0.001023759282,1.692572589,0.4055781634,0.003659951926,1.846113414,0.8899918621,0.008031318556,0.007135474176,0.003563703542,3.215898886e-05,0.03345454484,0.01237521339,0.0001116743704,0.06416312745,0.01989796179,0.0001795599225,0.1863202172,0.0467312403,0.0004217043923,0.9897669935,0.008029869799,7.24618337e-05,0.9454000503,0.03535237421,0.0003190210957,0.6270455834,0.05188190686,0.0004681841925,0.5044515402,0.04012198215,0.0003620622092
