model,source_mode,category,layer,n_pairs,n_images,pair_raw_cosine_mean,pair_raw_cosine_std,pair_raw_cosine_sem,pair_centered_cosine_mean,pair_centered_cosine_std,pair_centered_cosine_sem,pair_js_normalized_mean,pair_js_normalized_std,pair_js_normalized_sem,pair_total_variation_mean,pair_total_variation_std,pair_total_variation_sem,pair_topk_overlap_fraction_mean,pair_topk_overlap_fraction_std,pair_topk_overlap_fraction_sem,image_raw_cosine_mean,image_raw_cosine_std,image_raw_cosine_sem,image_centered_cosine_mean,image_centered_cosine_std,image_centered_cosine_sem,image_js_normalized_mean,image_js_normalized_std,image_js_normalized_sem,image_total_variation_mean,image_total_variation_std,image_total_variation_sem,image_topk_overlap_fraction_mean,image_topk_overlap_fraction_std,image_topk_overlap_fraction_sem,specificity_pair_js_mean,specificity_pair_js_std,specificity_pair_js_sem,specificity_uniform_js_mean,specificity_uniform_js_std,specificity_uniform_js_sem,specificity_ratio_mean,specificity_ratio_std,specificity_ratio_sem,specificity_random_overlap_mean,specificity_random_overlap_std,specificity_random_overlap_sem
qwen3_vl_8b,hmid_cos,all,21,28952,3466,0.9677652427,0.01761554619,0.0001035277626,0.1861875919,0.3197632456,0.001879270335,0.01188408282,0.006515504381,3.829206224e-05,0.09832508989,0.02600785374,0.0001528499247,0.199812405,0.1641160238,0.0009645210298,0.9691344741,0.01095030034,0.0001859994894,0.2354569276,0.2231334503,0.003790097669,0.011445935,0.004035853374,6.85521532e-05,0.09646222995,0.0170958569,0.0002903866153,0.2177031573,0.1241032697,0.002107991933,0.011445935,0.004035853374,6.85521532e-05,0.007839585734,0.002312170877,3.927404627e-05,1.512794837,0.4459205564,0.00757431241,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,22,28952,3466,0.9639765541,0.03060539159,0.0001798699672,0.179000919,0.3722612712,0.002187804801,0.0125466971,0.009603533357,5.644061848e-05,0.09645303699,0.03152222674,0.0001852582697,0.2164822378,0.1811962908,0.001064902921,0.9649768264,0.02036502048,0.0003459159376,0.1997666701,0.2311954719,0.003927037466,0.01230222263,0.006453098177,0.000109610963,0.09562549027,0.0213083272,0.0003619387464,0.2217539475,0.1218478335,0.002069681571,0.01230222263,0.006453098177,0.000109610963,0.007771171094,0.003110959622,5.284210323e-05,1.597312516,0.465794865,0.007911893219,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,23,28952,3466,0.9480830659,0.03466304502,0.0002037170723,0.3399192255,0.3628187152,0.002132310257,0.01804319713,0.01182588065,6.950150462e-05,0.1191517414,0.03881727845,0.0002281317846,0.303419237,0.2035278485,0.001196147003,0.9493458294,0.02498051678,0.0004243137831,0.3624695947,0.2611469149,0.004435786353,0.01758536413,0.008236928682,0.0001399107313,0.1172216192,0.02751444318,0.0004673545219,0.3119155441,0.1493132442,0.002536203237,0.01758536413,0.008236928682,0.0001399107313,0.01517150227,0.006220815836,0.0001056654642,1.249711891,0.5120137857,0.008696958046,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,24,28952,3466,0.9592032972,0.03687817798,0.0002167355593,0.927014146,0.08626017016,0.0005069568848,0.0215044752,0.02263746858,0.000133041942,0.1273506216,0.06140566755,0.0003608852831,0.706831566,0.1351570166,0.000794326976,0.9614930249,0.02342353604,0.000397867237,0.9273841347,0.06193679153,0.001052045262,0.02010026197,0.01356493342,0.0002304110947,0.1227891762,0.03864320824,0.0006563853753,0.6932539307,0.1074391717,0.001824939084,0.02010026197,0.01356493342,0.0002304110947,0.1311741267,0.03288707083,0.0005586128408,0.1675899317,0.1420047212,0.002412062208,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,25,28952,3466,0.9588267796,0.03543052965,0.0002082276317,0.9297190117,0.06592939143,0.000387471516,0.02117254659,0.02232236679,0.0001311900673,0.1259086358,0.06038600855,0.0003548926779,0.7225709796,0.1358443984,0.0007983667654,0.9602783175,0.02449057557,0.0004159917451,0.9282144742,0.05188911995,0.0008813776345,0.02005117685,0.01430661693,0.0002430091742,0.1220463323,0.0399063197,0.0006778403198,0.7004523469,0.1115629994,0.001894985549,0.02005117685,0.01430661693,0.0002430091742,0.1628421526,0.03693376712,0.0006273491694,0.1367687376,0.1244763375,0.002114328784,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,26,28952,3466,0.9671242356,0.02415239114,0.0001419452448,0.9256515035,0.06191512066,0.0003638793737,0.01462363084,0.0129398107,7.604814726e-05,0.1066786325,0.04335198752,0.0002547825782,0.6808402701,0.1414159445,0.0008311111207,0.9679509874,0.0164516593,0.000279444411,0.9254842032,0.04637423552,0.0007877029721,0.01439079905,0.008834476265,0.0001500605483,0.1055371635,0.02975877579,0.0005054762818,0.6640098851,0.1115741211,0.001895174462,0.01439079905,0.008834476265,0.0001500605483,0.1011573165,0.02387381118,0.0004055155156,0.1532710569,0.1164246578,0.001977564653,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,27,28952,3466,0.9729730247,0.01625551594,9.55347724e-05,0.8961653854,0.07142107414,0.0004197465087,0.01060720115,0.00691029264,4.061225968e-05,0.09190601686,0.02890717027,0.0001698894051,0.6566029549,0.1335113722,0.0007846554119,0.9731952892,0.01150755276,0.0001954648613,0.8979371344,0.05656166724,0.0009607445362,0.01061793963,0.004831098818,8.206002439e-05,0.09178539458,0.02003568647,0.0003403219397,0.6505414869,0.1080539367,0.001835381352,0.01061793963,0.004831098818,8.206002439e-05,0.05868711192,0.01539380617,0.0002614759411,0.1957171929,0.1137377184,0.001931924868,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,28,28952,3466,0.9581914211,0.02662580929,0.0001564816915,0.8030643201,0.1275868288,0.0007498364676,0.01467278334,0.009082794821,5.33802027e-05,0.1059212204,0.03223753224,0.0001894621688,0.5171253281,0.1697713597,0.0009977578238,0.9578816649,0.02043404475,0.0003470883693,0.8065198439,0.09748551359,0.001655868349,0.01479875616,0.00686280351,0.0001165701313,0.1063723407,0.02393756596,0.0004065984407,0.5187950922,0.1298286918,0.002205242744,0.01479875616,0.00686280351,0.0001165701313,0.05090686486,0.01266635616,0.000215148051,0.3095847121,0.1656488235,0.002813675937,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,29,28952,3466,0.9510812711,0.03083543386,0.0001812219413,0.8033118651,0.1307539007,0.0007684495645,0.01651582672,0.0101540054,5.967578013e-05,0.11017294,0.03473326964,0.0002041297872,0.5736272537,0.1642649254,0.0009653961349,0.9508582518,0.02312710717,0.0003928321589,0.8032641048,0.09788150888,0.001662594641,0.01670249379,0.007356236248,0.0001249514756,0.1107759977,0.02507957722,0.0004259964029,0.5691094092,0.1265759154,0.002149991771,0.01670249379,0.007356236248,0.0001249514756,0.05794336694,0.01367048521,0.0002322039751,0.3064694334,0.1639524544,0.002784861771,0.1240014494,0.03268687593,0.0005552123724
qwen3_vl_8b,hmid_cos,all,30,28952,3466,0.9394027849,0.04288735198,0.0002520518835,0.7893349713,0.1516304183,0.0008911422777,0.02046075872,0.01382115292,8.122785538e-05,0.1220542767,0.04360159953,0.0002562495649,0.6103172924,0.1750187264,0.001028596954,0.9371340072,0.03413896254,0.0005798772088,0.7844352624,0.1195544306,0.002030726313,0.02135494293,0.0109720452,0.0001863688429,0.1249775962,0.03359827427,0.0005706931922,0.5996867798,0.1447825269,0.002459245429,0.02135494293,0.0109720452,0.0001863688429,0.06635494653,0.01712333028,0.0002908532724,0.3414505201,0.188165529,0.003196139942,0.1240014494,0.03268687593,0.0005552123724
