model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,F_C_Q02,44,fixed_0.5,0.5,0.8591617366395383,0.4582521352758718,0.6595744680851063,0.16939890710382513,0.26956521739130435
qwen2_5_vl_7b,F_C_Q02,44,train_f1,0.7389830946922302,0.8591617366395383,0.4582521352758718,0.5353535353535354,0.2896174863387978,0.375886524822695
qwen2_5_vl_7b,F_C_Q02,45,fixed_0.5,0.5,0.8728070639615899,0.4342089686352412,0.4713375796178344,0.40437158469945356,0.43529411764705883
qwen2_5_vl_7b,F_C_Q02,45,train_f1,0.46926525235176086,0.8728070639615899,0.4342089686352412,0.4928571428571429,0.3770491803278688,0.42724458204334365
llava_1_5_7b,F_E,43,fixed_0.5,0.5,0.8964109957385928,0.6995942975840702,0.6397435897435897,0.7038081805359662,0.6702484889187375
llava_1_5_7b,F_E,43,train_f1,0.5099802017211914,0.8964109957385928,0.6995942975840702,0.630461922596754,0.7122708039492243,0.6688741721854304
llava_1_5_7b,F_E,44,fixed_0.5,0.5,0.901234378553946,0.7140445535468405,0.6746817538896747,0.6727785613540197,0.673728813559322
llava_1_5_7b,F_E,44,train_f1,0.4837189316749573,0.901234378553946,0.7140445535468405,0.6813509544787077,0.6544428772919605,0.6676258992805756
llava_1_5_7b,F_E,45,fixed_0.5,0.5,0.9028091835264171,0.710820944369018,0.6184510250569476,0.765867418899859,0.6843100189035917
llava_1_5_7b,F_E,45,train_f1,0.39934590458869934,0.9028091835264171,0.710820944369018,0.6834319526627219,0.6516220028208745,0.6671480144404333
llava_1_5_7b,F_E_Q02,43,fixed_0.5,0.5,0.9031778534152317,0.7140378387328363,0.6759530791788856,0.6502115655853314,0.6628324946081955
llava_1_5_7b,F_E_Q02,43,train_f1,0.49487918615341187,0.9031778534152317,0.7140378387328363,0.676602086438152,0.6403385049365303,0.6579710144927536
llava_1_5_7b,F_E_Q02,44,fixed_0.5,0.5,0.9032203922485564,0.7126737611215891,0.6988543371522095,0.6022566995768688,0.646969696969697
llava_1_5_7b,F_E_Q02,44,train_f1,0.527041494846344,0.9032203922485564,0.7126737611215891,0.6846153846153846,0.6276445698166432,0.6548933038999264
llava_1_5_7b,F_E_Q02,45,fixed_0.5,0.5,0.9030869881522113,0.7129448725296879,0.5993340732519423,0.7616361071932299,0.6708074534161491
llava_1_5_7b,F_E_Q02,45,train_f1,0.41218528151512146,0.9030869881522113,0.7129448725296879,0.6624472573839663,0.6643159379407616,0.6633802816901408
llava_1_5_7b,F_C,43,fixed_0.5,0.5,0.9003691328965241,0.7093180393626998,0.651890482398957,0.7052186177715092,0.6775067750677507
llava_1_5_7b,F_C,43,train_f1,0.46307167410850525,0.9003691328965241,0.7093180393626998,0.6642958748221907,0.6586741889985895,0.6614730878186968
llava_1_5_7b,F_C,44,fixed_0.5,0.5,0.9005164272241588,0.7119543289638348,0.6135593220338983,0.765867418899859,0.6813048933500627
llava_1_5_7b,F_C,44,train_f1,0.3966526985168457,0.9005164272241588,0.7119543289638348,0.6757925072046109,0.6614950634696756,0.6685673556664291
llava_1_5_7b,F_C,45,fixed_0.5,0.5,0.9021470825016076,0.7154399411285133,0.6189376443418014,0.7559943582510579,0.6806349206349206
llava_1_5_7b,F_C,45,train_f1,0.42140433192253113,0.9021470825016076,0.7154399411285133,0.6796536796536796,0.6643159379407616,0.6718972895863052
llava_1_5_7b,F_C_Q02,43,fixed_0.5,0.5,0.9043530248583052,0.7177252310746122,0.6611111111111111,0.6713681241184767,0.6662001399580126
llava_1_5_7b,F_C_Q02,43,train_f1,0.5168579816818237,0.9043530248583052,0.7177252310746122,0.6483957219251337,0.6840620592383639,0.665751544269046
llava_1_5_7b,F_C_Q02,44,fixed_0.5,0.5,0.907540543559476,0.7255067764542408,0.6363636363636364,0.7503526093088858,0.6886731391585761
llava_1_5_7b,F_C_Q02,44,train_f1,0.4250148832798004,0.907540543559476,0.7255067764542408,0.6689373297002725,0.692524682651622,0.6805266805266805
llava_1_5_7b,F_C_Q02,45,fixed_0.5,0.5,0.9048099555917731,0.7126201306306871,0.6854961832061068,0.6332863187588152,0.658357771260997
llava_1_5_7b,F_C_Q02,45,train_f1,0.49771174788475037,0.9048099555917731,0.7126201306306871,0.6860643185298622,0.6318758815232722,0.657856093979442
