Q,label,layer,mean,median,q25,q75
C,0,14,0.22178937,0.21999499,0.1826075203716755,0.25722045451402664
C,0,15,0.24646701,0.24693355,0.20473194122314453,0.28818514943122864
C,0,16,0.25610042,0.25337446,0.2120136208832264,0.29772453010082245
C,0,17,0.2624427,0.26071244,0.2245275154709816,0.29967106133699417
C,0,18,0.29024178,0.2916343,0.24194691702723503,0.34042180329561234
C,0,19,0.26372433,0.2635498,0.23023481667041779,0.29727770388126373
C,0,20,0.2657036,0.26368147,0.22651368752121925,0.303059846162796
C,0,21,0.2731104,0.2711685,0.23395590111613274,0.3120897635817528
C,0,22,0.29683292,0.2945649,0.25008800625801086,0.34377069771289825
C,0,23,0.2985594,0.2927264,0.2339632473886013,0.3597942739725113
C,0,24,0.281929,0.27759436,0.21581604331731796,0.34521327167749405
C,0,25,0.3070509,0.31212717,0.2621777504682541,0.35810044407844543
C,0,26,0.31474063,0.31873167,0.26164279878139496,0.37197741866111755
C,0,27,0.2809239,0.2827081,0.22527983039617538,0.33764299750328064
C,0,28,0.26394364,0.2643376,0.19515032693743706,0.3277129605412483
C,0,29,0.31853315,0.32562336,0.2705997824668884,0.3745829910039902
C,0,30,0.2815209,0.28468293,0.23941561952233315,0.3261694461107254
C,0,31,0.2727352,0.27652782,0.23025278747081757,0.3181307315826416
C,0,32,0.1848047,0.18322545,0.14983880892395973,0.21798394620418549
C,1,1,0.14189775,0.13610801,0.11327758431434631,0.16554377973079681
C,1,2,0.20748568,0.20471407,0.17920847237110138,0.23287640511989594
C,1,3,0.2177399,0.21307294,0.1813734620809555,0.24932359158992767
C,1,4,0.18712786,0.18351465,0.1574525088071823,0.212833970785141
C,1,5,0.17283721,0.1679101,0.1430136114358902,0.1977287381887436
C,1,6,0.17981201,0.17661993,0.15198077261447906,0.20434677600860596
C,1,7,0.16901025,0.16281934,0.13702398538589478,0.19518770277500153
C,1,8,0.18527669,0.18125485,0.15271708369255066,0.2144555300474167
C,1,9,0.16005658,0.1568541,0.12981896102428436,0.186375692486763
C,1,10,0.19278596,0.19034588,0.16151073575019836,0.22197644412517548
C,1,11,0.19205937,0.18898374,0.1516338288784027,0.22966979444026947
C,1,12,0.20819393,0.20697905,0.17271989583969116,0.24260541796684265
C,1,13,0.22639756,0.22314796,0.1823018491268158,0.26567405462265015
C,1,14,0.22775073,0.22589004,0.19187302887439728,0.26137635111808777
C,1,15,0.23474233,0.23397735,0.1963559240102768,0.2735610902309418
C,1,16,0.2256315,0.22039141,0.1853828728199005,0.2607848048210144
C,1,17,0.24600907,0.24624595,0.21033626794815063,0.28093019127845764
C,1,18,0.292229,0.2951117,0.2506559193134308,0.3361368477344513
C,1,19,0.24209258,0.2420352,0.20895329117774963,0.2745218575000763
C,1,20,0.24450509,0.2434365,0.20902210474014282,0.27730804681777954
C,1,21,0.2619808,0.262361,0.22657203674316406,0.29882270097732544
C,1,22,0.28108552,0.2786256,0.24149297177791595,0.31889358162879944
C,1,23,0.2987305,0.29809207,0.2515048384666443,0.3456389605998993
C,1,24,0.27786675,0.27492514,0.2304675579071045,0.32289403676986694
C,1,25,0.29470453,0.2955383,0.2522300183773041,0.3361864387989044
C,1,26,0.31938964,0.3232399,0.27750107645988464,0.3655836284160614
C,1,27,0.2890592,0.2907185,0.24999061226844788,0.3291511535644531
C,1,28,0.26061285,0.2585934,0.2101377695798874,0.3093515932559967
C,1,29,0.3196646,0.3225173,0.27758854627609253,0.3650646507740021
C,1,30,0.27014405,0.27079535,0.2323516309261322,0.30746057629585266
C,1,31,0.27452663,0.27609658,0.23943905532360077,0.3112289607524872
C,1,32,0.1879549,0.18316406,0.15640561282634735,0.21234795451164246
