source,label,layer,metric,count,mean,std
new_jffn,hall,6,top10_mass,3487,0.3352939618208157,0.06495286476487355
new_jffn,hall,6,top1_mass,3487,0.08046187830868289,0.02946710340696756
new_jffn,hall,6,top32_mass,3487,0.5285516768856311,0.05498806373939426
new_jffn,hall,6,top5_mass,3487,0.24124521135018964,0.06176176334490936
new_jffn,hall,7,effective_token_count,3487,146.99918345185245,31.849754618954215
new_jffn,hall,7,gini,3487,0.7578386689175977,0.03970892082059494
new_jffn,hall,7,max_over_uniform,3487,42.80966716500521,16.91874417627523
new_jffn,hall,7,normalized_entropy,3487,0.7812302016172636,0.03589204604565447
new_jffn,hall,7,top10_mass,3487,0.3424000980640709,0.06852664814749214
new_jffn,hall,7,top1_mass,3487,0.07432233883911417,0.029372819760383195
new_jffn,hall,7,top32_mass,3487,0.5494973518067593,0.06354379388279457
new_jffn,hall,7,top5_mass,3487,0.2358567263724847,0.06063334792746325
new_jffn,hall,8,effective_token_count,3487,204.37089084245633,39.789190226695204
new_jffn,hall,8,gini,3487,0.6935811499862846,0.047787085528263856
new_jffn,hall,8,max_over_uniform,3487,31.87178893372361,15.70909163170999
new_jffn,hall,8,normalized_entropy,3487,0.8334064842603731,0.035736495524106335
new_jffn,hall,8,top10_mass,3487,0.25628761150816776,0.06484312123397416
new_jffn,hall,8,top1_mass,3487,0.055332966907372404,0.027272728544386966
new_jffn,hall,8,top32_mass,3487,0.44701350743769913,0.06883662653910858
new_jffn,hall,8,top5_mass,3487,0.17343456657501358,0.055627145964447074
new_jffn,hall,9,effective_token_count,3487,216.4314950670046,49.391556284506876
new_jffn,hall,9,gini,3487,0.672892239909477,0.06134003355215756
new_jffn,hall,9,max_over_uniform,3487,31.66358299244431,19.013002617588977
new_jffn,hall,9,normalized_entropy,3487,0.8408066376355715,0.04365204381541352
new_jffn,hall,9,top10_mass,3487,0.2533547634000863,0.06813772908129594
new_jffn,hall,9,top1_mass,3487,0.054971498199520887,0.03300868489123286
new_jffn,hall,9,top32_mass,3487,0.44029399018455856,0.0772278516239084
new_jffn,hall,9,top5_mass,3487,0.17189063622603146,0.059397294968384404
