Q,label,layer,mean,median,q25,q75
C,0,8,0.30515346,0.3193572,0.21516825258731842,0.38463398814201355
C,0,9,0.27390558,0.28239533,0.19965025782585144,0.3393380343914032
C,0,10,0.27507946,0.28020844,0.21353764086961746,0.32979369163513184
C,0,11,0.26477835,0.26795745,0.21585508435964584,0.31044110655784607
C,0,12,0.25532296,0.25245607,0.2136470079421997,0.2934872806072235
C,0,13,0.30995938,0.31424788,0.2676742225885391,0.3558805584907532
C,0,14,0.26205122,0.2593055,0.2227354496717453,0.2985418140888214
C,0,15,0.31089717,0.3091274,0.2734082043170929,0.34686635434627533
C,0,16,0.27680337,0.27231023,0.23410837352275848,0.3158884793519974
C,0,17,0.26122522,0.25733748,0.22416328638792038,0.29405809938907623
C,0,18,0.3065418,0.30691084,0.2685970515012741,0.34262408316135406
C,0,19,0.33353806,0.33139148,0.29906125366687775,0.3672366589307785
C,0,20,0.33152032,0.32795748,0.29365113377571106,0.3663792312145233
C,0,21,0.29599985,0.29433435,0.26555725932121277,0.3243093937635422
C,0,22,0.3506873,0.34922338,0.31652162969112396,0.3822406381368637
C,0,23,0.3664749,0.36725464,0.3346262276172638,0.3992477357387543
C,0,24,0.34698772,0.347333,0.3132018744945526,0.38032475113868713
C,0,25,0.33307916,0.33270887,0.29883719980716705,0.3669200837612152
C,0,26,0.28643322,0.28544593,0.25516341626644135,0.3154537230730057
C,0,27,0.28713286,0.2831836,0.2525341212749481,0.3195854276418686
C,0,28,0.25530124,0.2528839,0.20904535800218582,0.29997608065605164
C,0,29,0.25708935,0.25525075,0.22009842097759247,0.29075589776039124
C,0,30,0.23244996,0.22991644,0.20087970048189163,0.2605775445699692
C,0,31,0.20317703,0.20019145,0.1689607948064804,0.23447483777999878
C,0,32,0.14064108,0.13868625,0.11400735005736351,0.16476558148860931
C,1,1,0.041506663,0.039613333,0.033682625740766525,0.04619393404573202
C,1,2,0.075647786,0.07035035,0.05588649399578571,0.09244525991380215
C,1,3,0.37763688,0.40711012,0.26613859832286835,0.48163898289203644
C,1,4,0.3864475,0.41541857,0.2730424702167511,0.49548954516649246
C,1,5,0.36785656,0.3875109,0.26781101524829865,0.4609162360429764
C,1,6,0.33245382,0.3433087,0.2493158094584942,0.4115747883915901
C,1,7,0.32901075,0.33140376,0.26730577647686005,0.38854867964982986
C,1,8,0.29408923,0.298726,0.22493916377425194,0.35501018166542053
C,1,9,0.2761582,0.28201377,0.21862251311540604,0.32976052910089493
C,1,10,0.27817756,0.28132793,0.22978172451257706,0.3249107524752617
C,1,11,0.26983604,0.27124888,0.22813791036605835,0.311210073530674
C,1,12,0.27416557,0.27591926,0.23498677089810371,0.3142571747303009
C,1,13,0.31885904,0.3225978,0.27937087416648865,0.3598898574709892
C,1,14,0.27976498,0.28207734,0.24222826585173607,0.3173222467303276
C,1,15,0.32290298,0.32276696,0.2840460538864136,0.3606254383921623
C,1,16,0.29764345,0.29607144,0.26079634577035904,0.33393408358097076
C,1,17,0.28801003,0.28920072,0.2518414780497551,0.3225451037287712
C,1,18,0.31246856,0.31277278,0.2770921140909195,0.3479142412543297
C,1,19,0.34795076,0.34858143,0.31594395637512207,0.3797592371702194
C,1,20,0.34702083,0.3448968,0.30782581865787506,0.38370431214571
C,1,21,0.30113634,0.29924548,0.2675769105553627,0.3326431065797806
C,1,22,0.3470493,0.34319675,0.30901311337947845,0.3812660872936249
C,1,23,0.35018772,0.34807882,0.3122696280479431,0.38688721507787704
C,1,24,0.33585277,0.33346635,0.2969863563776016,0.3723800703883171
C,1,25,0.32896256,0.32642743,0.2903376594185829,0.3654509112238884
C,1,26,0.28058943,0.27680123,0.24742421135306358,0.3109927549958229
C,1,27,0.2938366,0.29042175,0.2573360502719879,0.3274014964699745
C,1,28,0.26268223,0.26191157,0.22615094855427742,0.2987363040447235
C,1,29,0.278813,0.2762479,0.24139989912509918,0.3152986764907837
C,1,30,0.24889213,0.24603125,0.2141089178621769,0.2813328206539154
C,1,31,0.21450065,0.21386033,0.18616919964551926,0.2417311817407608
C,1,32,0.1453951,0.14385419,0.12200484611093998,0.16740217804908752
