model,group,classifier,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
internvl_2_5_8b,visual_prompt_sum,xgb,metatoken_gb,1.4269327164064038,-0.4560290073677531
internvl_2_5_8b,generation,three_hidden,svar_native,-2.1524966261808554,-4.0270999254156115
internvl_2_5_8b,generation,three_hidden,metatoken_lr,1.4483323693849859,2.7470014491444594
internvl_2_5_8b,generation,three_hidden,metatoken_gb,-0.06718719876616097,-2.3266439430766006
internvl_2_5_8b,generation,one_hidden,svar_native,-4.829573934837117,-8.923981568040501
internvl_2_5_8b,generation,one_hidden,metatoken_lr,-1.2287449392712757,-2.1498801934804304
internvl_2_5_8b,generation,one_hidden,metatoken_gb,-2.7442645074224226,-7.22352558570149
internvl_2_5_8b,generation,xgb,svar_native,-4.4542124542124695,-8.073893519748987
internvl_2_5_8b,generation,xgb,metatoken_lr,-0.8533834586466282,-1.299792145188916
internvl_2_5_8b,generation,xgb,metatoken_gb,-2.368903026797775,-6.373437537409976
internvl_2_5_8b,vp_generation,three_hidden,svar_native,0.2326971274339673,-0.4350451513263187
internvl_2_5_8b,vp_generation,three_hidden,metatoken_lr,3.8335261229998085,6.339056223233753
internvl_2_5_8b,vp_generation,three_hidden,metatoken_gb,2.3180065548486617,1.2654108310126921
internvl_2_5_8b,vp_generation,one_hidden,svar_native,-2.579140158087545,-3.2119608046287107
internvl_2_5_8b,vp_generation,one_hidden,metatoken_lr,1.0216888374782962,3.56214056993136
internvl_2_5_8b,vp_generation,one_hidden,metatoken_gb,-0.49383073067285066,-1.5115048222896998
internvl_2_5_8b,vp_generation,xgb,svar_native,1.4121843069211382,2.182922796727149
internvl_2_5_8b,vp_generation,xgb,metatoken_lr,5.013013302486979,8.95702417128722
internvl_2_5_8b,vp_generation,xgb,metatoken_gb,3.4974937343358325,3.88337877906616
