model,group,classifier,seed,AUROC,HALL_AUPR
internvl_2_5_8b,visual_prompt_sum,xgb,44,0.8548907586810932,0.5157895942729506
internvl_2_5_8b,visual_prompt_sum,xgb,45,0.8548907586810932,0.5157895942729506
internvl_2_5_8b,generation,three_hidden,43,0.8526357038334598,0.5239305978811877
internvl_2_5_8b,generation,three_hidden,44,0.8395766798756716,0.4852129904553053
internvl_2_5_8b,generation,three_hidden,45,0.8402856402807003,0.4789723955276253
internvl_2_5_8b,generation,one_hidden,43,0.8108404184869102,0.415368950442277
internvl_2_5_8b,generation,one_hidden,44,0.812391853497538,0.4226689497718551
internvl_2_5_8b,generation,one_hidden,45,0.811422540401397,0.4176570366494715
internvl_2_5_8b,generation,xgb,43,0.8307393749399186,0.47160668861455457
internvl_2_5_8b,generation,xgb,44,0.8307393749399186,0.47160668861455457
internvl_2_5_8b,generation,xgb,45,0.8307393749399186,0.47160668861455457
internvl_2_5_8b,vp_generation,three_hidden,43,0.8671754002755733,0.584488216955907
internvl_2_5_8b,vp_generation,three_hidden,44,0.851463449152452,0.5173525464190759
internvl_2_5_8b,vp_generation,three_hidden,45,0.8426221387906817,0.5183043040196192
internvl_2_5_8b,vp_generation,one_hidden,43,0.840156131506147,0.5100483191965619
internvl_2_5_8b,vp_generation,one_hidden,44,0.8344457291477522,0.4905408659246519
internvl_2_5_8b,vp_generation,one_hidden,45,0.8363376253698342,0.49676317695737215
internvl_2_5_8b,vp_generation,xgb,43,0.8707315510077652,0.5838578711930134
internvl_2_5_8b,vp_generation,xgb,44,0.8707315510077652,0.5838578711930134
internvl_2_5_8b,vp_generation,xgb,45,0.8707315510077652,0.5838578711930134
internvl_2_5_8b,ae_only_visual,three_hidden,43,0.8322046932911784,0.47466026691326607
internvl_2_5_8b,ae_only_visual,three_hidden,44,0.832318847932666,0.45533408566368067
internvl_2_5_8b,ae_only_visual,three_hidden,45,0.8290530905867148,0.4599006326756841
internvl_2_5_8b,ae_only_visual,one_hidden,43,0.7871055990515151,0.41222475588683977
internvl_2_5_8b,ae_only_visual,one_hidden,44,0.7929294884803948,0.4213517260165585
internvl_2_5_8b,ae_only_visual,one_hidden,45,0.7924508400713499,0.4184039827975057
internvl_2_5_8b,ae_only_visual,xgb,43,0.8056547269367569,0.4331532699126642
internvl_2_5_8b,ae_only_visual,xgb,44,0.8056547269367569,0.4331532699126642
internvl_2_5_8b,ae_only_visual,xgb,45,0.8056547269367569,0.4331532699126642
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,43,0.801175325507621,0.4277277501934843
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,44,0.8131635655768348,0.4430595107629918
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,45,0.8079718658876558,0.43362971109959736
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,43,0.7577257992160046,0.350042044706664
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,44,0.7578633188425921,0.3479852213438216
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,45,0.7557811648846972,0.34726853590626783
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,43,0.8021566548818132,0.4321715532980062
