layer,AE_V_train_mean,AE_V_z_over_layers,logS_V_train_mean,logS_V_z_over_layers,AE_VP_train_mean,AE_VP_z_over_layers,logS_VP_train_mean,logS_VP_z_over_layers,AE_G_train_mean,AE_G_z_over_layers,logS_G_train_mean,logS_G_z_over_layers
10,0.5392430155569251,-0.45707752450419925,1.422108807838988,0.03763707562898633,0.5273424429229057,0.19495467886748058,2.0298159825605375,0.27175310573067885,0.5519042891506407,-0.8645358812093994,2.2278629930373417,0.9932850858526974
11,0.5473347799742851,-0.2970787685841034,1.8216284833563567,0.696111181530099,0.529975170800259,0.32293242044744436,2.265266679861895,0.7098591783869229,0.5584910116291882,-0.7624925594892954,2.035572987771164,0.5783020291031279
12,0.5518816142719007,-0.2071740465147647,1.4690238753277887,0.1149608196422779,0.5316173519498816,0.4027593697503692,1.9991378072621113,0.21466983925365993,0.5630333479350192,-0.6921214323427582,2.0948275301841073,0.7061798722743419
13,0.5455497925024514,-0.3323733916225154,1.5480359771465184,0.24518575295271236,0.5295316751227006,0.30137395414994794,2.1309034934221582,0.45984790810663584,0.5564372922810504,-0.7943093461912366,2.0767983202714757,0.6672708471798405
14,0.5716136451158816,0.18298812627917774,1.9228062346569175,0.8628687491979409,0.538572676144247,0.7408598965872695,2.2899509121663795,0.7557894397766811,0.5775977352338729,-0.46648592642406156,2.198080459643351,0.9290110913282492
15,0.5678454742598981,0.1084799451267124,1.698209803917099,0.49269690790259585,0.5355208463417293,0.592509476791785,2.2151899035898155,0.6166806911906585,0.5931370280361837,-0.22574691549813494,2.4097745864434104,1.3858703842166857
16,0.5622739482825575,-0.001686043274840732,1.6826744245937952,0.46709204877644667,0.5371628065381144,0.6723256854873888,2.152578942756563,0.5001796891962508,0.5945911908680581,-0.20321862374610455,2.3441724147833023,1.2442936564650946
17,0.605596522732951,0.8549328173098478,1.8942080457300356,0.8157342323318224,0.5427125052506526,0.9420983094601563,2.2269963545972304,0.6386491030159442,0.6112032923313611,0.05414063491217747,1.8992226249823043,0.2840428955578943
18,0.6195526933494864,1.1308886930473643,1.7800343728841217,0.6275572494402979,0.5438069750462536,0.9953008352028893,2.1686558262852964,0.5300941485036711,0.6514244361595257,0.6772576909252987,1.982038138206394,0.4627679144502937
19,0.6309440686682984,1.3561307768775122,1.9807515099488595,0.9583720890263109,0.5533890822410688,1.461090121257906,2.227215492658591,0.6390568559618159,0.6402841832216871,0.5046698191451174,2.110081752651048,0.7391001681519476
20,0.6212218768995691,1.1638935208748478,2.2144883747267103,1.3436088682948542,0.5490620130700423,1.2507499091411323,2.4382106009615194,1.0316581067024821,0.6476586957752409,0.6189178020352634,1.8765991048262356,0.23521884182819044
21,0.6385960448755598,1.5074335843177982,1.8858828774854581,0.8020129864151462,0.5393234366541817,0.7773546043598997,2.1136765921329768,0.4277935962938308,0.6460849793253273,0.5945373526512517,1.363095484796772,-0.87297865183155
22,0.6408742568625387,1.552480753864265,1.9272963559607208,0.8702692072782111,0.54124964188654,0.870988054887472,2.1552278926555064,0.505108623576954,0.7103700590804383,1.590459542574743,1.8616028010743562,0.20285516300731007
23,0.6159813525003205,1.060272438870802,1.374946221155161,-0.04009462070962519,0.5221311682745998,-0.05836704343431442,1.609316386964169,-0.5106757784975691,0.6832155933180364,1.1697750678674743,1.6383557500216523,-0.2789366156550082
24,0.6439377777087879,1.613055864415378,2.0028425609222467,0.9947817727778803,0.5410824072230213,0.8628587245700026,2.2050302568470745,0.5977765087649843,0.6441473746111982,0.5645194458919763,1.2704607118833005,-1.0728947170046799
25,0.5878391068900881,0.5038147796766177,1.5203848633746722,0.19961217164033251,0.5133852789571224,-0.4835075118386252,1.8831019808722074,-0.0012394817624368744,0.6726398788712538,1.0059331821302497,0.9307627451714297,-1.806000425762498
26,0.6297173467372119,1.331874758942455,1.8566577509959004,0.7538451733778083,0.531497393150342,0.39692813425513107,2.084135827218169,0.3728267236176239,0.6719361008147562,0.9950300583273827,1.7318158652126823,-0.07723937074384811
27,0.5309742627311684,-0.6205758787436662,0.5083597663115824,-1.4683715642673978,0.5013975736874432,-1.0662336873528375,1.1925848045741678,-1.2860934731796434,0.6980198728091688,1.3991270498081325,1.1455267199031658,-1.342516062181073
28,0.5933561963837884,0.612904393481746,1.2893007939765038,-0.18125236472549783,0.5093307514762899,-0.6805993854934405,1.890016254631935,0.011625994351517016,0.7521713999433255,2.238057446979538,1.3693012019648532,-0.8595860291823968
29,0.6038452056797234,0.8203039606989346,1.5699392935377423,0.28128601924949287,0.5152289090513109,-0.39388806510708735,1.95435770871123,0.13134694688534299,0.7186037087010768,1.718017513918741,1.5756467608282045,-0.41426953628783103
30,0.5595785250166383,-0.054982746809600316,1.034877872758846,-0.6005831657745272,0.4933269881533943,-1.4585474235198337,2.011359307995727,0.23741053932267103,0.6563456941707825,0.7534991776656133,2.061249345495028,0.6337144432829227
31,0.5254245038794031,-0.7303114649693329,3.0317059380479514,2.690517762425767,0.44413989653247243,-3.8495476308259016,3.4672753781072987,2.9464518753833766,0.6307940091600548,0.35764542452321385,3.1434833741743593,2.9692949364971755
