model,split,label,layer,n,mean,median,q25,q75
qwen3_vl_8b,test,0,26,516,0.1583712100982666,0.1517038643360138,0.1246234867721796,0.18116392940282822
qwen3_vl_8b,test,0,27,516,0.14136657118797302,0.13540586829185486,0.11083347536623478,0.16758613660931587
qwen3_vl_8b,test,0,28,516,0.17145222425460815,0.16365772485733032,0.13099800422787666,0.1999010294675827
qwen3_vl_8b,test,0,29,516,0.15562376379966736,0.14997705817222595,0.11982988379895687,0.17925774306058884
qwen3_vl_8b,test,0,30,516,0.17795388400554657,0.16640056669712067,0.13585440814495087,0.21612751856446266
qwen3_vl_8b,test,0,31,516,0.1835092455148697,0.1777692437171936,0.14174915850162506,0.21203572675585747
qwen3_vl_8b,test,0,32,516,0.17174935340881348,0.16380582749843597,0.13522842898964882,0.19429177045822144
qwen3_vl_8b,test,0,33,516,0.17218755185604095,0.1641295850276947,0.13379568234086037,0.19524800404906273
qwen3_vl_8b,test,0,34,516,0.16830988228321075,0.16219860315322876,0.1325203888118267,0.19200807809829712
qwen3_vl_8b,test,0,35,516,0.2058718353509903,0.18848568201065063,0.1432354561984539,0.2511634826660156
qwen3_vl_8b,test,0,36,516,0.24817347526550293,0.24853676557540894,0.20960338041186333,0.2874447926878929
qwen3_vl_8b,test,1,1,2511,0.1022474393248558,0.09952350705862045,0.08213532716035843,0.11931806430220604
qwen3_vl_8b,test,1,2,2511,0.22118088603019714,0.22084619104862213,0.19179262220859528,0.24941536784172058
qwen3_vl_8b,test,1,3,2511,0.15467658638954163,0.15189515054225922,0.1304318681359291,0.17454029619693756
qwen3_vl_8b,test,1,4,2511,0.15815915167331696,0.15406516194343567,0.13468176126480103,0.17712408304214478
qwen3_vl_8b,test,1,5,2511,0.14619553089141846,0.1447734832763672,0.12699191272258759,0.1644969955086708
qwen3_vl_8b,test,1,6,2511,0.1273260861635208,0.12488777190446854,0.10829725116491318,0.1441006138920784
qwen3_vl_8b,test,1,7,2511,0.1380559504032135,0.13557952642440796,0.11975103244185448,0.1541716605424881
qwen3_vl_8b,test,1,8,2511,0.12389624863862991,0.12137270718812943,0.10556982085108757,0.13875200599431992
qwen3_vl_8b,test,1,9,2511,0.09189840406179428,0.08904310315847397,0.07639500498771667,0.1052461676299572
qwen3_vl_8b,test,1,10,2511,0.14731550216674805,0.1378498077392578,0.10979575291275978,0.17694268375635147
qwen3_vl_8b,test,1,11,2511,0.08840754628181458,0.08479277789592743,0.07290566340088844,0.09992816299200058
qwen3_vl_8b,test,1,12,2511,0.09692852199077606,0.09358413517475128,0.0792711041867733,0.11163496971130371
qwen3_vl_8b,test,1,13,2511,0.11882853507995605,0.11567029356956482,0.09590169787406921,0.1391683965921402
qwen3_vl_8b,test,1,14,2511,0.09930068999528885,0.09668180346488953,0.07917187735438347,0.11598509550094604
qwen3_vl_8b,test,1,15,2511,0.10190527886152267,0.09972968697547913,0.0837157554924488,0.11748845502734184
qwen3_vl_8b,test,1,16,2511,0.11578981578350067,0.11201983690261841,0.08745503053069115,0.13979625701904297
qwen3_vl_8b,test,1,17,2511,0.10355136543512344,0.10204248875379562,0.08643856272101402,0.11842742562294006
qwen3_vl_8b,test,1,18,2511,0.12585948407649994,0.12272749096155167,0.10049424320459366,0.1469755545258522
qwen3_vl_8b,test,1,19,2511,0.10965980589389801,0.1059199720621109,0.08765433356165886,0.12865085899829865
qwen3_vl_8b,test,1,20,2511,0.15129084885120392,0.14258117973804474,0.11772207915782928,0.17620494216680527
qwen3_vl_8b,test,1,21,2511,0.15135237574577332,0.1489875763654709,0.1254839152097702,0.17381511628627777
qwen3_vl_8b,test,1,22,2511,0.16237689554691315,0.16018196940422058,0.13337045162916183,0.19094179570674896
qwen3_vl_8b,test,1,23,2511,0.12734472751617432,0.12154356390237808,0.09737244993448257,0.15275385975837708
qwen3_vl_8b,test,1,24,2511,0.12050825357437134,0.11773994565010071,0.09494848921895027,0.1429472491145134
qwen3_vl_8b,test,1,25,2511,0.14367623627185822,0.13845819234848022,0.10991434007883072,0.17362230271100998
qwen3_vl_8b,test,1,26,2511,0.14447446167469025,0.13724415004253387,0.11184684559702873,0.16971555352210999
qwen3_vl_8b,test,1,27,2511,0.12885038554668427,0.12476417422294617,0.10138498246669769,0.1514868289232254
