model,experiment,group,classifier,auc,auc_std,hall_aupr,hall_aupr_std,status,source
qwen3_vl_8b,old_gate,gated_raw_concat,fixed_three_hidden,0.8990429191660055,0.0024511504100927423,0.6692841244026667,0.002208531057597542,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_raw_visual_prompt_sum,fixed_three_hidden,0.8550952038421128,0.0025338647200311634,0.5823326733932787,0.0045638088326235525,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_log1p_prompt,fixed_three_hidden,0.8316846444121319,0.0031304523245235644,0.5642288804343425,0.006017028101599927,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_log1p_generation,fixed_three_hidden,0.8530992058714267,0.004350061363551035,0.5627144373336365,0.00670607504057449,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_log1p_visual,fixed_three_hidden,0.8600367684513722,0.0012943417985470844,0.5632691432355718,0.0031250665520277596,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_log1p_concat,fixed_three_hidden,0.9016487661009903,0.0028156355007796915,0.6743605427005774,0.006728973056882081,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,gated_log1p_visual_prompt_sum,fixed_three_hidden,0.861851265285457,0.0014974963527088613,0.5933425166207904,0.00029386455065285054,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
qwen3_vl_8b,old_gate,F_E_reference,fixed_three_hidden,0.8865496981241195,0.0030478083329301894,0.6283199927748971,0.003527532443769331,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_raw_prompt,fixed_three_hidden,0.8397587042357825,0.004766093470401495,0.47213921020656024,0.008643917045333297,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_raw_generation,fixed_three_hidden,0.8405459929718125,0.0011173540663172027,0.4633038809722391,0.008638957591769417,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_raw_visual,fixed_three_hidden,0.834165571850222,0.003705927666233245,0.46924549021276635,0.008379619679840796,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_raw_concat,fixed_three_hidden,0.8600726673288972,0.0010652205412164672,0.5177461014048537,0.0028902875373480897,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_raw_visual_prompt_sum,fixed_three_hidden,0.8219857389031898,0.015039631896582787,0.44143951967139766,0.017188371626750902,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_log1p_prompt,fixed_three_hidden,0.8324358953818326,0.011932961689260203,0.45869503376529663,0.010319689766774338,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_log1p_generation,fixed_three_hidden,0.840235794979154,0.0030446674109429125,0.4611769338549001,0.012959417310836375,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_log1p_visual,fixed_three_hidden,0.8332169534551696,0.003296392578326805,0.4630177514596883,0.007448440066949657,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_log1p_concat,fixed_three_hidden,0.8550293909260188,0.005312544366673788,0.5094768445683906,0.013266958429991838,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,attention_log1p_visual_prompt_sum,fixed_three_hidden,0.7791223399520772,0.03185647625013169,0.4006304853050586,0.024642287774707707,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_raw_prompt,fixed_three_hidden,0.8387172934713337,0.0017137927488672978,0.4921922777803717,0.006041215124422891,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_raw_generation,fixed_three_hidden,0.8335547443826125,0.0012603506378939,0.4503763839976688,0.006655114826799082,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_raw_visual,fixed_three_hidden,0.8354199377645807,0.002646683069615049,0.4761159318239973,0.0022389606612301083,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_raw_concat,fixed_three_hidden,0.8741239243205907,0.0017056776025886017,0.5641410249648707,0.0050654378595408455,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_raw_visual_prompt_sum,fixed_three_hidden,0.8375953291392072,0.004392312418694449,0.4679921887897367,0.010316751745500513,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_log1p_prompt,fixed_three_hidden,0.8300066045024549,0.00688979249415087,0.4727271669770525,0.006451061990096008,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_log1p_generation,fixed_three_hidden,0.8350122744055057,0.002040339688066044,0.45421167643736265,0.008821694543960139,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_log1p_visual,fixed_three_hidden,0.8371342600999042,0.0031235582465290886,0.47329427750605624,0.004179329663522217,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_log1p_concat,fixed_three_hidden,0.8738453246887339,0.0024806530263029093,0.5598732657059421,0.01202844759840154,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,gated_log1p_visual_prompt_sum,fixed_three_hidden,0.8097745301190237,0.03332555827417498,0.4209040133462851,0.05031785344961872,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
internvl_2_5_8b,old_gate,F_E_reference,fixed_three_hidden,0.8582539813934611,0.005868731996798687,0.5303403431153165,0.012005098836062829,see source numerical limits,outputs/prefix_attention_gate/full/group_detection/detection.csv
