model,group,seed,threshold_rule,threshold,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
qwen2_5_vl_7b,full/schedule_off/min_train_loss,45,fixed_0.5,0.5,0.8621903078665241,0.978094312178174,0.9267376330619912,0.9554551323434474,0.9408773045136681,0.42849385924604655,0.4888888888888889,0.36065573770491804,0.41509433962264153
qwen2_5_vl_7b,full/schedule_off/min_train_loss,45,train_f1,0.6162537336349487,0.8621903078665241,0.978094312178174,0.9272151898734177,0.9457714654615881,0.936401406200064,0.42849385924604655,0.4473684210526316,0.37158469945355194,0.4059701492537313
qwen2_5_vl_7b,full/schedule_off/min_train_loss,ensemble,fixed_0.5,0.5,0.8806968712407441,0.9837416212073749,0.9197303921568627,0.9690122659780503,0.9437283872995913,0.4644485149188007,0.52,0.28415300546448086,0.3674911660777385
qwen2_5_vl_7b,full/schedule_off/min_train_loss,ensemble,train_f1,0.7293229699134827,0.8806968712407441,0.9837416212073749,0.9390402075226978,0.9347966429954809,0.9369136201876416,0.4644485149188007,0.46842105263157896,0.48633879781420764,0.4772117962466488
qwen3_vl_8b,full/schedule_off/min_train_loss,43,fixed_0.5,0.5,0.8770251976574391,0.9702905680120554,0.9088775909268674,0.9255276782158502,0.9171270718232044,0.6148394229738314,0.6021276595744681,0.5484496124031008,0.5740365111561866
qwen3_vl_8b,full/schedule_off/min_train_loss,43,train_f1,0.38475045561790466,0.8770251976574391,0.9702905680120554,0.9032258064516129,0.9366786140979689,0.9196480938416423,0.6148394229738314,0.624113475177305,0.5116279069767442,0.5623003194888179
qwen3_vl_8b,full/schedule_off/min_train_loss,44,fixed_0.5,0.5,0.881506256193678,0.9708484847819017,0.9058641975308642,0.9350856232576663,0.9202429943170684,0.6196926697975065,0.6252873563218391,0.5271317829457365,0.5720294426919033
qwen3_vl_8b,full/schedule_off/min_train_loss,44,train_f1,0.563471257686615,0.881506256193678,0.9708484847819017,0.9077102803738317,0.9283154121863799,0.9178972238629651,0.6196926697975065,0.6078431372549019,0.5406976744186046,0.5723076923076923
qwen3_vl_8b,full/schedule_off/min_train_loss,45,fixed_0.5,0.5,0.8712791623831885,0.9693827586792394,0.9109616145627226,0.9167662285941856,0.9138547042477173,0.601878626196459,0.582,0.563953488372093,0.5728346456692913
qwen3_vl_8b,full/schedule_off/min_train_loss,45,train_f1,0.5451522469520569,0.8712791623831885,0.9693827586792394,0.9150981177412896,0.9099960175228993,0.9125399361022364,0.601878626196459,0.5735849056603773,0.5891472868217055,0.5812619502868069
qwen3_vl_8b,full/schedule_off/min_train_loss,ensemble,fixed_0.5,0.5,0.894976444728466,0.9758091681234848,0.9134316770186336,0.9370768618080446,0.9251032042461176,0.6560208508184504,0.6496674057649667,0.5678294573643411,0.6059979317476732
qwen3_vl_8b,full/schedule_off/min_train_loss,ensemble,train_f1,0.5021417140960693,0.894976444728466,0.9758091681234848,0.9134316770186336,0.9370768618080446,0.9251032042461176,0.6560208508184504,0.6496674057649667,0.5678294573643411,0.6059979317476732
llava_1_5_7b,full/schedule_off/val_epoch_transfer,43,fixed_0.5,0.5,0.8964176514744192,0.9682534096075929,0.8863275039745628,0.9150594993844892,0.9004643650312941,0.6904123040656208,0.6714285714285714,0.5966149506346967,0.6318147871545929
llava_1_5_7b,full/schedule_off/val_epoch_transfer,43,train_f1,0.532861053943634,0.8964176514744192,0.9682534096075929,0.8955954323001631,0.9011079195732458,0.8983432194722847,0.6904123040656208,0.6527377521613833,0.6389280677009873,0.6457590876692801
llava_1_5_7b,full/schedule_off/val_epoch_transfer,44,fixed_0.5,0.5,0.9000331629272041,0.9686186696627379,0.8928860145513339,0.906442347148133,0.8996131134188556,0.7030269905030616,0.6607142857142857,0.6262341325811002,0.6430123099203475
llava_1_5_7b,full/schedule_off/val_epoch_transfer,44,train_f1,0.48730042576789856,0.9000331629272041,0.9686186696627379,0.8896911351784998,0.9101354123922856,0.8997971602434077,0.7030269905030616,0.664624808575804,0.61212976022567,0.6372980910425844
llava_1_5_7b,full/schedule_off/val_epoch_transfer,45,fixed_0.5,0.5,0.9004863317230312,0.9690040058292575,0.9129332206255283,0.8863356585966352,0.8994378513429107,0.7003764843106068,0.6448717948717949,0.7094499294781382,0.6756212222968435
llava_1_5_7b,full/schedule_off/val_epoch_transfer,45,train_f1,0.41249072551727295,0.9004863317230312,0.9690040058292575,0.886408927859705,0.9125974558883874,0.8993125758188435,0.7003764843106068,0.6656200941915228,0.5980253878702397,0.6300148588410104
llava_1_5_7b,full/schedule_off/val_epoch_transfer,ensemble,fixed_0.5,0.5,0.904047150390113,0.9704388951444802,0.8984088127294981,0.9035699630693476,0.9009819967266776,0.7120976514853289,0.6618705035971223,0.6488011283497884,0.6552706552706553
llava_1_5_7b,full/schedule_off/val_epoch_transfer,ensemble,train_f1,0.48491427302360535,0.904047150390113,0.9704388951444802,0.8945880452342488,0.9089043906442347,0.9016893954813759,0.7120976514853289,0.6686567164179105,0.6318758815232722,0.649746192893401
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,43,fixed_0.5,0.5,0.8458411661664335,0.9669058401464588,0.8947368421052632,0.9397410358565738,0.9166869079426767,0.49289254392482706,0.5551470588235294,0.40482573726541554,0.4682170542635659
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,43,train_f1,0.5555262565612793,0.8458411661664335,0.9669058401464588,0.9025341130604289,0.9223107569721115,0.9123152709359605,0.49289254392482706,0.5258358662613982,0.46380697050938335,0.4928774928774929
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,44,fixed_0.5,0.5,0.8423043749933243,0.9650033764326266,0.8851162790697674,0.9477091633466136,0.9153439153439153,0.4933945982875366,0.5454545454545454,0.3378016085790885,0.41721854304635764
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,44,train_f1,0.6090596318244934,0.8423043749933243,0.9650033764326266,0.9087340529931305,0.9223107569721115,0.9154720711814137,0.4933945982875366,0.5451895043731778,0.5013404825737265,0.5223463687150838
