feature,layer,hall_minus_real,difference_sem,difference_ci95_low,difference_ci95_high,cohens_d_hall_minus_real,hall_positive_raw_auroc,best_orientation_auroc
s,21,0.02281305468799688,0.0015104424263182876,0.01985258753241304,0.025773521843580723,0.4545122004249826,0.6183133119571016,0.6183133119571016
s,22,-0.0009883227518402982,0.002491526156367001,-0.00587171401831962,0.003895068514639024,-0.010323280654064241,0.494608400285636,0.505391599714364
s,23,0.0289477469458832,0.00199312991199342,0.025041212318376097,0.032854281573390307,0.46423641921561387,0.6078829642811123,0.6078829642811123
s,24,0.027161466218754537,0.0020208925546267285,0.02320051681168615,0.031122415625822925,0.3920632084782436,0.6041241326459665,0.6041241326459665
s,25,-0.004136677820988033,0.002631694892846362,-0.009294799810966902,0.0010214441689908368,-0.035209102127685195,0.518057912339317,0.518057912339317
s,26,0.009263000285935463,0.0013380563973321628,0.006640409747164424,0.011885590824706502,0.18135806964606982,0.5580959332914693,0.5580959332914693
s,27,0.017283170592638508,0.003008429469601376,0.011386648832219811,0.023179692353057203,0.1844710884455659,0.5079409777104449,0.5079409777104449
s,28,0.011670961031425175,0.0018748151698502985,0.007996323298518591,0.01534559876433176,0.19240855892752456,0.5240030422201543,0.5240030422201543
s,29,-0.002217622978403,0.0013972968027803302,-0.004956324711852447,0.0005210787550464471,-0.0418516350759437,0.4798117175794291,0.5201882824205709
s,30,-0.02271106467398193,0.0018902771337815545,-0.026416007856193774,-0.019006121491770084,-0.25658185757457297,0.42708585137569116,0.5729141486243088
s,31,0.00750642206500135,0.0019140018243796921,0.0037549784892171537,0.011257865640785547,0.10999346760330607,0.5327298474730725,0.5327298474730725
s,32,0.09001364210772034,0.0076245875920580245,0.0750694504272866,0.10495783378815407,0.383918061997214,0.5711290938764724,0.5711290938764724
s_times_risk,1,-0.024130205396037052,0.0041288307373861,-0.03222271364131381,-0.016037697150760297,-0.1579388372773427,0.447745726651918,0.552254273348082
s_times_risk,2,-0.0015522316354213972,0.0020064871341153373,-0.005484946418287459,0.002380483147444664,-0.020650419265725653,0.494397918860303,0.5056020811396971
s_times_risk,3,0.005722726180703963,0.0015934595101990954,0.0025995455407137364,0.00884590682069419,0.09327624091303134,0.5253329369063441,0.5253329369063441
s_times_risk,4,-0.004955801471813626,0.0016083008426810148,-0.008108071123468414,-0.0018035318201588368,-0.07650515016900611,0.4779643032115686,0.5220356967884314
s_times_risk,5,-0.007332028743616215,0.0018449015077855254,-0.010948035698875844,-0.0037160217883565848,-0.09165269772464425,0.47480569354380453,0.5251943064561955
s_times_risk,6,-0.006323621138160873,0.0014601938393271638,-0.009185601063242115,-0.003461641213079632,-0.09908051621563173,0.47100167172513396,0.528998328274866
s_times_risk,7,-0.0044351982493616715,0.0011437892621544786,-0.00667702520318445,-0.0021933712955388937,-0.09438432730826014,0.4711831691017234,0.5288168308982766
s_times_risk,8,0.005412954693375188,0.0012022647191158185,0.003056515843908184,0.0077693935428421925,0.11499276299568768,0.5339341729471105,0.5339341729471105
s_times_risk,9,-0.010948687959055903,0.0010988048290041994,-0.013102345423904134,-0.008795030494207672,-0.2635306681414254,0.418864552865375,0.5811354471346251
s_times_risk,10,0.0004215187064495751,0.0011925925047279954,-0.0019159626028172959,0.002759000015716446,0.009269311575638393,0.5003731660860224,0.5003731660860224
s_times_risk,11,0.0012640689542964823,0.001139432810262897,-0.0009692193538187958,0.0034973572624117603,0.028913670066090233,0.5119590225048813,0.5119590225048813
s_times_risk,12,0.0018949374702256216,0.0011109371167816902,-0.0002824992786664912,0.0040723742191177345,0.04548996704354135,0.5117816899916011,0.5117816899916011
s_times_risk,13,0.010075607334052578,0.0013784510020128109,0.007373843370107469,0.012777371297997686,0.19701746833394068,0.555318451115101,0.555318451115101
s_times_risk,14,0.007827494808684637,0.0010223301800806664,0.005823727655726531,0.009831261961642744,0.2020514273083048,0.556264470066759,0.556264470066759
s_times_risk,15,0.011395795199347997,0.0009900614373510319,0.009455274782139974,0.01333631561655602,0.3052051675290214,0.5877682611123369,0.5877682611123369
s_times_risk,16,0.01857818844037465,0.0010003892068697739,0.01661742559490989,0.020538951285839407,0.4821278419946982,0.6352713037291449,0.6352713037291449
s_times_risk,17,0.010476719712919386,0.0008165717206377853,0.008876239140469326,0.012077200285369445,0.32843290980960965,0.5917468672011518,0.5917468672011518
s_times_risk,18,0.011820539992564327,0.0008976403345263129,0.010061164936892754,0.013579915048235901,0.32900702091428147,0.5962865682081647,0.5962865682081647
s_times_risk,19,0.0069648663375132674,0.0007357755280895053,0.005522746302457837,0.008406986372568698,0.21716132933815407,0.5699028107897499,0.5699028107897499
s_times_risk,20,0.011023374827869914,0.0009974757141129503,0.009068322428208531,0.012978427227531297,0.28741398343717617,0.584137803597286,0.584137803597286
s_times_risk,21,0.013456648831349519,0.0007340986035506712,0.012017815568390202,0.014895482094308835,0.48146905383346306,0.6370293010316734,0.6370293010316734
s_times_risk,22,0.008392641124387729,0.0006483619607910497,0.007121851681237272,0.009663430567538185,0.331371005818903,0.6012397239789257,0.6012397239789257
s_times_risk,23,0.010585662213868141,0.0005907221200683584,0.009427846858534159,0.011743477569202123,0.465908277122844,0.6350690387008164,0.6350690387008164
s_times_risk,24,0.011728890194736621,0.0005927145043165867,0.010567169766276112,0.012890610623197131,0.512103606576856,0.6499823659120841,0.6499823659120841
s_times_risk,25,0.005625659992438595,0.0008479107921895044,0.003963754839747166,0.007287565145130024,0.16452384528887473,0.5604406096725238,0.5604406096725238
s_times_risk,26,0.002830542558912047,0.000626723610199871,0.0016021642829202997,0.004058920834903794,0.11439263988319741,0.5372778498743005,0.5372778498743005
s_times_risk,27,0.01138456633805171,0.0010457442291048617,0.009334907649006182,0.013434225027097239,0.3854071379714233,0.5665618821056959,0.5665618821056959
s_times_risk,28,0.005161142060372978,0.0005978552310282879,0.003989345807557534,0.006332938313188422,0.22079320548573536,0.5734856981993851,0.5734856981993851
s_times_risk,29,0.005487860624161192,0.00059500349843793,0.0043216537672228494,0.006654067481099535,0.226869587065594,0.5778015732190336,0.5778015732190336
s_times_risk,30,-0.0018319235438930825,0.0008146123777982746,-0.0034285638043777007,-0.00023528328340846442,-0.05088686963553737,0.50058900233561,0.50058900233561
s_times_risk,31,0.0018242901100584685,0.0006484213437642373,0.0005533842762805634,0.003095195943836374,0.0712946221081573,0.5391713893950001,0.5391713893950001
s_times_risk,32,0.026135858614499102,0.001910484131414171,0.022391309716927328,0.029880407512070876,0.4421829301236987,0.5962080024533595,0.5962080024533595
