layer,metric,count,mean,std,q10,median,q90
16,spearman,14951,0.9973361137622767,0.0014310528212232343,0.995640218257904,0.9976816177368164,0.9986797571182251
16,top16_overlap,14951,0.9395232760350478,0.05006707987745048,0.875,0.9375,1.0
16,top1_overlap,14951,0.9050230753795733,0.2931830629659096,1.0,1.0,1.0
16,top32_overlap,14951,0.949161009297037,0.03223380276133746,0.90625,0.9375,1.0
16,top5_overlap,14951,0.926359445211457,0.10655768292646398,0.800000011920929,1.0,1.0
17,pearson,14951,0.9932206771611514,0.006148639929030083,0.9864420294761658,0.9950417876243591,0.9980757832527161
17,spearman,14951,0.9979154280727662,0.0010339313641223203,0.9966639876365662,0.9981591105461121,0.9988899827003479
17,top16_overlap,14951,0.9224090361848706,0.057467774156460844,0.875,0.9375,1.0
17,top1_overlap,14951,0.8567319911711592,0.3503459525598377,0.0,1.0,1.0
17,top32_overlap,14951,0.9416573306133369,0.03534343408127834,0.90625,0.9375,0.96875
17,top5_overlap,14951,0.8920072299103682,0.12480332660074271,0.800000011920929,1.0,1.0
18,pearson,14951,0.9939543689168757,0.00489722692167235,0.9881594777107239,0.9951509237289429,0.9984464049339294
18,spearman,14951,0.9966574304678409,0.0014841386063126512,0.9947816729545593,0.9969584941864014,0.9981853365898132
18,top16_overlap,14951,0.9326424653869306,0.055032374470839654,0.875,0.9375,1.0
18,top1_overlap,14951,0.8748578690388603,0.3308800054697241,0.0,1.0,1.0
18,top32_overlap,14951,0.9449221623971641,0.03517040958609185,0.90625,0.9375,1.0
18,top5_overlap,14951,0.9074710776174629,0.11736849393345915,0.800000011920929,1.0,1.0
19,pearson,14951,0.9929584490599883,0.00898297545688561,0.9833542704582214,0.9960737228393555,0.9992654323577881
19,spearman,14951,0.9968134057090463,0.0017717417016064497,0.9947163462638855,0.9972723126411438,0.9983600378036499
19,top16_overlap,14951,0.9398660624707378,0.05518144624695454,0.875,0.9375,1.0
19,top1_overlap,14951,0.8901076851046753,0.31275548599868164,0.0,1.0,1.0
19,top32_overlap,14951,0.9518886696542037,0.034128655170029235,0.90625,0.96875,1.0
19,top5_overlap,14951,0.9143201173673416,0.11762141131665244,0.800000011920929,1.0,1.0
20,pearson,14951,0.9951388906989239,0.007132689755603059,0.9890965223312378,0.9973865747451782,0.9992620944976807
20,spearman,14951,0.9980388498929789,0.0009127814536590569,0.9969072937965393,0.9982589483261108,0.9989104270935059
20,top16_overlap,14951,0.9462828573339576,0.05172876355265048,0.875,0.9375,1.0
20,top1_overlap,14951,0.8982007892448666,0.3023840793506916,0.0,1.0,1.0
20,top32_overlap,14951,0.9583138251621965,0.03259887913867877,0.90625,0.96875,1.0
20,top5_overlap,14951,0.9254631840923974,0.11030028360126522,0.800000011920929,1.0,1.0
21,pearson,14951,0.9807196445317102,0.016453371803853922,0.9607895612716675,0.9852551817893982,0.9950299859046936
21,spearman,14951,0.9962494575325904,0.0023996617366854804,0.9937400817871094,0.9968583583831787,0.9981296062469482
21,top16_overlap,14951,0.8786745033777005,0.0799536166288418,0.75,0.875,0.9375
21,top1_overlap,14951,0.7717209551200589,0.4197233881363331,0.0,1.0,1.0
21,top32_overlap,14951,0.9065259012775065,0.05207723746299488,0.84375,0.90625,0.96875
21,top5_overlap,14951,0.8326265892660121,0.15514814424907705,0.6000000238418579,0.800000011920929,1.0
22,pearson,14951,0.9939888577087772,0.008844831348220984,0.9867284893989563,0.9967030882835388,0.999001681804657
22,spearman,14951,0.9970745857675198,0.002511295378146044,0.9943848252296448,0.9978871941566467,0.9988656640052795
22,top16_overlap,14951,0.9405307337301853,0.054661179405508034,0.875,0.9375,1.0
22,top1_overlap,14951,0.8788040933716809,0.32635480515055837,0.0,1.0,1.0
22,top32_overlap,14951,0.9542150190622701,0.03450855813525461,0.90625,0.96875,1.0
22,top5_overlap,14951,0.9127817588287902,0.11727497643439415,0.800000011920929,1.0,1.0
23,pearson,14951,0.9892376921111689,0.021551072898918555,0.974017858505249,0.9962077140808105,0.9989766478538513
23,spearman,14951,0.9929099173563698,0.008948573642929775,0.9820899367332458,0.9964686632156372,0.9984723925590515
23,top16_overlap,14951,0.9361999197378101,0.06380634879439549,0.875,0.9375,1.0
23,top1_overlap,14951,0.8723831181860745,0.3336627238545176,0.0,1.0,1.0
23,top32_overlap,14951,0.9498361313624507,0.04215183713922354,0.90625,0.96875,1.0
23,top5_overlap,14951,0.9090763210809779,0.12882326283470957,0.800000011920929,1.0,1.0
24,pearson,14951,0.9946986692389169,0.014948592335557735,0.9890590906143188,0.998729407787323,0.9997122883796692
24,spearman,14951,0.9975236485207107,0.002052472373039612,0.9950956106185913,0.9981509447097778,0.999187171459198
24,top16_overlap,14951,0.9574192361714935,0.05463850392481052,0.875,0.9375,1.0
24,top1_overlap,14951,0.9258912447327938,0.2619477956768324,1.0,1.0,1.0
24,top32_overlap,14951,0.9657088154638486,0.03650795304154128,0.9375,0.96875,1.0
24,top5_overlap,14951,0.9409805397922861,0.1067331294231723,0.800000011920929,1.0,1.0
25,pearson,14951,0.9885112900860246,0.022697481088729866,0.9708282351493835,0.9962913990020752,0.9992427229881287
25,spearman,14951,0.9974102505066189,0.0023626581661712652,0.9949163198471069,0.9981420040130615,0.9991524815559387
25,top16_overlap,14951,0.9333740218045615,0.06849706710605613,0.875,0.9375,1.0
