model,family,feature_set,threshold_rule,ensemble_auroc,ensemble_real_aupr,ensemble_hall_aupr,real_precision,real_recall,real_f1,hall_precision,hall_recall,hall_f1,seed_auc_mean,seed_auc_std
llava_1_5_7b,three_hidden_fixed,raw_AE+S+N_vec,fixed_0.5,0.8966248474244906,0.967862523238719,0.6983687742857998,0.9112149532710281,0.8801805498563808,0.8954289292423294,0.6313131313131313,0.7052186177715092,0.6662225183211192,0.8929712342955983,0.002015490035162123
llava_1_5_7b,three_hidden_fixed,raw_AE+S+N_vec,train_f1,0.8966248474244906,0.967862523238719,0.6983687742857998,0.8991769547325102,0.8965941731637259,0.8978837065954387,0.6480446927374302,0.6544428772919605,0.6512280701754386,0.8929712342955983,0.002015490035162123
internvl_2_5_8b,three_hidden_fixed,raw_AE+S+N_vec,fixed_0.5,0.8667601711117994,0.9703101672618805,0.5479689235979507,0.8968440885539332,0.9482071713147411,0.9218106995884774,0.5968992248062015,0.4128686327077748,0.48811410459587956,0.8613768785448022,0.0024838983692194224
internvl_2_5_8b,three_hidden_fixed,raw_AE+S+N_vec,train_f1,0.8667601711117994,0.9703101672618805,0.5479689235979507,0.9067961165048544,0.9302788844621513,0.9183874139626352,0.5638629283489096,0.48525469168900803,0.521613832853026,0.8613768785448022,0.0024838983692194224
qwen2_5_vl_7b,three_hidden_fixed,raw_AE+S+N_vec,fixed_0.5,0.8798308092299987,0.9834892488651412,0.44734752645812925,0.9090909090909091,0.9812782440284055,0.9438062713443031,0.5166666666666667,0.16939890710382513,0.2551440329218107,0.8742487367724169,0.003821539390456565
qwen2_5_vl_7b,three_hidden_fixed,raw_AE+S+N_vec,train_f1,0.8798308092299987,0.9834892488651412,0.44734752645812925,0.9125452352231604,0.9767591994835377,0.943560960399127,0.5135135135135135,0.20765027322404372,0.29571984435797666,0.8742487367724169,0.003821539390456565
qwen3_vl_8b,three_hidden_fixed,raw_AE+S+N_vec,fixed_0.5,0.8885547004034959,0.9740088198754049,0.6323491745869501,0.9037656903765691,0.946236559139785,0.9245136186770428,0.6608040201005025,0.5096899224806202,0.5754923413566739,0.8838805637623398,0.0007168279909855221
qwen3_vl_8b,three_hidden_fixed,raw_AE+S+N_vec,train_f1,0.8885547004034959,0.9740088198754049,0.6323491745869501,0.9013978088401965,0.9502190362405416,0.925164792555254,0.6710526315789473,0.4941860465116279,0.5691964285714286,0.8838805637623398,0.0007168279909855221
llava_1_5_7b,three_hidden_fixed,AE+s+L(N_end),fixed_0.5,0.9010911355437707,0.9694220873472023,0.7058003172159899,0.8991836734693878,0.9039803036520312,0.9015756087579292,0.6637931034482759,0.6516220028208745,0.6576512455516014,0.8964776495567955,0.00046512170657658216
llava_1_5_7b,three_hidden_fixed,AE+s+L(N_end),train_f1,0.9010911355437707,0.9694220873472023,0.7058003172159899,0.9038778877887789,0.8990562166598277,0.9014606048138243,0.6592797783933518,0.6713681241184767,0.6652690426275332,0.8964776495567955,0.00046512170657658216
internvl_2_5_8b,three_hidden_fixed,AE+s+L(N_end),fixed_0.5,0.8684998611452314,0.9719452553021459,0.5443206516940091,0.8978520286396181,0.9367529880478087,0.9168900804289544,0.5559440559440559,0.4262734584450402,0.48254931714719274,0.8618824523176284,0.0049351303719921856
internvl_2_5_8b,three_hidden_fixed,AE+s+L(N_end),train_f1,0.8684998611452314,0.9719452553021459,0.5443206516940091,0.9010091302258529,0.9337649402390438,0.917094644167278,0.5566666666666666,0.4477211796246649,0.4962852897473997,0.8618824523176284,0.0049351303719921856
qwen2_5_vl_7b,three_hidden_fixed,AE+s+L(N_end),fixed_0.5,0.8844451029573108,0.9842583683745192,0.4805124171570349,0.926224426534408,0.9644932214331827,0.9449715370018975,0.5378151260504201,0.34972677595628415,0.423841059602649,0.8778928999377941,0.000801103395197307
qwen2_5_vl_7b,three_hidden_fixed,AE+s+L(N_end),train_f1,0.8844451029573108,0.9842583683745192,0.4805124171570349,0.9276807980049875,0.960619754680439,0.9438629876308278,0.5234375,0.366120218579235,0.43086816720257237,0.8778928999377941,0.000801103395197307
qwen3_vl_8b,three_hidden_fixed,AE+s+L(N_end),fixed_0.5,0.9001926407527807,0.9767779967099056,0.6780709625360436,0.9302040816326531,0.9076065312624453,0.9187663777464221,0.5979202772963604,0.6686046511627907,0.6312900274473925,0.8920069523553728,0.0030731876587520935
qwen3_vl_8b,three_hidden_fixed,AE+s+L(N_end),train_f1,0.9001926407527807,0.9767779967099056,0.6780709625360436,0.9217943628423978,0.9247311827956989,0.9232604373757455,0.6279527559055118,0.6182170542635659,0.623046875,0.8920069523553728,0.0030731876587520935
llava_1_5_7b,three_hidden_fixed,AE+s+kappa_end,fixed_0.5,0.9003778142910802,0.9694844049103745,0.707619729188159,0.9065888240200167,0.892080426754206,0.8992761116856256,0.6483957219251337,0.6840620592383639,0.665751544269046,0.8944509297677109,0.0011091764572932921
llava_1_5_7b,three_hidden_fixed,AE+s+kappa_end,train_f1,0.9003778142910802,0.9694844049103745,0.707619729188159,0.9111299195937368,0.8834632745178498,0.8970833333333333,0.6372924648786717,0.7038081805359662,0.6689008042895442,0.8944509297677109,0.0011091764572932921
internvl_2_5_8b,three_hidden_fixed,AE+s+kappa_end,fixed_0.5,0.8732790019546479,0.9719039915525121,0.5734808528909989,0.9113492450073064,0.9317729083665338,0.9214479192317163,0.5823170731707317,0.5120643431635389,0.5449358059914408,0.8662316774012084,0.007157171537822653
internvl_2_5_8b,three_hidden_fixed,AE+s+kappa_end,train_f1,0.8732790019546479,0.9719039915525121,0.5734808528909989,0.9152709359605912,0.9252988047808764,0.9202575532441802,0.5726495726495726,0.5388739946380697,0.5552486187845304,0.8662316774012084,0.007157171537822653
qwen2_5_vl_7b,three_hidden_fixed,AE+s+kappa_end,fixed_0.5,0.8804128875671595,0.9832455970329026,0.4655637551546158,0.9245516388373531,0.9651387992253067,0.9444093493367025,0.5304347826086957,0.3333333333333333,0.40939597315436244,0.8718051836721736,0.001995123411537363
qwen2_5_vl_7b,three_hidden_fixed,AE+s+kappa_end,train_f1,0.8804128875671595,0.9832455970329026,0.4655637551546158,0.9298245614035088,0.9580374435119432,0.9437201907790143,0.5220588235294118,0.3879781420765027,0.445141065830721,0.8718051836721736,0.001995123411537363
qwen3_vl_8b,three_hidden_fixed,AE+s+kappa_end,fixed_0.5,0.897949796090998,0.9762289084184668,0.6559766076713613,0.9217877094972067,0.9199522102747909,0.9208690452461631,0.6142034548944337,0.6201550387596899,0.6171648987463838,0.8875400434470757,0.000795355001102463
qwen3_vl_8b,three_hidden_fixed,AE+s+kappa_end,train_f1,0.897949796090998,0.9762289084184668,0.6559766076713613,0.9140625,0.931899641577061,0.922894892526129,0.6338329764453962,0.5736434108527132,0.602238046795524,0.8875400434470757,0.000795355001102463
llava_1_5_7b,one_hidden,AE,fixed_0.5,0.8513808915560706,0.9506049127362196,0.6140265139389174,0.8421436383521692,0.9478867459991793,0.8918918918918919,0.684863523573201,0.38928067700987307,0.49640287769784175,0.849430857418898,0.0006639603831550806
llava_1_5_7b,one_hidden,AE,train_f1,0.8513808915560706,0.9506049127362196,0.6140265139389174,0.8498509687034277,0.9359868691013541,0.8908416324936536,0.6623376623376623,0.4315937940761636,0.5226302305721605,0.849430857418898,0.0006639603831550806
internvl_2_5_8b,one_hidden,AE,fixed_0.5,0.8174954338143405,0.9571352941853625,0.4524681783386814,0.8675880517164511,0.9691235059760956,0.9155492825217596,0.5507246376811594,0.2037533512064343,0.2974559686888454,0.8142528189298214,0.0040920551071870325
internvl_2_5_8b,one_hidden,AE,train_f1,0.8174954338143405,0.9571352941853625,0.4524681783386814,0.8808647654093836,0.9536852589641435,0.9158297465327594,0.5507246376811594,0.30563002680965146,0.3931034482758621,0.8142528189298214,0.0040920551071870325
qwen2_5_vl_7b,one_hidden,AE,fixed_0.5,0.7680594213788554,0.9627149117032479,0.31160703940070905,0.9007009345794392,0.9954809554551324,0.9457221711131555,0.65,0.07103825136612021,0.12807881773399016,0.7610597823850159,0.00493437795530769
qwen2_5_vl_7b,one_hidden,AE,train_f1,0.7680594213788554,0.9627149117032479,0.31160703940070905,0.9041095890410958,0.9799870884441575,0.9405204460966543,0.41509433962264153,0.12021857923497267,0.1864406779661017,0.7610597823850159,0.00493437795530769
qwen3_vl_8b,one_hidden,AE,fixed_0.5,0.8306038701033284,0.9575129881304123,0.5287176942292302,0.8908951210142144,0.9235364396654719,0.9069221744231521,0.5471698113207547,0.4496124031007752,0.49361702127659574,0.8272092457270697,0.0036476722343430157
qwen3_vl_8b,one_hidden,AE,train_f1,0.8306038701033284,0.9575129881304123,0.5287176942292302,0.8784428938670584,0.9526085225009956,0.9140236912495223,0.6085526315789473,0.35852713178294576,0.45121951219512196,0.8272092457270697,0.0036476722343430157
llava_1_5_7b,one_hidden,AE+i,fixed_0.5,0.8974993532361055,0.9671860482363275,0.7001812283196063,0.8911322248614411,0.9236766516208453,0.9071126334878098,0.7,0.61212976022567,0.653122648607976,0.8957481230342671,0.00024052579434564813
llava_1_5_7b,one_hidden,AE+i,train_f1,0.8974993532361055,0.9671860482363275,0.7001812283196063,0.8948852194925493,0.9117767747230201,0.9032520325203252,0.6757164404223228,0.6318758815232722,0.6530612244897959,0.8957481230342671,0.00024052579434564813
internvl_2_5_8b,one_hidden,AE+i,fixed_0.5,0.85295413520182,0.9672276229627157,0.5320609520639841,0.8895027624309392,0.9621513944223108,0.9244019138755981,0.6363636363636364,0.35656836461126007,0.4570446735395189,0.850370857944451,0.0013841717667329606
internvl_2_5_8b,one_hidden,AE+i,train_f1,0.85295413520182,0.9672276229627157,0.5320609520639841,0.9008620689655172,0.9367529880478087,0.91845703125,0.5665529010238908,0.4450402144772118,0.4984984984984985,0.850370857944451,0.0013841717667329606
qwen2_5_vl_7b,one_hidden,AE+i,fixed_0.5,0.8588865723346987,0.9798822041147615,0.4278521797297974,0.9121863799283154,0.9857972885732731,0.94756438101148,0.6206896551724138,0.19672131147540983,0.2987551867219917,0.8543992775173125,0.0038590408108340564
qwen2_5_vl_7b,one_hidden,AE+i,train_f1,0.8588865723346987,0.9798822041147615,0.4278521797297974,0.916312916919345,0.9754680438992899,0.9449656035021888,0.5421686746987951,0.2459016393442623,0.3383458646616541,0.8543992775173125,0.0038590408108340564
qwen3_vl_8b,one_hidden,AE+i,fixed_0.5,0.8884466486992117,0.9738962925467385,0.6448234018289043,0.897119341563786,0.9549980087614496,0.9251543209876543,0.6807909604519774,0.46705426356589147,0.5540229885057472,0.8834555603921556,0.0031527884882129524
qwen3_vl_8b,one_hidden,AE+i,train_f1,0.8884466486992117,0.9738962925467385,0.6448234018289043,0.9045051983057374,0.9354838709677419,0.9197337509788567,0.6232558139534884,0.5193798449612403,0.5665961945031712,0.8834555603921556,0.0031527884882129524
llava_1_5_7b,one_hidden,AE+s,fixed_0.5,0.8974015428574404,0.9671558509823022,0.7018694676766707,0.8899009900990099,0.9220352892901108,0.905683192261185,0.6940418679549114,0.607898448519041,0.6481203007518797,0.8959702702749629,0.0006267203070423505
llava_1_5_7b,one_hidden,AE+s,train_f1,0.8974015428574404,0.9671558509823022,0.7018694676766707,0.8834762275915822,0.9302421009437833,0.9062562462522487,0.7068965517241379,0.5782792665726375,0.6361520558572537,0.8959702702749629,0.0006267203070423505
internvl_2_5_8b,one_hidden,AE+s,fixed_0.5,0.855888777330357,0.9674215207995898,0.5412789437496368,0.8862602365787079,0.9701195219123506,0.9262957679505468,0.6721311475409836,0.3297587131367292,0.44244604316546765,0.853505993897511,0.0011893353175873545
internvl_2_5_8b,one_hidden,AE+s,train_f1,0.855888777330357,0.9674215207995898,0.5412789437496368,0.8989084005695301,0.9432270916334662,0.9205346294046173,0.583941605839416,0.4289544235924933,0.4945904173106646,0.853505993897511,0.0011893353175873545
qwen2_5_vl_7b,one_hidden,AE+s,fixed_0.5,0.8670956407624167,0.981446817357895,0.44115630559901997,0.9141656662665066,0.9832149774047773,0.9474339035769829,0.6060606060606061,0.2185792349726776,0.321285140562249,0.8631674939234549,0.005140109089051595
qwen2_5_vl_7b,one_hidden,AE+s,train_f1,0.8670956407624167,0.981446817357895,0.44115630559901997,0.9154589371980676,0.9786959328599096,0.946021840873635,0.5657894736842105,0.23497267759562843,0.33204633204633205,0.8631674939234549,0.005140109089051595
qwen3_vl_8b,one_hidden,AE+s,fixed_0.5,0.8951257876197445,0.9750672238894215,0.66502605506587,0.9091962905718701,0.9370768618080446,0.9229260639341047,0.6400911161731208,0.5445736434108527,0.5884816753926702,0.8906777877596971,0.0009936504571305337
qwen3_vl_8b,one_hidden,AE+s,train_f1,0.8951257876197445,0.9750672238894215,0.66502605506587,0.910360884749709,0.9342891278375149,0.9221698113207547,0.6333333333333333,0.5523255813953488,0.5900621118012422,0.8906777877596971,0.0009936504571305337
llava_1_5_7b,one_hidden,AE+i+s,fixed_0.5,0.9013999038101483,0.9690043501678279,0.7084502112924267,0.884855581576893,0.9302421009437833,0.9069813962792559,0.708904109589041,0.5839210155148096,0.6403712296983759,0.8999126844627537,0.0007786436199678505
llava_1_5_7b,one_hidden,AE+i+s,train_f1,0.9013999038101483,0.9690043501678279,0.7084502112924267,0.8933440256615878,0.9142388182191219,0.9036706550395457,0.6794478527607362,0.6248236953455572,0.6509919177075679,0.8999126844627537,0.0007786436199678505
internvl_2_5_8b,one_hidden,AE+i+s,fixed_0.5,0.8672248005297843,0.9713493657620189,0.5536173554649855,0.8920056100981767,0.950199203187251,0.9201832650108512,0.5867768595041323,0.3806970509383378,0.46178861788617886,0.8637258383801701,0.0015097523576603643
internvl_2_5_8b,one_hidden,AE+i+s,train_f1,0.8672248005297843,0.9713493657620189,0.5536173554649855,0.9026717557251909,0.9422310756972112,0.9220272904483431,0.5929824561403508,0.45308310991957107,0.513677811550152,0.8637258383801701,0.0015097523576603643
qwen2_5_vl_7b,one_hidden,AE+i+s,fixed_0.5,0.8732797821263145,0.9827378128571261,0.44429698316467464,0.9185905224787363,0.9761136216914138,0.9464788732394366,0.5697674418604651,0.2677595628415301,0.3643122676579926,0.8692793164636448,0.0023109358112820355
qwen2_5_vl_7b,one_hidden,AE+i+s,train_f1,0.8732797821263145,0.9827378128571261,0.44429698316467464,0.9155099577549789,0.9793415106520336,0.9463505926388023,0.5733333333333334,0.23497267759562843,0.3333333333333333,0.8692793164636448,0.0023109358112820355
qwen3_vl_8b,one_hidden,AE+i+s,fixed_0.5,0.9045695065741745,0.9779630788277431,0.6780248746543684,0.8982169390787519,0.9629629629629629,0.9294637709014031,0.7223880597014926,0.4689922480620155,0.5687426556991775,0.897425230793295,0.0024373711570039526
qwen3_vl_8b,one_hidden,AE+i+s,train_f1,0.9045695065741745,0.9779630788277431,0.6780248746543684,0.9196357878068092,0.9251294305057746,0.9223744292237442,0.624750499001996,0.6065891472868217,0.615535889872173,0.897425230793295,0.0024373711570039526
llava_1_5_7b,one_hidden,AE+n,fixed_0.5,0.8928802725726387,0.9663890334094754,0.6863971117125529,0.8852263701350278,0.9146491588018055,0.8996972754793138,0.6687898089171974,0.5923836389280677,0.6282722513089005,0.891520573265279,0.00035100943626557667
llava_1_5_7b,one_hidden,AE+n,train_f1,0.8928802725726387,0.9663890334094754,0.6863971117125529,0.8728943338437979,0.9355765285186705,0.9031491384432561,0.7059925093632958,0.5317348377997179,0.6065969428801288,0.891520573265279,0.00035100943626557667
internvl_2_5_8b,one_hidden,AE+n,fixed_0.5,0.8537598934022622,0.9672219644216029,0.5339164000292798,0.8863428047662695,0.9631474103585658,0.9231503579952267,0.628140703517588,0.3351206434316354,0.4370629370629371,0.8507030857802036,0.0011130410082665662
internvl_2_5_8b,one_hidden,AE+n,train_f1,0.8537598934022622,0.9672219644216029,0.5339164000292798,0.899235912129895,0.9377490039840638,0.9180887372013652,0.5644599303135889,0.4343163538873995,0.4909090909090909,0.8507030857802036,0.0011130410082665662
qwen2_5_vl_7b,one_hidden,AE+n,fixed_0.5,0.8728458691840673,0.9823531217096544,0.4587886969003846,0.9158653846153846,0.9838605551969012,0.9486461251167133,0.6323529411764706,0.23497267759562843,0.3426294820717131,0.8686078685232026,0.0036438089315003305
qwen2_5_vl_7b,one_hidden,AE+n,train_f1,0.8728458691840673,0.9823531217096544,0.4587886969003846,0.9148681055155875,0.9851517107811492,0.9487099782405968,0.640625,0.22404371584699453,0.3319838056680162,0.8686078685232026,0.0036438089315003305
qwen3_vl_8b,one_hidden,AE+n,fixed_0.5,0.88954182990192,0.9737397728682053,0.6593569964269973,0.9086651053864169,0.927120669056153,0.9178001182732111,0.6064516129032258,0.5465116279069767,0.5749235474006116,0.8860370956936765,0.0008177666335969151
qwen3_vl_8b,one_hidden,AE+n,train_f1,0.88954182990192,0.9737397728682053,0.6593569964269973,0.9077462047489295,0.9287136598964556,0.9181102362204724,0.6091703056768559,0.5406976744186046,0.5728952772073922,0.8860370956936765,0.0008177666335969151
llava_1_5_7b,one_hidden,AE+s+n,fixed_0.5,0.8986788653764572,0.968235756856854,0.7036357999088937,0.8836392034361578,0.9286007386130488,0.905562224889956,0.7025641025641025,0.5796897038081805,0.6352395672333848,0.8972603255059951,0.0005660590774558213
llava_1_5_7b,one_hidden,AE+s+n,train_f1,0.8986788653764572,0.968235756856854,0.7036357999088937,0.8841774636827641,0.924086992203529,0.9036918138041734,0.6911519198664441,0.5839210155148096,0.6330275229357798,0.8972603255059951,0.0005660590774558213
internvl_2_5_8b,one_hidden,AE+s+n,fixed_0.5,0.8645204703972313,0.970375047822791,0.5485665406461782,0.8784029038112523,0.9641434262948207,0.9192782526115859,0.5932203389830508,0.28150134048257375,0.38181818181818183,0.8611458989778153,0.0029671752085636337
internvl_2_5_8b,one_hidden,AE+s+n,train_f1,0.8645204703972313,0.970375047822791,0.5485665406461782,0.90549662487946,0.9352589641434262,0.9201371876531113,0.5765472312703583,0.4745308310991957,0.5205882352941177,0.8611458989778153,0.0029671752085636337
qwen2_5_vl_7b,one_hidden,AE+s+n,fixed_0.5,0.8789700388405,0.9833267100206988,0.46574824800344666,0.9197080291970803,0.9761136216914138,0.9470717193861572,0.5795454545454546,0.2786885245901639,0.3763837638376384,0.8742887179107269,0.004243576719726048
qwen2_5_vl_7b,one_hidden,AE+s+n,train_f1,0.8789700388405,0.9833267100206988,0.46574824800344666,0.9172205438066465,0.9799870884441575,0.947565543071161,0.5974025974025974,0.25136612021857924,0.35384615384615387,0.8742887179107269,0.004243576719726048
qwen3_vl_8b,one_hidden,AE+s+n,fixed_0.5,0.9013526529780592,0.9768324508864495,0.6764753175094566,0.90586011342155,0.9542015133412983,0.9294026377036463,0.6989528795811518,0.5174418604651163,0.5946547884187082,0.8960402394837392,0.001209188681829832
qwen3_vl_8b,one_hidden,AE+s+n,train_f1,0.9013526529780592,0.9768324508864495,0.6764753175094566,0.9174528301886793,0.929510155316607,0.9234421364985164,0.6335403726708074,0.5930232558139535,0.6126126126126126,0.8960402394837392,0.001209188681829832
llava_1_5_7b,one_hidden,AE+s+kappa_vec,fixed_0.5,0.9022972706274275,0.9695066076874213,0.713244790735948,0.8802464381979207,0.9380385720147723,0.9082240762812872,0.7249544626593807,0.5613540197461213,0.6327503974562798,0.9007258417528393,0.0007471542709799339
llava_1_5_7b,one_hidden,AE+s+kappa_vec,train_f1,0.9022972706274275,0.9695066076874213,0.713244790735948,0.8889766890557093,0.9232663110381617,0.9057971014492754,0.6959349593495935,0.6036671368124118,0.6465256797583081,0.9007258417528393,0.0007471542709799339
internvl_2_5_8b,one_hidden,AE+s+kappa_vec,fixed_0.5,0.869254216378454,0.9718182674348976,0.5551270954440964,0.8792401628222524,0.9681274900398407,0.9215453899028205,0.6235294117647059,0.28418230563002683,0.39042357274401474,0.8643081828183247,0.003330390210519315
internvl_2_5_8b,one_hidden,AE+s+kappa_vec,train_f1,0.869254216378454,0.9718182674348976,0.5551270954440964,0.9132577624445539,0.922808764940239,0.9180084220956155,0.5596590909090909,0.5281501340482574,0.543448275862069,0.8643081828183247,0.003330390210519315
qwen2_5_vl_7b,one_hidden,AE+s+kappa_vec,fixed_0.5,0.8784973206757754,0.9831131981117358,0.4614737558783462,0.9155099577549789,0.9793415106520336,0.9463505926388023,0.5733333333333334,0.23497267759562843,0.3333333333333333,0.8729916827473158,0.0013784251714880945
qwen2_5_vl_7b,one_hidden,AE+s+kappa_vec,train_f1,0.8784973206757754,0.9831131981117358,0.4614737558783462,0.9225568531038721,0.9690122659780503,0.9452141057934509,0.5428571428571428,0.3114754098360656,0.3958333333333333,0.8729916827473158,0.0013784251714880945
qwen3_vl_8b,one_hidden,AE+s+kappa_vec,fixed_0.5,0.898425223589848,0.976115816126548,0.6606791494798642,0.9381093683764307,0.8813221823974512,0.9088295687885011,0.5538922155688623,0.7170542635658915,0.625,0.8924834089180731,0.0014793148094890075
qwen3_vl_8b,one_hidden,AE+s+kappa_vec,train_f1,0.898425223589848,0.976115816126548,0.6606791494798642,0.9170597484276729,0.9291119076065313,0.9230464886251236,0.6314699792960663,0.5910852713178295,0.6106106106106106,0.8924834089180731,0.0014793148094890075
llava_1_5_7b,one_hidden,AE+a,fixed_0.5,0.8960154135266545,0.9669668540119141,0.6974376851054602,0.8883168316831683,0.9203939269593763,0.9040709391374446,0.6876006441223832,0.6022566995768688,0.6421052631578947,0.8945641737366978,0.0006186572806603478
llava_1_5_7b,one_hidden,AE+a,train_f1,0.8960154135266545,0.9669668540119141,0.6974376851054602,0.8782742681047766,0.9355765285186705,0.9060202662427975,0.7145454545454546,0.5543018335684062,0.6243050039714059,0.8945641737366978,0.0006186572806603478
internvl_2_5_8b,one_hidden,AE+a,fixed_0.5,0.8560002616878332,0.9676233397061562,0.5420459933349537,0.8906901343214451,0.9576693227091634,0.9229661627069834,0.6171171171171171,0.3672922252010724,0.46050420168067224,0.8524732615560991,0.0018382677084149
internvl_2_5_8b,one_hidden,AE+a,train_f1,0.8560002616878332,0.9676233397061562,0.5420459933349537,0.9004287756074321,0.9412350597609562,0.9203798392987582,0.5815602836879432,0.43967828418230565,0.500763358778626,0.8524732615560991,0.0018382677084149
qwen2_5_vl_7b,one_hidden,AE+a,fixed_0.5,0.8689653469363279,0.9817758015938345,0.44432117694570034,0.9133574007220217,0.9799870884441575,0.9454998442852693,0.5571428571428572,0.21311475409836064,0.308300395256917,0.8654846360716885,0.0034541990661707575
qwen2_5_vl_7b,one_hidden,AE+a,train_f1,0.8689653469363279,0.9817758015938345,0.44432117694570034,0.9149577804583836,0.9793415106520336,0.9460555035859058,0.5675675675675675,0.22950819672131148,0.32684824902723736,0.8654846360716885,0.0034541990661707575
qwen3_vl_8b,one_hidden,AE+a,fixed_0.5,0.8949081406154009,0.9752219463720369,0.6667034886325862,0.9041825095057034,0.9470330545599362,0.9251118459443688,0.6649874055415617,0.5116279069767442,0.5783132530120482,0.8904829087930418,0.0023559755840625728
qwen3_vl_8b,one_hidden,AE+a,train_f1,0.8949081406154009,0.9752219463720369,0.6667034886325862,0.9117647058823529,0.9382716049382716,0.9248282630029441,0.6501128668171557,0.5581395348837209,0.6006256517205423,0.8904829087930418,0.0023559755840625728
llava_1_5_7b,one_hidden,AE+g,fixed_0.5,0.8950564088080271,0.9667515653842936,0.6935494562169224,0.8796583850931677,0.9298317603610997,0.9040494713744265,0.7,0.5627644569816643,0.6239249413604379,0.8936836874088333,0.00022369644381800436
llava_1_5_7b,one_hidden,AE+g,train_f1,0.8950564088080271,0.9667515653842936,0.6935494562169224,0.8674199623352166,0.9450143619203939,0.9045561665357423,0.7270875763747454,0.5035260930888575,0.595,0.8936836874088333,0.00022369644381800436
internvl_2_5_8b,one_hidden,AE+g,fixed_0.5,0.8561751652905804,0.967777410398218,0.5388111594670951,0.8871630881681133,0.9671314741035857,0.9254229211341435,0.65625,0.3378016085790885,0.44601769911504424,0.8533720346496053,0.000697488926512551
internvl_2_5_8b,one_hidden,AE+g,train_f1,0.8561751652905804,0.967777410398218,0.5388111594670951,0.8964049195837275,0.9437250996015937,0.9194565744784086,0.5767790262172284,0.4128686327077748,0.48125,0.8533720346496053,0.000697488926512551
qwen2_5_vl_7b,one_hidden,AE+g,fixed_0.5,0.8706339715028556,0.9820133993807052,0.4494088597618891,0.9135654261704682,0.9825693996126533,0.9468118195956454,0.5909090909090909,0.21311475409836064,0.3132530120481928,0.8670391968024497,0.0033579560900825183
qwen2_5_vl_7b,one_hidden,AE+g,train_f1,0.8706339715028556,0.9820133993807052,0.4494088597618891,0.9140108238123873,0.9812782440284055,0.9464508094645081,0.5797101449275363,0.2185792349726776,0.31746031746031744,0.8670391968024497,0.0033579560900825183
qwen3_vl_8b,one_hidden,AE+g,fixed_0.5,0.8925487544725688,0.9746078393790526,0.6605526478636364,0.8956328645447816,0.9637594583831143,0.9284481104929982,0.72,0.45348837209302323,0.5564803804994055,0.8883226465052477,0.0034166486443838193
qwen3_vl_8b,one_hidden,AE+g,train_f1,0.8925487544725688,0.9746078393790526,0.6605526478636364,0.906369915579432,0.9406610911987257,0.9231971858510846,0.6460807600950119,0.5271317829457365,0.5805763073639274,0.8883226465052477,0.0034166486443838193
llava_1_5_7b,one_hidden,U_SN,fixed_0.5,0.9042494268832695,0.9703784798413903,0.7136251448458413,0.8979838709677419,0.9138284776364383,0.9058368924140736,0.6846846846846847,0.6431593794076164,0.6632727272727272,0.9022766282003721,0.0011496465787922687
llava_1_5_7b,one_hidden,U_SN,train_f1,0.9042494268832695,0.9703784798413903,0.7136251448458413,0.8939393939393939,0.9199835863766926,0.9067745197168857,0.6943573667711599,0.6248236953455572,0.6577579806978471,0.9022766282003721,0.0011496465787922687
internvl_2_5_8b,one_hidden,U_SN,fixed_0.5,0.8753437990664688,0.9733429294119831,0.5637897616372819,0.8883763837638377,0.9591633466135459,0.9224137931034483,0.6150234741784038,0.3512064343163539,0.447098976109215,0.8708425903179062,0.0015245018677547651
internvl_2_5_8b,one_hidden,U_SN,train_f1,0.8753437990664688,0.9733429294119831,0.5637897616372819,0.9106529209621993,0.923804780876494,0.9171817058096415,0.5552325581395349,0.5120643431635389,0.5327754532775453,0.8708425903179062,0.0015245018677547651
qwen2_5_vl_7b,one_hidden,U_SN,fixed_0.5,0.8905798558562371,0.9852232464951329,0.48565836158739173,0.9155688622754491,0.987088444157521,0.9499844672258465,0.6774193548387096,0.22950819672131148,0.34285714285714286,0.8852141519118627,0.006010029089999807
qwen2_5_vl_7b,one_hidden,U_SN,train_f1,0.8905798558562371,0.9852232464951329,0.48565836158739173,0.9280442804428044,0.974176888315042,0.9505511811023623,0.6226415094339622,0.36065573770491804,0.45674740484429066,0.8852141519118627,0.006010029089999807
qwen3_vl_8b,one_hidden,U_SN,fixed_0.5,0.901467650863333,0.9771579494646848,0.6687631207997398,0.9345560650270947,0.8928713659896456,0.9132382892057026,0.571656050955414,0.6957364341085271,0.6276223776223776,0.8965028036844602,0.0036256334338459558
qwen3_vl_8b,one_hidden,U_SN,train_f1,0.901467650863333,0.9771579494646848,0.6687631207997398,0.9201112877583466,0.9219434488251692,0.92102645713149,0.6164383561643836,0.6104651162790697,0.6134371957156767,0.8965028036844602,0.0036256334338459558
llava_1_5_7b,one_hidden,H_SN,fixed_0.5,0.9057628833342111,0.9710375098981157,0.7215422694963444,0.8810999225406662,0.9335248256052524,0.9065550906555091,0.7127659574468085,0.5669957686882934,0.631578947368421,0.9030188874349161,0.0011845521798004783
llava_1_5_7b,one_hidden,H_SN,train_f1,0.9057628833342111,0.9710375098981157,0.7215422694963444,0.9037520391517129,0.9093147312269183,0.9065248517079157,0.6815561959654178,0.6671368124118476,0.6742694226657163,0.9030188874349161,0.0011845521798004783
